tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Oceania Regional Championships 2025,2025-06-09,MORISSEAU Jerome,ITAIA Sharky,3,0,"11,11,11|6,6,8",,OTHER,MS,3203,Qualification,MORISSEAU Jerome (NCL),ITAIA Sharky (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,DEY Jeremy,RAKEI Moana,3,0,"11,11,11|1,2,4",,OTHER,MS,3203,Qualification,DEY Jeremy (NCL),RAKEI Moana (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,CLOUET Olivier,TUAKANAKORE Ivan,3,0,"11,11,11|5,2,3",,OTHER,MS,3203,Qualification,CLOUET Olivier (NCL),TUAKANAKORE Ivan (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,YEE Joshua,TAURAKI Peter,3,0,"11,11,11|3,3,2",,OTHER,MS,3203,Qualification,YEE Joshua (FIJ),TAURAKI Peter (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,PAMBRUN Ariinui,THOMA Drake,3,0,"11,11,11|1,1,7",,OTHER,MS,3203,Qualification,PAMBRUN Ariinui (PYF),THOMA Drake (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,GIRET Maylis,NOTTE Uzzaniah Grace,3,0,"11,11,11|3,1,1",,OTHER,WS,3203,Qualification,GIRET Maylis (NCL),NOTTE Uzzaniah Grace (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,MAUAHITI Vanille,DAGAGIO Bryana,3,0,"11,11,11|2,3,1",,OTHER,WS,3203,Qualification,MAUAHITI Vanille (PYF),DAGAGIO Bryana (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,TERE Temehau,MOUSSON Kahealani,3,1,"11,9,11,11|8,11,9,6",,OTHER,WS,3203,Qualification,MOUSSON Kahealani (PYF),TERE Temehau (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,BATES Casonya,DAGAGIO Nancy,3,0,"11,12,11|4,10,5",,OTHER,WS,3203,Qualification,BATES Casonya (COK),DAGAGIO Nancy (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,MORISSEAU Jerome,UTIA Angelo,3,1,"11,14,1,11|3,12,11,2",,OTHER,MS,3203,Qualification,MORISSEAU Jerome (NCL),UTIA Angelo (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,DEY Jeremy,ZHOU Cheng,3,0,"11,11,11|9,3,2",,OTHER,MS,3203,Qualification,DEY Jeremy (NCL),ZHOU Cheng (FIJ)
ITTF Oceania Regional Championships 2025,2025-06-09,CLOUET Olivier,DENG Jedidiah,3,0,"11,11,11|2,3,4",,OTHER,MS,3203,Qualification,CLOUET Olivier (NCL),DENG Jedidiah (FIJ)
ITTF Oceania Regional Championships 2025,2025-06-09,PAMBRUN Ariinui,KARRA Sridhar,3,0,"11,11,11|5,6,7",,OTHER,MS,3203,Qualification,PAMBRUN Ariinui (PYF),KARRA Sridhar (FIJ)
ITTF Oceania Regional Championships 2025,2025-06-09,YEE Joshua,QUINNE Raphael,3,0,"11,11,11|8,3,6",,OTHER,MS,3203,Qualification,YEE Joshua (FIJ),QUINNE Raphael (NCL)
ITTF Oceania Regional Championships 2025,2025-06-09,MOUSSON Kahealani,BATES Casonya,3,0,"11,11,11|5,6,5",,OTHER,WS,3203,Qualification,MOUSSON Kahealani (PYF),BATES Casonya (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,TERE Temehau,DAGAGIO Nancy,3,0,"11,11,11|1,4,0",,OTHER,WS,3203,Qualification,TERE Temehau (PYF),DAGAGIO Nancy (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,GIRET Maylis,SAYEGH Clara,3,0,"11,11,12|7,6,10",,OTHER,WS,3203,Qualification,GIRET Maylis (NCL),SAYEGH Clara (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,MAUAHITI Vanille,GOLLOP Jodie,3,1,"11,11,8,11|7,6,11,9",,OTHER,WS,3203,Qualification,MAUAHITI Vanille (PYF),GOLLOP Jodie (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,DENG Jedidiah,TUAKANAKORE Ivan,3,1,"11,11,8,11|3,8,11,5",,OTHER,MS,3203,Qualification,DENG Jedidiah (FIJ),TUAKANAKORE Ivan (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,UTIA Angelo,ITAIA Sharky,3,2,"11,8,11,10,11|3,11,4,12,6",,OTHER,MS,3203,Qualification,UTIA Angelo (PYF),ITAIA Sharky (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,QUINNE Raphael,TAURAKI Peter,3,0,"11,11,11|9,8,5",,OTHER,MS,3203,Qualification,QUINNE Raphael (NCL),TAURAKI Peter (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,ZHOU Cheng,RAKEI Moana,3,1,"11,11,7,11|8,8,11,7",,OTHER,MS,3203,Qualification,ZHOU Cheng (FIJ),RAKEI Moana (COK)
ITTF Oceania Regional Championships 2025,2025-06-09,THOMA Drake,KARRA Sridhar,3,1,"11,3,11,11|8,11,9,9",,OTHER,MS,3203,Qualification,KARRA Sridhar (FIJ),THOMA Drake (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,SAYEGH Clara,NOTTE Uzzaniah Grace,3,0,"11,11,11|3,6,6",,OTHER,WS,3203,Qualification,SAYEGH Clara (PYF),NOTTE Uzzaniah Grace (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,GOLLOP Jodie,DAGAGIO Bryana,3,1,"11,8,11,11|8,11,5,6",,OTHER,WS,3203,Qualification,GOLLOP Jodie (COK),DAGAGIO Bryana (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,MOUSSON Kahealani,DAGAGIO Nancy,3,0,"11,11,11|1,7,1",,OTHER,WS,3203,Qualification,MOUSSON Kahealani (PYF),DAGAGIO Nancy (NRU)
ITTF Oceania Regional Championships 2025,2025-06-09,TERE Temehau,BATES Casonya,3,2,"10,11,11,3,11|12,5,3,11,3",,OTHER,WS,3203,Qualification,BATES Casonya (COK),TERE Temehau (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,UTIA Angelo,QUINNE Raphael,3,0,"12,11,11|10,2,9",R16,OTHER,MS,3203,Main Draw,UTIA Angelo (PYF),QUINNE Raphael (NCL)
ITTF Oceania Regional Championships 2025,2025-06-09,THOMA Drake,DENG Jedidiah,3,0,"11,11,11|7,6,3",R16,OTHER,MS,3203,Main Draw,THOMA Drake (NRU),DENG Jedidiah (FIJ)
ITTF Oceania Regional Championships 2025,2025-06-09,MOUSSON Kahealani,SAYEGH Clara,3,0,"11,11,11|9,2,8",QF,OTHER,WS,3203,Main Draw,SAYEGH Clara (PYF),MOUSSON Kahealani (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,TERE Temehau,GOLLOP Jodie,3,0,"12,11,11|10,6,8",QF,OTHER,WS,3203,Main Draw,GOLLOP Jodie (COK),TERE Temehau (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,PAMBRUN Ariinui,CLOUET Olivier,3,0,"11,11,11|5,5,6",QF,OTHER,MS,3203,Main Draw,PAMBRUN Ariinui (PYF),CLOUET Olivier (NCL)
ITTF Oceania Regional Championships 2025,2025-06-09,MORISSEAU Jerome,ZHOU Cheng,3,0,"11,11,11|1,5,4",QF,OTHER,MS,3203,Main Draw,MORISSEAU Jerome (NCL),ZHOU Cheng (FIJ)
ITTF Oceania Regional Championships 2025,2025-06-09,YEE Joshua,THOMA Drake,3,0,"11,11,11|8,7,9",QF,OTHER,MS,3203,Main Draw,THOMA Drake (NRU),YEE Joshua (FIJ)
ITTF Oceania Regional Championships 2025,2025-06-09,DEY Jeremy,UTIA Angelo,3,0,"11,11,11|7,2,6",QF,OTHER,MS,3203,Main Draw,DEY Jeremy (NCL),UTIA Angelo (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,GIRET Maylis,TERE Temehau,3,0,"11,11,12|4,7,10",SF,OTHER,WS,3203,Main Draw,GIRET Maylis (NCL),TERE Temehau (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,MOUSSON Kahealani,MAUAHITI Vanille,3,0,"11,12,11|4,10,8",SF,OTHER,WS,3203,Main Draw,MOUSSON Kahealani (PYF),MAUAHITI Vanille (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,DEY Jeremy,PAMBRUN Ariinui,3,2,"8,5,13,11,11|11,11,11,2,7",SF,OTHER,MS,3203,Main Draw,DEY Jeremy (NCL),PAMBRUN Ariinui (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,MORISSEAU Jerome,YEE Joshua,3,0,"11,11,11|5,9,9",SF,OTHER,MS,3203,Main Draw,MORISSEAU Jerome (NCL),YEE Joshua (FIJ)
ITTF Oceania Regional Championships 2025,2025-06-09,GIRET Maylis,MOUSSON Kahealani,3,2,"11,10,11,7,12|7,12,5,11,10",F,OTHER,WS,3203,Main Draw,GIRET Maylis (NCL),MOUSSON Kahealani (PYF)
ITTF Oceania Regional Championships 2025,2025-06-09,DEY Jeremy,MORISSEAU Jerome,3,2,"11,5,4,13,11|5,11,11,11,8",F,OTHER,MS,3203,Main Draw,DEY Jeremy (NCL),MORISSEAU Jerome (NCL)
