tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,LEWIS Rohan,MITCHELL Odingo,3,2,"8,11,9,11,13|11,7,11,8,11",QR32,OTHER,MS,3117,Qualification,MITCHELL Odingo (JAM),LEWIS Rohan (JAM)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,CARRILLO Sergio,JIA Jaden,3,0,"11,11,11|6,2,8",QR32,OTHER,MS,3117,Qualification,JIA Jaden (USA),CARRILLO Sergio (GUA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,WANG Zexuan,BOTHA Bosman,3,0,"11,11,11|0,0,0",QR32,OTHER,MS,3117,Qualification,BOTHA Bosman (USA),WANG Zexuan (CAN)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,JUTRAS-VIGNEAULT Laurent,MCPHERSON Emani,3,0,"11,11,11|7,7,5",QR32,OTHER,MS,3117,Qualification,MCPHERSON Emani (JAM),JUTRAS-VIGNEAULT Laurent (CAN)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,KALICHARAN Winston,TSAO Darryl,3,0,"11,11,11|0,0,0",QR32,OTHER,MS,3117,Qualification,KALICHARAN Winston (CAN),TSAO Darryl (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,LI Jonathan,EBANKS Jayden,3,0,"11,11,11|0,0,0",QR32,OTHER,MS,3117,Qualification,EBANKS Jayden (JAM),LI Jonathan (CAN)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,MORALES Ian,WATSON Kane,3,0,"11,11,11|9,7,5",QR32,OTHER,MS,3117,Qualification,MORALES Ian (GUA),WATSON Kane (JAM)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,GALLARDO Diego,JOHNSON Azizi,3,0,"11,11,11|0,0,0",QR32,OTHER,MS,3117,Qualification,GALLARDO Diego (MEX),JOHNSON Azizi (JAM)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,SHODHAN Shashin,BERNARD Jameson,3,1,"12,11,11,11|10,13,7,8",QR32,OTHER,MS,3117,Qualification,BERNARD Jameson (HAI),SHODHAN Shashin (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,ZHANG Xiangjing,PHILLIPS Mark,3,0,"11,11,11|1,4,5",QR32,OTHER,MS,3117,Qualification,ZHANG Xiangjing (USA),PHILLIPS Mark (JAM)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,IIZUKA Leonardo,JUTRAS-VIGNEAULT Laurent,3,0,"11,11,11|5,5,3",QR16,OTHER,MS,3117,Qualification,IIZUKA Leonardo (BRA),JUTRAS-VIGNEAULT Laurent (CAN)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,LIANG Jishan,LEWIS Rohan,3,0,"11,11,11|3,4,4",QR16,OTHER,MS,3117,Qualification,LEWIS Rohan (JAM),LIANG Jishan (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,MORALES Ian,KALICHARAN Winston,3,1,"9,11,12,11|11,6,10,9",QR16,OTHER,MS,3117,Qualification,MORALES Ian (GUA),KALICHARAN Winston (CAN)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,AGUIRRE Marcelo,LI Jonathan,3,0,"11,11,11|5,3,9",QR16,OTHER,MS,3117,Qualification,LI Jonathan (CAN),AGUIRRE Marcelo (PAR)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,NARESH Sid,GALLARDO Diego,3,0,"11,11,11|6,5,7",QR16,OTHER,MS,3117,Qualification,NARESH Sid (USA),GALLARDO Diego (MEX)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,CARRILLO Sergio,SHODHAN Shashin,3,1,"8,11,12,11|11,7,10,8",QR16,OTHER,MS,3117,Qualification,SHODHAN Shashin (USA),CARRILLO Sergio (GUA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,ZHANG Xiangjing,BRITTON Shemar,3,0,"11,11,11|3,4,6",QR16,OTHER,MS,3117,Qualification,BRITTON Shemar (GUY),ZHANG Xiangjing (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,TEODORO Guilherme,WANG Zexuan,3,0,"11,11,11|4,8,6",QR16,OTHER,MS,3117,Qualification,WANG Zexuan (CAN),TEODORO Guilherme (BRA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,YEOH Irene,DONG Natalie,3,0,"11,11,11|5,8,5",QR16,OTHER,WS,3117,Qualification,YEOH Irene (USA),DONG Natalie (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,WANG Eugene,ZHANG Xiangjing,4,0,"11,11,11,14|8,7,6,12",R32,OTHER,MS,3117,Main Draw,WANG Eugene (CAN),ZHANG Xiangjing (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,ARELLANO Angelica,EDGHILL Chelsea,4,1,"11,11,8,11,11|5,2,11,5,8",R32,OTHER,WS,3117,Main Draw,ARELLANO Angelica (ECU),EDGHILL Chelsea (GUY)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,ORTEGA Daniela,DONG Natalie,4,0,"11,11,12,11|5,6,10,3",R32,OTHER,WS,3117,Main Draw,ORTEGA Daniela (CHI),DONG Natalie (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,JUTRAS-VIGNEAULT Laurent,MOSCOSO Heber,4,2,"8,11,11,11,6,11|11,5,9,7,11,4",R32,OTHER,MS,3117,Main Draw,JUTRAS-VIGNEAULT Laurent (CAN),MOSCOSO Heber (GUA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,AFANADOR Brian,NARESH Sid,4,2,"11,8,16,8,14,11|8,11,14,11,12,8",R32,OTHER,MS,3117,Main Draw,AFANADOR Brian (PUR),NARESH Sid (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,REYES LAI Jessica,CUX Jenny,4,1,"10,11,11,11,11|12,9,4,3,3",R32,OTHER,WS,3117,Main Draw,CUX Jenny (GUA),REYES LAI Jessica (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,ACEVES Marbella,CHEN Hildy,4,3,"11,8,11,6,4,11,11|8,11,9,11,11,8,8",R32,OTHER,WS,3117,Main Draw,ACEVES Marbella (MEX),CHEN Hildy (USA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,IIZUKA Leonardo,CARRILLO Sergio,4,1,"11,11,12,9,11|7,6,10,11,6",R32,OTHER,MS,3117,Main Draw,CARRILLO Sergio (GUA),IIZUKA Leonardo (BRA)
ITTF Pan American Cup 2025 presented By J.P. MORGAN,2025-02-18,LIANG Jishan,TEODORO Guilherme,4,2,"11,11,11,10,7,11|7,8,8,12,11,6",R32,OTHER,MS,3117,Main Draw,LIANG Jishan (USA),TEODORO Guilherme (BRA)
