tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
North Africa Regional Championships 2025,2025-04-28,ABDELAZIZ Youssef,BEN ATTIA Youssef,3,0,"11,11,11|4,6,7",GROUP,OTHER,MT,3135,Main Draw,ABDELAZIZ Youssef (EGY),BEN ATTIA Youssef (TUN),ABDELAZIZ Youssef
North Africa Regional Championships 2025,2025-04-28,ESSID Wassim,HELMY Mahmoud,3,2,"9,11,11,7,11|11,8,9,11,8",GROUP,OTHER,MT,3135,Main Draw,HELMY Mahmoud (EGY),ESSID Wassim (TUN),ESSID Wassim
North Africa Regional Championships 2025,2025-04-28,GHALLAB Aly,KHALOUFI Mohamed,3,1,"11,11,11,11|5,13,8,3",GROUP,OTHER,MT,3135,Main Draw,GHALLAB Aly (EGY),KHALOUFI Mohamed (TUN),GHALLAB Aly
North Africa Regional Championships 2025,2025-04-28,ESSID Wassim,ABDELAZIZ Youssef,3,2,"9,11,5,11,11|11,9,11,9,9",GROUP,OTHER,MT,3135,Main Draw,ABDELAZIZ Youssef (EGY),ESSID Wassim (TUN),ESSID Wassim
North Africa Regional Championships 2025,2025-04-28,HELMY Mahmoud,BEN ATTIA Youssef,3,0,"11,11,11|1,8,6",GROUP,OTHER,MT,3135,Main Draw,HELMY Mahmoud (EGY),BEN ATTIA Youssef (TUN),HELMY Mahmoud
North Africa Regional Championships 2025,2025-04-28,NEMRAS Reda,ALAJAEBI Habeb,3,0,"11,11,11|5,4,8",GROUP,OTHER,MT,3135,Main Draw,ALAJAEBI Habeb (LBA),NEMRAS Reda (MAR),NEMRAS Reda
North Africa Regional Championships 2025,2025-04-28,THEOPHILE Yassine,HAMRANAH Alhusayn,3,0,"11,11,11|8,3,5",GROUP,OTHER,MT,3135,Main Draw,HAMRANAH Alhusayn (LBA),THEOPHILE Yassine (MAR),THEOPHILE Yassine
North Africa Regional Championships 2025,2025-04-28,KARAM Salim,ABODIB Salh,3,0,"11,11,11|4,5,9",GROUP,OTHER,MT,3135,Main Draw,ABODIB Salh (LBA),KARAM Salim (MAR),KARAM Salim
North Africa Regional Championships 2025,2025-04-28,JELLOULI Milhane,BENCHAT Marius,3,1,"15,12,10,11|13,10,12,9",GROUP,OTHER,MT,3135,Main Draw,BENCHAT Marius (MAR),JELLOULI Milhane (ALG),JELLOULI Milhane
North Africa Regional Championships 2025,2025-04-28,BOULOUSSA Mehdi,THEOPHILE Yassine,3,0,"11,11,11|4,5,6",GROUP,OTHER,MT,3135,Main Draw,THEOPHILE Yassine (MAR),BOULOUSSA Mehdi (ALG),BOULOUSSA Mehdi
North Africa Regional Championships 2025,2025-04-28,BELLA Maheidine,NEMRAS Reda,3,1,"5,11,14,13|11,9,12,11",GROUP,OTHER,MT,3135,Main Draw,NEMRAS Reda (MAR),BELLA Maheidine (ALG),BELLA Maheidine
North Africa Regional Championships 2025,2025-04-28,KHALOUFI Adem,HAMRANAH Alhusayn,3,0,"13,11,11|11,3,7",GROUP,OTHER,MT,3135,Main Draw,HAMRANAH Alhusayn (LBA),KHALOUFI Adem (TUN),KHALOUFI Adem
North Africa Regional Championships 2025,2025-04-28,ESSID Wassim,ALAJAEBI Habeb,3,0,"11,11,11|5,6,7",GROUP,OTHER,MT,3135,Main Draw,ALAJAEBI Habeb (LBA),ESSID Wassim (TUN),ESSID Wassim
North Africa Regional Championships 2025,2025-04-28,AIDLI Youssef,ABODIB Salh,3,0,"11,11,11|5,3,4",GROUP,OTHER,MT,3135,Main Draw,ABODIB Salh (LBA),AIDLI Youssef (TUN),AIDLI Youssef
North Africa Regional Championships 2025,2025-04-28,ALHODABY Mariam,ZOGHLAMI Maram,3,0,"11,11,11|6,3,7",GROUP,OTHER,WT,3135,Main Draw,ZOGHLAMI Maram (TUN),ALHODABY Mariam (EGY),ALHODABY Mariam
North Africa Regional Championships 2025,2025-04-28,FATHY Hend,GARCI Fadwa,3,2,"7,4,12,11,11|11,11,10,5,4",GROUP,OTHER,WT,3135,Main Draw,GARCI Fadwa (TUN),FATHY Hend (EGY),FATHY Hend
North Africa Regional Championships 2025,2025-04-28,ALHODABY Marwa,SAIDI Ela,3,0,"12,11,11|10,6,6",GROUP,OTHER,WT,3135,Main Draw,SAIDI Ela (TUN),ALHODABY Marwa (EGY),ALHODABY Marwa
North Africa Regional Championships 2025,2025-04-28,ZOGHLAMI Maram,MORICE Tania,3,0,"16,12,11|14,10,8",GROUP,OTHER,WT,3135,Main Draw,MORICE Tania (ALG),ZOGHLAMI Maram (TUN),ZOGHLAMI Maram
North Africa Regional Championships 2025,2025-04-28,GARCI Fadwa,NASRI Malissa,3,2,"9,14,11,11,11|11,16,8,4,7",GROUP,OTHER,WT,3135,Main Draw,NASRI Malissa (ALG),GARCI Fadwa (TUN),GARCI Fadwa
North Africa Regional Championships 2025,2025-04-28,HAJ SALAH Abir,KESSACI Amina,3,1,"11,8,11,11|4,11,9,8",GROUP,OTHER,WT,3135,Main Draw,KESSACI Amina (ALG),HAJ SALAH Abir (TUN),HAJ SALAH Abir
North Africa Regional Championships 2025,2025-04-28,GHALLAB Aly,ALAJAEBI Habeb,3,0,"11,11,11|1,6,2",GROUP,OTHER,MT,3135,Main Draw,GHALLAB Aly (EGY),ALAJAEBI Habeb (LBA),GHALLAB Aly
North Africa Regional Championships 2025,2025-04-28,MOSTAFA Badr,HAMRANAH Alhusayn,3,0,"11,11,11|3,8,7",GROUP,OTHER,MT,3135,Main Draw,MOSTAFA Badr (EGY),HAMRANAH Alhusayn (LBA),MOSTAFA Badr
North Africa Regional Championships 2025,2025-04-28,HELMY Mahmoud,ABODIB Salh,3,0,"11,11,11|5,2,6",GROUP,OTHER,MT,3135,Main Draw,HELMY Mahmoud (EGY),ABODIB Salh (LBA),HELMY Mahmoud
North Africa Regional Championships 2025,2025-04-28,ESSID Wassim,JELLOULI Milhane,3,0,"11,11,12|7,8,10",GROUP,OTHER,MT,3135,Main Draw,ESSID Wassim (TUN),JELLOULI Milhane (ALG),ESSID Wassim
North Africa Regional Championships 2025,2025-04-28,BOULOUSSA Mehdi,KHALOUFI Adem,3,0,"11,11,11|3,7,7",GROUP,OTHER,MT,3135,Main Draw,KHALOUFI Adem (TUN),BOULOUSSA Mehdi (ALG),BOULOUSSA Mehdi
North Africa Regional Championships 2025,2025-04-28,KHEROUF Sami,KHALOUFI Mohamed,3,0,"11,11,17|9,7,15",GROUP,OTHER,MT,3135,Main Draw,KHALOUFI Mohamed (TUN),KHEROUF Sami (ALG),KHEROUF Sami
North Africa Regional Championships 2025,2025-04-28,BOULOUSSA Mehdi,ESSID Wassim,3,0,"11,11,13|8,7,11",GROUP,OTHER,MT,3135,Main Draw,ESSID Wassim (TUN),BOULOUSSA Mehdi (ALG),BOULOUSSA Mehdi
North Africa Regional Championships 2025,2025-04-28,BELLA Maheidine,ALAJAEBI Habeb,3,0,"11,11,12|3,7,10",GROUP,OTHER,MT,3135,Main Draw,ALAJAEBI Habeb (LBA),BELLA Maheidine (ALG),BELLA Maheidine
North Africa Regional Championships 2025,2025-04-28,JELLOULI Milhane,HAMRANAH Alhusayn,3,0,"11,11,11|5,7,4",GROUP,OTHER,MT,3135,Main Draw,HAMRANAH Alhusayn (LBA),JELLOULI Milhane (ALG),JELLOULI Milhane
North Africa Regional Championships 2025,2025-04-28,CHAICHI Abdelbasset,ABODIB Salh,3,0,"11,11,11|4,7,4",GROUP,OTHER,MT,3135,Main Draw,ABODIB Salh (LBA),CHAICHI Abdelbasset (ALG),CHAICHI Abdelbasset
North Africa Regional Championships 2025,2025-04-28,BENCHAT Marius,MOSTAFA Badr,3,0,"11,12,12|6,10,10",GROUP,OTHER,MT,3135,Main Draw,BENCHAT Marius (MAR),MOSTAFA Badr (EGY),BENCHAT Marius
North Africa Regional Championships 2025,2025-04-28,ABDELAZIZ Youssef,NEMRAS Reda,3,1,"11,5,11,11|6,11,4,8",GROUP,OTHER,MT,3135,Main Draw,NEMRAS Reda (MAR),ABDELAZIZ Youssef (EGY),ABDELAZIZ Youssef
North Africa Regional Championships 2025,2025-04-28,GHALLAB Aly,KARAM Salim,3,0,"11,11,11|4,6,6",GROUP,OTHER,MT,3135,Main Draw,KARAM Salim (MAR),GHALLAB Aly (EGY),GHALLAB Aly
North Africa Regional Championships 2025,2025-04-28,ABDELAZIZ Youssef,BENCHAT Marius,3,0,"11,11,11|3,4,5",GROUP,OTHER,MT,3135,Main Draw,BENCHAT Marius (MAR),ABDELAZIZ Youssef (EGY),ABDELAZIZ Youssef
North Africa Regional Championships 2025,2025-04-28,ABDELAZIZ Youssef,JELLOULI Milhane,3,0,"17,11,11|15,4,5",GROUP,OTHER,MT,3135,Main Draw,ABDELAZIZ Youssef (EGY),JELLOULI Milhane (ALG),ABDELAZIZ Youssef
North Africa Regional Championships 2025,2025-04-28,BOULOUSSA Mehdi,HELMY Mahmoud,3,0,"11,11,11|9,9,6",GROUP,OTHER,MT,3135,Main Draw,HELMY Mahmoud (EGY),BOULOUSSA Mehdi (ALG),BOULOUSSA Mehdi
