tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,WANG Chuqin,MATSUSHIMA Sora,3,1,"11,8,13,11|9,11,11,4",R32,WTT_CHAMPIONS,MS,3097,Main Draw,WANG Chuqin (CHN),MATSUSHIMA Sora (JPN),WANG Chuqin
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,ODO Satsuki,SHIN Yubin,3,2,"9,9,11,12,11|11,11,9,10,9",R32,WTT_CHAMPIONS,WS,3097,Main Draw,ODO Satsuki (JPN),SHIN Yubin (KOR),ODO Satsuki
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,GAUZY Simon,HE Chon Fai,3,0,"11,11,11|4,4,5",R32,WTT_CHAMPIONS,MS,3097,Main Draw,GAUZY Simon (FRA),HE Chon Fai (MAC),GAUZY Simon
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,ITO Mima,LIU Yangzi,3,0,"11,14,12|8,12,10",R32,WTT_CHAMPIONS,WS,3097,Main Draw,ITO Mima (JPN),LIU Yangzi (AUS),ITO Mima
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,LIN Yun-Ju,LEBRUN Alexis,3,0,"12,11,11|10,3,6",R32,WTT_CHAMPIONS,MS,3097,Main Draw,LIN Yun-Ju (TPE),LEBRUN Alexis (FRA),LIN Yun-Ju
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,LIN Shidong,KAO Cheng-Jui,3,0,"11,11,11|5,4,4",R32,WTT_CHAMPIONS,MS,3097,Main Draw,LIN Shidong (CHN),KAO Cheng-Jui (TPE),LIN Shidong
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,TAKAHASHI Bruna,YUAN Jia Nan,3,1,"11,11,13,11|13,7,11,7",R32,WTT_CHAMPIONS,WS,3097,Main Draw,TAKAHASHI Bruna (BRA),YUAN Jia Nan (FRA),TAKAHASHI Bruna
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,DUDA Benedikt,PUCAR Tomislav,3,1,"11,11,7,11|5,7,11,4",R32,WTT_CHAMPIONS,MS,3097,Main Draw,DUDA Benedikt (GER),PUCAR Tomislav (CRO),DUDA Benedikt
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,WANG Yidi,KUAN Cheok Lam,3,0,"11,11,11|3,2,3",R32,WTT_CHAMPIONS,WS,3097,Main Draw,WANG Yidi (CHN),KUAN Cheok Lam (MAC),WANG Yidi
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,ARUNA Quadri,HUANG Youzheng,3,0,"11,11,11|3,8,8",R32,WTT_CHAMPIONS,MS,3097,Main Draw,ARUNA Quadri (NGR),HUANG Youzheng (CHN),ARUNA Quadri
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,DIAZ Adriana,POLCANOVA Sofia,3,2,"5,11,5,11,11|11,6,11,6,9",R32,WTT_CHAMPIONS,WS,3097,Main Draw,DIAZ Adriana (PUR),POLCANOVA Sofia (AUT),DIAZ Adriana
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,CALDERANO Hugo,AN Jaehyun,3,0,"13,12,11|11,10,8",R32,WTT_CHAMPIONS,MS,3097,Main Draw,CALDERANO Hugo (BRA),AN Jaehyun (KOR),CALDERANO Hugo
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-09,ZHU Yuling,AKULA Sreeja,3,0,"11,11,11|5,1,6",R32,WTT_CHAMPIONS,WS,3097,Main Draw,ZHU Yuling (MAC),AKULA Sreeja (IND),ZHU Yuling
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,LIND Anders,JORGIC Darko,3,1,"7,11,14,11|11,4,12,9",R32,WTT_CHAMPIONS,MS,3097,Main Draw,LIND Anders (DEN),JORGIC Darko (SLO),LIND Anders
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,HARIMOTO Miwa,SAMARA Elizabeta,3,0,"11,11,11|1,3,2",R32,WTT_CHAMPIONS,WS,3097,Main Draw,HARIMOTO Miwa (JPN),SAMARA Elizabeta (ROU),HARIMOTO Miwa
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,FRANZISKA Patrick,XIANG Peng,3,2,"10,11,11,1,12|12,9,9,11,10",R32,WTT_CHAMPIONS,MS,3097,Main Draw,FRANZISKA Patrick (GER),XIANG Peng (CHN),FRANZISKA Patrick
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,HAYATA Hina,HUANG Yi-Hua,3,0,"11,11,11|4,8,4",R32,WTT_CHAMPIONS,WS,3097,Main Draw,HAYATA Hina (JPN),HUANG Yi-Hua (TPE),HAYATA Hina
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,QIU Dang,JHA Kanak,3,0,"11,11,11|8,6,6",R32,WTT_CHAMPIONS,MS,3097,Main Draw,QIU Dang (GER),JHA Kanak (USA),QIU Dang
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,SUN Yingsha,HURSEY Anna,3,1,"11,10,11,11|7,12,3,4",R32,WTT_CHAMPIONS,WS,3097,Main Draw,SUN Yingsha (CHN),HURSEY Anna (WAL),SUN Yingsha
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,PORET Thibault,LEE Sang Su,3,0,"12,11,11|10,9,9",R32,WTT_CHAMPIONS,MS,3097,Main Draw,PORET Thibault (FRA),LEE Sang Su (KOR),PORET Thibault
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,SZOCS Bernadette,GODA Hana,3,1,"10,11,11,13|12,7,7,11",R32,WTT_CHAMPIONS,WS,3097,Main Draw,SZOCS Bernadette (ROU),GODA Hana (EGY),SZOCS Bernadette
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,OH Junsung,TOGAMI Shunsuke,3,2,"15,2,15,9,11|13,11,13,11,9",R32,WTT_CHAMPIONS,MS,3097,Main Draw,OH Junsung (KOR),TOGAMI Shunsuke (JPN),OH Junsung
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,CHEN Xingtong,ZHANG Lily,3,0,"11,11,11|1,8,6",R32,WTT_CHAMPIONS,WS,3097,Main Draw,CHEN Xingtong (CHN),ZHANG Lily (USA),CHEN Xingtong
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,GROTH Jonathan,SHINOZUKA Hiroto,3,1,"3,12,12,11|11,10,10,8",R32,WTT_CHAMPIONS,MS,3097,Main Draw,GROTH Jonathan (DEN),SHINOZUKA Hiroto (JPN),GROTH Jonathan
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,KUAI Man,JOO Cheonhui,3,1,"6,11,11,11|11,8,6,7",R32,WTT_CHAMPIONS,WS,3097,Main Draw,KUAI Man (CHN),JOO Cheonhui (KOR),KUAI Man
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-10,WANG Manyu,CHENG I-Ching,3,0,"11,11,11|0,0,0",R32,WTT_CHAMPIONS,WS,3097,Main Draw,WANG Manyu (CHN),CHENG I-Ching (TPE),WANG Manyu
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,DUDA Benedikt,PORET Thibault,3,1,"9,11,11,11|11,6,4,9",R16,WTT_CHAMPIONS,MS,3097,Main Draw,DUDA Benedikt (GER),PORET Thibault (FRA),DUDA Benedikt
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,ZHU Yuling,TAKAHASHI Bruna,3,0,"11,11,11|8,5,7",R16,WTT_CHAMPIONS,WS,3097,Main Draw,ZHU Yuling (MAC),TAKAHASHI Bruna (BRA),ZHU Yuling
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,WANG Chuqin,GROTH Jonathan,3,1,"7,11,11,11|11,7,6,2",R16,WTT_CHAMPIONS,MS,3097,Main Draw,WANG Chuqin (CHN),GROTH Jonathan (DEN),WANG Chuqin
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,DIAZ Adriana,WANG Yidi,3,2,"7,11,4,11,12|11,5,11,9,10",R16,WTT_CHAMPIONS,WS,3097,Main Draw,DIAZ Adriana (PUR),WANG Yidi (CHN),DIAZ Adriana
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,LIN Yun-Ju,GAUZY Simon,3,1,"7,11,11,11|11,9,9,6",R16,WTT_CHAMPIONS,MS,3097,Main Draw,LIN Yun-Ju (TPE),GAUZY Simon (FRA),LIN Yun-Ju
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,CHEN Yi,KIM Nayeong,3,1,"8,11,11,11|11,7,7,4",R32,WTT_CHAMPIONS,WS,3097,Main Draw,CHEN Yi (CHN),KIM Nayeong (KOR),CHEN Yi
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,JANG Woojin,KALLBERG Anton,3,1,"5,11,12,11|11,6,10,8",R32,WTT_CHAMPIONS,MS,3097,Main Draw,JANG Woojin (KOR),KALLBERG Anton (SWE),JANG Woojin
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,HAN Ying,EERLAND Britt,3,1,"11,7,11,11|2,11,9,2",R32,WTT_CHAMPIONS,WS,3097,Main Draw,HAN Ying (GER),EERLAND Britt (NED),HAN Ying
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,XUE Fei,HARIMOTO Tomokazu,3,0,"11,11,11|8,8,9",R32,WTT_CHAMPIONS,MS,3097,Main Draw,XUE Fei (CHN),HARIMOTO Tomokazu (JPN),XUE Fei
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,2025-09-11,DOO Hoi Kem,JEE Minhyung,3,0,"11,11,11|4,9,8",R32,WTT_CHAMPIONS,WS,3097,Main Draw,DOO Hoi Kem (HKG),JEE Minhyung (AUS),DOO Hoi Kem
