tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Lagos 2025,2025-07-22,SEZUO Aziza,AJUWON Anuoluwapo,3,1,"11,11,7,11|5,7,11,9",GROUP,WTT_CONTENDER,WS,3121,Main Draw,SEZUO Aziza (NGR),AJUWON Anuoluwapo (NGR),SEZUO Aziza
WTT Contender Lagos 2025,2025-07-22,AHMED Maryam,OYENIYI Kehinde,3,1,"10,11,11,11|12,8,7,8",GROUP,WTT_CONTENDER,WS,3121,Main Draw,AHMED Maryam (NGR),OYENIYI Kehinde (NGR),AHMED Maryam
WTT Contender Lagos 2025,2025-07-22,MBAH Onyinyechi,OKAFOR Chinenye,3,2,"11,6,11,6,11|5,11,4,11,7",GROUP,WTT_CONTENDER,WS,3121,Main Draw,MBAH Onyinyechi (NGR),OKAFOR Chinenye (NGR),MBAH Onyinyechi
WTT Contender Lagos 2025,2025-07-22,ODUSANYA Abosede,ARUNA Mariam,3,0,"11,11,13|5,2,11",GROUP,WTT_CONTENDER,WS,3121,Main Draw,ODUSANYA Abosede (NGR),ARUNA Mariam (NGR),ODUSANYA Abosede
WTT Contender Lagos 2025,2025-07-22,OJO Favour,FALEYE Deborah,3,0,"11,11,11|4,2,4",GROUP,WTT_CONTENDER,WS,3121,Main Draw,OJO Favour (NGR),FALEYE Deborah (NGR),OJO Favour
WTT Contender Lagos 2025,2025-07-22,MUSTAPHA Musa,OYETAYO Sola,3,1,"11,9,11,11|5,11,9,8",GROUP,WTT_CONTENDER,MS,3121,Main Draw,MUSTAPHA Musa (NGR),OYETAYO Sola (NGR),MUSTAPHA Musa
WTT Contender Lagos 2025,2025-07-22,FABUNMI Mathew,YITAGESU Yohannes,3,0,"11,11,11|6,5,9",GROUP,WTT_CONTENDER,MS,3121,Main Draw,FABUNMI Mathew (NGR),YITAGESU Yohannes (ETH),FABUNMI Mathew
WTT Contender Lagos 2025,2025-07-22,CHAMBET-WEIL Remi,LAWAL Amidu,3,0,"11,11,11|2,5,6",GROUP,WTT_CONTENDER,MS,3121,Main Draw,CHAMBET-WEIL Remi (NED),LAWAL Amidu (NGR),CHAMBET-WEIL Remi
WTT Contender Lagos 2025,2025-07-22,AYOOLA Usman,SANNI Abdulraheem,3,0,"11,11,11|7,6,9",GROUP,WTT_CONTENDER,MS,3121,Main Draw,AYOOLA Usman (NGR),SANNI Abdulraheem (NGR),AYOOLA Usman
WTT Contender Lagos 2025,2025-07-22,OMEH Amadi,ADESANYA Sodiq,3,0,"11,11,13|8,6,11",GROUP,WTT_CONTENDER,MS,3121,Main Draw,OMEH Amadi (NGR),ADESANYA Sodiq (NGR),OMEH Amadi
WTT Contender Lagos 2025,2025-07-22,YEHIA Alaa,AKEEM Sadiat Alimat,3,0,"11,11,11|7,5,6",GROUP,WTT_CONTENDER,WS,3121,Main Draw,YEHIA Alaa (EGY),AKEEM Sadiat Alimat (NGR),YEHIA Alaa
WTT Contender Lagos 2025,2025-07-22,OKANLAWON Kadijat,AHMED Fatimoh,3,0,"11,11,11|5,3,4",GROUP,WTT_CONTENDER,WS,3121,Main Draw,OKANLAWON Kadijat (NGR),AHMED Fatimoh (NGR),OKANLAWON Kadijat
WTT Contender Lagos 2025,2025-07-22,ADEOYE Hussein,QUARCOO Ernest,3,1,"4,11,14,11|11,9,12,9",GROUP,WTT_CONTENDER,MS,3121,Main Draw,ADEOYE Hussein (NGR),QUARCOO Ernest (GHA),ADEOYE Hussein
WTT Contender Lagos 2025,2025-07-22,OLADIRAN Joshua,AKLIE Israel,3,0,"11,11,11|0,0,0",GROUP,WTT_CONTENDER,MS,3121,Main Draw,OLADIRAN Joshua (NGR),AKLIE Israel (GHA),OLADIRAN Joshua
WTT Contender Lagos 2025,2025-07-22,SOLANKE Azeez,OLADIPUPO Olayinka,3,0,"11,11,11|5,7,6",GROUP,WTT_CONTENDER,MS,3121,Main Draw,SOLANKE Azeez (NGR),OLADIPUPO Olayinka (NGR),SOLANKE Azeez
WTT Contender Lagos 2025,2025-07-22,MUSTAPHA Mustapha,AKAKPO Kossi,3,2,"4,9,11,11,11|11,11,8,7,5",GROUP,WTT_CONTENDER,MS,3121,Main Draw,MUSTAPHA Mustapha (NGR),AKAKPO Kossi (TOG),MUSTAPHA Mustapha
WTT Contender Lagos 2025,2025-07-22,KARNAVAR Arnav,NEUMANN Layan,3,1,"8,11,11,11|11,2,7,8",GROUP,WTT_CONTENDER,MS,3121,Main Draw,KARNAVAR Arnav (IND),NEUMANN Layan (MEX),KARNAVAR Arnav
WTT Contender Lagos 2025,2025-07-22,ASSOU Atarou,NATUS Matthew,3,0,"11,11,11|9,9,8",GROUP,WTT_CONTENDER,MS,3121,Main Draw,ASSOU Atarou (TOG),NATUS Matthew (NGR),ASSOU Atarou
WTT Contender Lagos 2025,2025-07-22,OLABIYI Monday,NUHU Ibrahim Gado,3,1,"11,7,11,13|4,11,8,11",GROUP,WTT_CONTENDER,MS,3121,Main Draw,OLABIYI Monday (BEN),NUHU Ibrahim Gado (GHA),OLABIYI Monday
WTT Contender Lagos 2025,2025-07-22,DORCESCU Denis,OLADEJO Qudus,3,1,"11,8,11,11|7,11,6,5",GROUP,WTT_CONTENDER,MS,3121,Main Draw,DORCESCU Denis (FRA),OLADEJO Qudus (NGR),DORCESCU Denis
WTT Contender Lagos 2025,2025-07-22,FALANA Iyanu Oluwa,AGUEH Lyntia,3,1,"11,11,7,11|6,5,11,5",GROUP,WTT_CONTENDER,WS,3121,Main Draw,FALANA Iyanu Oluwa (NGR),AGUEH Lyntia (BEN),FALANA Iyanu Oluwa
WTT Contender Lagos 2025,2025-07-22,LIN Xuqi,MARFO James,3,0,"11,11,11|5,4,8",GROUP,WTT_CONTENDER,MS,3121,Main Draw,LIN Xuqi (AUS),MARFO James (GHA),LIN Xuqi
WTT Contender Lagos 2025,2025-07-22,HUSSAIN Halima,YESSOUFOU Madinath,3,0,"11,11,13|2,6,11",GROUP,WTT_CONTENDER,WS,3121,Main Draw,HUSSAIN Halima (NGR),YESSOUFOU Madinath (BEN),HUSSAIN Halima
WTT Contender Lagos 2025,2025-07-22,AIYELABEGAN Sukurat,JIMOH Rofiat,3,2,"12,7,11,6,11|10,11,7,11,9",GROUP,WTT_CONTENDER,WS,3121,Main Draw,AIYELABEGAN Sukurat (NGR),JIMOH Rofiat (NGR),AIYELABEGAN Sukurat
WTT Contender Lagos 2025,2025-07-22,EMMANUEL Joy,AKADIRI Ziadath,3,2,"8,9,11,11,11|11,11,8,4,7",GROUP,WTT_CONTENDER,WS,3121,Main Draw,EMMANUEL Joy (NGR),AKADIRI Ziadath (BEN),EMMANUEL Joy
WTT Contender Lagos 2025,2025-07-22,PAL Akash,KING Amadji,3,0,"11,11,11|1,4,7",GROUP,WTT_CONTENDER,MS,3121,Main Draw,PAL Akash (IND),KING Amadji (BEN),PAL Akash
WTT Contender Lagos 2025,2025-07-22,DE NODREST Leo,GAFAROU Mouyassir,3,0,"11,11,11|2,5,3",GROUP,WTT_CONTENDER,MS,3121,Main Draw,DE NODREST Leo (FRA),GAFAROU Mouyassir (BEN),DE NODREST Leo
WTT Contender Lagos 2025,2025-07-22,MUSTAPHA Mustapha,BELLO Ibrahim,3,1,"11,14,8,11|9,12,11,9",GROUP,WTT_CONTENDER,MS,3121,Main Draw,MUSTAPHA Mustapha (NGR),BELLO Ibrahim (NGR),MUSTAPHA Mustapha
WTT Contender Lagos 2025,2025-07-22,NATUS Matthew,AZEEZ Yaya,3,1,"9,11,13,11|11,6,11,6",GROUP,WTT_CONTENDER,MS,3121,Main Draw,NATUS Matthew (NGR),AZEEZ Yaya (NGR),NATUS Matthew
WTT Contender Lagos 2025,2025-07-22,OJO Favour,AKINSETE Abosede,3,1,"8,11,11,11|11,4,7,7",GROUP,WTT_CONTENDER,WS,3121,Main Draw,OJO Favour (NGR),AKINSETE Abosede (NGR),OJO Favour
WTT Contender Lagos 2025,2025-07-22,LAWAL Amidu,COMMEY Emmanuel,3,2,"11,10,7,11,11|9,12,11,9,7",GROUP,WTT_CONTENDER,MS,3121,Main Draw,LAWAL Amidu (NGR),COMMEY Emmanuel (GHA),LAWAL Amidu
WTT Contender Lagos 2025,2025-07-22,OYETAYO Sola,AGBODJAN Elias,3,2,"11,9,11,9,11|6,11,4,11,6",GROUP,WTT_CONTENDER,MS,3121,Main Draw,OYETAYO Sola (NGR),AGBODJAN Elias (TOG),OYETAYO Sola
WTT Contender Lagos 2025,2025-07-22,SANNI Abdulraheem,ABDULLAHI Abdulrahaman,3,0,"12,11,11|10,6,8",GROUP,WTT_CONTENDER,MS,3121,Main Draw,SANNI Abdulraheem (NGR),ABDULLAHI Abdulrahaman (NGR),SANNI Abdulraheem
