tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Gdansk 2025,2025-11-10,KULPA Konrad,SATO Lautaro,3,2,"4,11,8,11,13|11,5,11,6,11",GROUP,WTT_FEEDER,MS,3191,Main Draw,KULPA Konrad (POL),SATO Lautaro (ARG)
WTT Feeder Gdansk 2025,2025-11-10,SAWCZAK Milosz,PAKULA Aleks,3,2,"8,3,11,11,11|11,11,5,7,8",GROUP,WTT_FEEDER,MS,3191,Main Draw,SAWCZAK Milosz (POL),PAKULA Aleks (POL)
WTT Feeder Gdansk 2025,2025-11-10,STECYSZYN Jakub,VALENET Edouard,3,1,"11,11,6,11|6,8,11,9",GROUP,WTT_FEEDER,MS,3191,Main Draw,STECYSZYN Jakub (POL),VALENET Edouard (PHI)
WTT Feeder Gdansk 2025,2025-11-10,BOBOCICA Mihai,REPKE Mateusz,3,0,"11,11,11|2,6,6",GROUP,WTT_FEEDER,MS,3191,Main Draw,BOBOCICA Mihai (ITA),REPKE Mateusz (POL)
WTT Feeder Gdansk 2025,2025-11-10,KULCZYCKI Alan,GAWLAS Michal,3,1,"12,8,11,11|10,11,8,8",GROUP,WTT_FEEDER,MS,3191,Main Draw,KULCZYCKI Alan (POL),GAWLAS Michal (POL)
WTT Feeder Gdansk 2025,2025-11-10,KAUCKY Jakub,MONGIUSTI Mattias,3,1,"9,11,11,11|11,6,3,9",GROUP,WTT_FEEDER,MS,3191,Main Draw,KAUCKY Jakub (CZE),MONGIUSTI Mattias (SMR)
WTT Feeder Gdansk 2025,2025-11-10,LEWANDOWSKI Patryk Rafal,ARTUKMETOV Irisbek,3,0,"11,11,15|8,7,13",GROUP,WTT_FEEDER,MS,3191,Main Draw,LEWANDOWSKI Patryk Rafal (POL),ARTUKMETOV Irisbek (KAZ)
WTT Feeder Gdansk 2025,2025-11-10,MATSUSHITA Taisei,CRUZ Daniel,3,0,"11,11,11|7,3,8",GROUP,WTT_FEEDER,MS,3191,Main Draw,MATSUSHITA Taisei (JPN),CRUZ Daniel (COL)
WTT Feeder Gdansk 2025,2025-11-10,FELKEL Grzegorz,MICHNA Dawid,3,1,"12,5,11,12|10,11,9,10",GROUP,WTT_FEEDER,MS,3191,Main Draw,FELKEL Grzegorz (POL),MICHNA Dawid (POL)
WTT Feeder Gdansk 2025,2025-11-10,MARTIN Simeon,PERKOWSKI Kacper,3,1,"11,6,11,11|9,11,8,4",GROUP,WTT_FEEDER,MS,3191,Main Draw,MARTIN Simeon (CAN),PERKOWSKI Kacper (POL)
WTT Feeder Gdansk 2025,2025-11-10,PANDUREVIC Vladimir,CHOJNACKI Jakub,3,0,"11,11,14|7,3,12",GROUP,WTT_FEEDER,MS,3191,Main Draw,PANDUREVIC Vladimir (SRB),CHOJNACKI Jakub (POL)
WTT Feeder Gdansk 2025,2025-11-10,ZYWORONEK Patryk,CABRERA Tomas,3,0,"11,11,11|4,3,3",GROUP,WTT_FEEDER,MS,3191,Main Draw,ZYWORONEK Patryk (POL),CABRERA Tomas (ARG)
WTT Feeder Gdansk 2025,2025-11-10,SAWCZAK Milosz,VALENET Edouard,3,0,"11,11,11|6,9,4",GROUP,WTT_FEEDER,MS,3191,Main Draw,SAWCZAK Milosz (POL),VALENET Edouard (PHI)
WTT Feeder Gdansk 2025,2025-11-10,DZIUBA Patryk,KULPA Konrad,3,2,"11,4,6,11,11|9,11,11,7,9",GROUP,WTT_FEEDER,MS,3191,Main Draw,DZIUBA Patryk (POL),KULPA Konrad (POL)
WTT Feeder Gdansk 2025,2025-11-10,STECYSZYN Jakub,PAKULA Aleks,3,1,"11,11,8,13|9,9,11,11",GROUP,WTT_FEEDER,MS,3191,Main Draw,STECYSZYN Jakub (POL),PAKULA Aleks (POL)
WTT Feeder Gdansk 2025,2025-11-10,KVETON Ondrej,KULCZYCKI Alan,3,2,"11,7,14,21,14|8,11,16,19,12",GROUP,WTT_FEEDER,MS,3191,Main Draw,KVETON Ondrej (CZE),KULCZYCKI Alan (POL)
WTT Feeder Gdansk 2025,2025-11-10,MICHNA Samuel,REPKE Mateusz,3,0,"11,11,11|1,9,4",GROUP,WTT_FEEDER,MS,3191,Main Draw,MICHNA Samuel (POL),REPKE Mateusz (POL)
WTT Feeder Gdansk 2025,2025-11-10,LEWANDOWSKI Patryk Rafal,TAUBER Michael,3,1,"8,13,11,12|11,11,9,10",GROUP,WTT_FEEDER,MS,3191,Main Draw,LEWANDOWSKI Patryk Rafal (POL),TAUBER Michael (ISR)
WTT Feeder Gdansk 2025,2025-11-10,MATSUSHITA Taisei,KLAJBER Adam,3,0,"11,11,11|9,8,4",GROUP,WTT_FEEDER,MS,3191,Main Draw,MATSUSHITA Taisei (JPN),KLAJBER Adam (SVK)
WTT Feeder Gdansk 2025,2025-11-10,STALZER Adam,PERKOWSKI Kacper,3,2,"11,5,8,11,11|3,11,11,8,9",GROUP,WTT_FEEDER,MS,3191,Main Draw,STALZER Adam (CZE),PERKOWSKI Kacper (POL)
WTT Feeder Gdansk 2025,2025-11-10,FELKEL Grzegorz,CAO Andrew,3,1,"12,11,19,11|10,8,21,5",GROUP,WTT_FEEDER,MS,3191,Main Draw,FELKEL Grzegorz (POL),CAO Andrew (USA)
WTT Feeder Gdansk 2025,2025-11-10,GIARDI Federico,CABRERA Tomas,3,0,"11,11,11|6,3,3",GROUP,WTT_FEEDER,MS,3191,Main Draw,GIARDI Federico (SMR),CABRERA Tomas (ARG)
WTT Feeder Gdansk 2025,2025-11-10,SHUSHAN Eitay,CHOJNACKI Jakub,3,0,"11,11,11|5,2,7",GROUP,WTT_FEEDER,MS,3191,Main Draw,SHUSHAN Eitay (ISR),CHOJNACKI Jakub (POL)
WTT Feeder Gdansk 2025,2025-11-10,MONGIUSTI Mattias,MISAL John Russel,3,0,"11,11,11|0,0,0",GROUP,WTT_FEEDER,MS,3191,Main Draw,MONGIUSTI Mattias (SMR),MISAL John Russel (PHI)
WTT Feeder Gdansk 2025,2025-11-11,STECYSZYN Jakub,PANDUREVIC Vladimir,3,1,"11,11,4,11|7,5,11,6",QR1,WTT_FEEDER,MS,3191,Qualification,STECYSZYN Jakub (POL),PANDUREVIC Vladimir (SRB)
WTT Feeder Gdansk 2025,2025-11-11,BOBOCICA Mihai,GIARDI Federico,3,1,"11,11,16,11|6,3,18,7",QR1,WTT_FEEDER,MS,3191,Qualification,BOBOCICA Mihai (ITA),GIARDI Federico (SMR)
WTT Feeder Gdansk 2025,2025-11-11,LEWANDOWSKI Patryk Rafal,SHUSHAN Eitay,3,0,"11,11,11|9,8,6",QR1,WTT_FEEDER,MS,3191,Qualification,LEWANDOWSKI Patryk Rafal (POL),SHUSHAN Eitay (ISR)
WTT Feeder Gdansk 2025,2025-11-11,ZYWORONEK Patryk,MICHNA Dawid,3,0,"11,11,11|5,5,9",QR1,WTT_FEEDER,MS,3191,Qualification,ZYWORONEK Patryk (POL),MICHNA Dawid (POL)
WTT Feeder Gdansk 2025,2025-11-11,KULCZYCKI Alan,MARTIN Simeon,3,2,"11,8,11,8,11|7,11,6,11,3",QR1,WTT_FEEDER,MS,3191,Qualification,KULCZYCKI Alan (POL),MARTIN Simeon (CAN)
WTT Feeder Gdansk 2025,2025-11-11,SAWCZAK Milosz,KAUCKY Jakub,3,1,"11,11,9,11|5,6,11,8",QR1,WTT_FEEDER,MS,3191,Qualification,SAWCZAK Milosz (POL),KAUCKY Jakub (CZE)
WTT Feeder Gdansk 2025,2025-11-11,DZIUBA Patryk,MONGIUSTI Mattias,3,1,"11,11,9,11|3,3,11,3",QR1,WTT_FEEDER,MS,3191,Qualification,DZIUBA Patryk (POL),MONGIUSTI Mattias (SMR)
WTT Feeder Gdansk 2025,2025-11-11,MATSUSHITA Taisei,FELKEL Grzegorz,3,0,"11,11,11|3,8,6",QR1,WTT_FEEDER,MS,3191,Qualification,MATSUSHITA Taisei (JPN),FELKEL Grzegorz (POL)
WTT Feeder Gdansk 2025,2025-11-11,IGARASHI Fumiya/YOKOI Sakura,KVETON Ondrej/KODET Hanka,3,2,"12,7,8,11,11|10,11,11,7,4",QR1,WTT_FEEDER,XD,3191,Qualification,IGARASHI Fumiya/YOKOI Sakura (JPN),KVETON Ondrej/KODET Hanka (CZE)
