tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Olomouc 2025,2025-08-28,FERNANDEZ Carlos,DUTTA Riyan,3,0,"11,11,11|4,0,2",GROUP,WTT_FEEDER,MS,3028,Main Draw,FERNANDEZ Carlos (PER),DUTTA Riyan (IND),FERNANDEZ Carlos
WTT Feeder Olomouc 2025,2025-08-28,ABE Yuto,PORTOKALIS Antonis,3,0,"11,11,11|5,4,3",GROUP,WTT_FEEDER,MS,3028,Main Draw,ABE Yuto (JPN),PORTOKALIS Antonis (CYP),ABE Yuto
WTT Feeder Olomouc 2025,2025-08-28,KOSTAL Daniel,GAWLAS Michal,3,1,"11,6,11,11|6,11,6,5",GROUP,WTT_FEEDER,MS,3028,Main Draw,KOSTAL Daniel (CZE),GAWLAS Michal (POL),KOSTAL Daniel
WTT Feeder Olomouc 2025,2025-08-28,KOBAYASHI Hiromu,SOHRABI Mohammadjavad,3,1,"11,11,6,11|4,4,11,5",GROUP,WTT_FEEDER,MS,3028,Main Draw,KOBAYASHI Hiromu (JPN),SOHRABI Mohammadjavad (IRI),KOBAYASHI Hiromu
WTT Feeder Olomouc 2025,2025-08-28,KOLASA Szymon,MAKARA Jakub,3,0,"11,11,11|7,9,7",GROUP,WTT_FEEDER,MS,3028,Main Draw,KOLASA Szymon (POL),MAKARA Jakub (CZE),KOLASA Szymon
WTT Feeder Olomouc 2025,2025-08-28,PETUKH Nazar,DATTA Nabajit,3,0,"11,11,11|5,2,4",GROUP,WTT_FEEDER,MS,3028,Main Draw,PETUKH Nazar (UKR),DATTA Nabajit (IND),PETUKH Nazar
WTT Feeder Olomouc 2025,2025-08-28,VASENDOVA Jana/HRABICOVA Klara,STOFFREGEN Mille/NIELSEN Sally,3,2,"11,12,13,9,11|5,14,11,11,8",QR1,WTT_FEEDER,WD,3028,Qualification,VASENDOVA Jana/HRABICOVA Klara (CZE),STOFFREGEN Mille/NIELSEN Sally (DEN),VASENDOVA Jana/HRABICOVA Klara
WTT Feeder Olomouc 2025,2025-08-28,KLEMPEREROVA Anna/SCIBRANIOVA Magdalena,ZADEROVA Linda/PETROVOVA Nikita,3,2,"9,11,4,11,11|11,9,11,6,6",QR1,WTT_FEEDER,WD,3028,Qualification,KLEMPEREROVA Anna/SCIBRANIOVA Magdalena (CZE),ZADEROVA Linda/PETROVOVA Nikita (CZE),KLEMPEREROVA Anna/SCIBRANIOVA Magdalena
WTT Feeder Olomouc 2025,2025-08-28,MISCHEK Karoline/LIU Yuan,ILLASOVA Adriana/WILTSCHKOVA Dominika,3,1,"11,11,7,13|6,6,11,11",QR1,WTT_FEEDER,WD,3028,Qualification,MISCHEK Karoline/LIU Yuan (AUT),ILLASOVA Adriana/WILTSCHKOVA Dominika (SVK),MISCHEK Karoline/LIU Yuan
WTT Feeder Olomouc 2025,2025-08-28,SIKORSKA Magdalena/ZAKRZEWSKA Agata,SOMMEROVA Helena/SAZIMOVA Adela,3,1,"12,8,11,11|10,11,7,2",QR1,WTT_FEEDER,WD,3028,Qualification,SIKORSKA Magdalena/ZAKRZEWSKA Agata (POL),SOMMEROVA Helena/SAZIMOVA Adela (CZE),SIKORSKA Magdalena/ZAKRZEWSKA Agata
WTT Feeder Olomouc 2025,2025-08-28,FERNANDEZ Carlos/DUFFOO Felipe,MAKARA Jakub/KOSTAL Daniel,3,0,"11,11,11|6,8,3",QR1,WTT_FEEDER,MD,3028,Qualification,FERNANDEZ Carlos/DUFFOO Felipe (PER),MAKARA Jakub/KOSTAL Daniel (CZE),FERNANDEZ Carlos/DUFFOO Felipe
WTT Feeder Olomouc 2025,2025-08-28,ALAMIAN Nima/ALAMIYAN Noshad,PORTOKALIS Antonis/DUTTA Riyan,3,0,"11,11,11|3,2,5",QR1,WTT_FEEDER,MD,3028,Qualification,ALAMIAN Nima/ALAMIYAN Noshad (IRI),PORTOKALIS Antonis/DUTTA Riyan (CYP/IND),ALAMIAN Nima/ALAMIYAN Noshad
WTT Feeder Olomouc 2025,2025-08-28,VALLINO Federico/CARNOVALE Miriam,MAKARA Jakub/SCIBRANIOVA Magdalena,3,2,"9,11,9,11,11|11,7,11,3,7",QR2,WTT_FEEDER,XD,3028,Qualification,VALLINO Federico/CARNOVALE Miriam (ITA),MAKARA Jakub/SCIBRANIOVA Magdalena (CZE),VALLINO Federico/CARNOVALE Miriam
WTT Feeder Olomouc 2025,2025-08-28,MORAVEK Radim/VASENDOVA Jana,VALENET Edouard/WILTSCHKOVA Dominika,3,0,"11,11,11|9,9,9",QR2,WTT_FEEDER,XD,3028,Qualification,MORAVEK Radim/VASENDOVA Jana (CZE),VALENET Edouard/WILTSCHKOVA Dominika (PHI/SVK),MORAVEK Radim/VASENDOVA Jana
WTT Feeder Olomouc 2025,2025-08-28,VALENTA Jan/HRABICOVA Klara,KADLEC Vit/SOMMEROVA Helena,3,0,"11,11,11|6,9,8",QR2,WTT_FEEDER,XD,3028,Qualification,VALENTA Jan/HRABICOVA Klara (CZE),KADLEC Vit/SOMMEROVA Helena (CZE),VALENTA Jan/HRABICOVA Klara
WTT Feeder Olomouc 2025,2025-08-28,GIOVANNETTI Tommaso/ARLIA Nicole,MARTINKO Tomas/KLEMPEREROVA Anna,3,0,"11,11,11|2,3,9",QR2,WTT_FEEDER,XD,3028,Qualification,GIOVANNETTI Tommaso/ARLIA Nicole (ITA),MARTINKO Tomas/KLEMPEREROVA Anna (CZE),GIOVANNETTI Tommaso/ARLIA Nicole
WTT Feeder Olomouc 2025,2025-08-28,ABE Yuto,FERNANDEZ Carlos,3,1,"9,11,11,11|11,5,9,7",GROUP,WTT_FEEDER,MS,3028,Main Draw,ABE Yuto (JPN),FERNANDEZ Carlos (PER),ABE Yuto
WTT Feeder Olomouc 2025,2025-08-28,DUTTA Riyan,PORTOKALIS Antonis,3,0,"11,11,11|7,2,7",GROUP,WTT_FEEDER,MS,3028,Main Draw,DUTTA Riyan (IND),PORTOKALIS Antonis (CYP),DUTTA Riyan
WTT Feeder Olomouc 2025,2025-08-28,KOLASA Szymon,NODA Sota,3,2,"9,12,11,12,11|11,10,1,14,6",GROUP,WTT_FEEDER,MS,3028,Main Draw,KOLASA Szymon (POL),NODA Sota (JPN),KOLASA Szymon
WTT Feeder Olomouc 2025,2025-08-28,FADEEV Kirill,KOSTAL Daniel,3,0,"11,11,11|9,3,8",GROUP,WTT_FEEDER,MS,3028,Main Draw,FADEEV Kirill (GER),KOSTAL Daniel (CZE),FADEEV Kirill
WTT Feeder Olomouc 2025,2025-08-28,KOBAYASHI Hiromu,PETUKH Nazar,3,0,"11,11,11|6,6,6",GROUP,WTT_FEEDER,MS,3028,Main Draw,KOBAYASHI Hiromu (JPN),PETUKH Nazar (UKR),KOBAYASHI Hiromu
WTT Feeder Olomouc 2025,2025-08-28,SOHRABI Mohammadjavad,DATTA Nabajit,3,0,"11,11,11|4,3,3",GROUP,WTT_FEEDER,MS,3028,Main Draw,SOHRABI Mohammadjavad (IRI),DATTA Nabajit (IND),SOHRABI Mohammadjavad
WTT Feeder Olomouc 2025,2025-08-28,FERNANDEZ Carlos,PORTOKALIS Antonis,3,0,"11,11,11|3,5,9",GROUP,WTT_FEEDER,MS,3028,Main Draw,FERNANDEZ Carlos (PER),PORTOKALIS Antonis (CYP),FERNANDEZ Carlos
WTT Feeder Olomouc 2025,2025-08-28,ABE Yuto,DUTTA Riyan,3,0,"11,11,12|4,7,10",GROUP,WTT_FEEDER,MS,3028,Main Draw,ABE Yuto (JPN),DUTTA Riyan (IND),ABE Yuto
