tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender Doha 2025,2025-01-06,RASSENFOSSE Adrien,HO Kwan Kit,3,1,"11,10,12,14|7,12,10,12",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,RASSENFOSSE Adrien (BEL),HO Kwan Kit (HKG),RASSENFOSSE Adrien
WTT Star Contender Doha 2025,2025-01-06,ALAMIAN Nima,AL HADDAD Essa,3,0,"11,11,11|3,4,7",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,ALAMIAN Nima (IRI),AL HADDAD Essa (QAT),ALAMIAN Nima
WTT Star Contender Doha 2025,2025-01-06,HURSEY Anna,STERNER Anastasia,3,0,"11,11,11|6,8,7",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,HURSEY Anna (WAL),STERNER Anastasia (AUT),HURSEY Anna
WTT Star Contender Doha 2025,2025-01-06,RANEFUR Elias,JARVIS Tom,3,2,"11,11,5,7,13|9,9,11,11,11",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,RANEFUR Elias (SWE),JARVIS Tom (ENG),RANEFUR Elias
WTT Star Contender Doha 2025,2025-01-06,SHAH Manush,BOURRASSAUD Florian,3,1,"6,12,11,11|11,10,9,9",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,SHAH Manush (IND),BOURRASSAUD Florian (FRA),SHAH Manush
WTT Star Contender Doha 2025,2025-01-06,YIU Kwan To,ABDULWAHHAB Abdullah,3,0,"11,11,11|6,6,6",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,YIU Kwan To (HKG),ABDULWAHHAB Abdullah (QAT),YIU Kwan To
WTT Star Contender Doha 2025,2025-01-06,HUNG Jing-Kai,AFANADOR Brian,3,0,"11,11,11|9,7,4",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,HUNG Jing-Kai (TPE),AFANADOR Brian (PUR),HUNG Jing-Kai
WTT Star Contender Doha 2025,2025-01-06,SURAVAJJULA Snehit,JAIN Payas,3,1,"11,9,11,11|7,11,8,9",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,SURAVAJJULA Snehit (IND),JAIN Payas (IND),SURAVAJJULA Snehit
WTT Star Contender Doha 2025,2025-01-06,YEH Yi-Tian,LEE Daeun,3,2,"11,8,7,11,11|7,11,11,8,7",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,YEH Yi-Tian (TPE),LEE Daeun (KOR),YEH Yi-Tian
WTT Star Contender Doha 2025,2025-01-06,KOURAICHI Alexis,ALNASER Rawad,3,0,"16,11,11|14,7,4",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,KOURAICHI Alexis (FRA),ALNASER Rawad (QAT),KOURAICHI Alexis
WTT Star Contender Doha 2025,2025-01-06,KIM Taehyun,KOZUL Deni,3,0,"11,11,11|8,7,5",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,KIM Taehyun (MLT),KOZUL Deni (SLO),KIM Taehyun
WTT Star Contender Doha 2025,2025-01-06,HUANG Yu-Jie,BAISYA Poymantee,3,1,"7,11,11,11|11,8,7,8",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,HUANG Yu-Jie (TPE),BAISYA Poymantee (IND),HUANG Yu-Jie
WTT Star Contender Doha 2025,2025-01-06,CHO Seungmin,LAM Siu Hang,3,0,"11,11,13|8,6,11",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,CHO Seungmin (KOR),LAM Siu Hang (HKG),CHO Seungmin
WTT Star Contender Doha 2025,2025-01-06,JANCARIK Lubomir,ABDALLA Yousif,3,1,"11,9,11,11|3,11,5,1",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,JANCARIK Lubomir (CZE),ABDALLA Yousif (QAT),JANCARIK Lubomir
WTT Star Contender Doha 2025,2025-01-06,ROLLAND Jules,GUBRAN Ebrahim,3,0,"11,11,11|8,2,6",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,ROLLAND Jules (FRA),GUBRAN Ebrahim (YEM),ROLLAND Jules
WTT Star Contender Doha 2025,2025-01-06,PARK Ganghyeon,ZALEWSKI Mateusz,3,0,"11,11,11|9,6,6",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,PARK Ganghyeon (KOR),ZALEWSKI Mateusz (POL),PARK Ganghyeon
WTT Star Contender Doha 2025,2025-01-06,KWAN Man Ho,SU Yu-Lun,3,0,"11,11,13|5,9,11",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,KWAN Man Ho (HKG),SU Yu-Lun (TPE),KWAN Man Ho
WTT Star Contender Doha 2025,2025-01-06,YANG Ha Eun,MIRKADIROVA Sarvinoz,3,0,"11,11,11|7,1,3",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,YANG Ha Eun (KOR),MIRKADIROVA Sarvinoz (KAZ),YANG Ha Eun
WTT Star Contender Doha 2025,2025-01-06,PICARD Vincent,AL ABDULLA Abdulaziz,3,0,"11,11,11|5,2,5",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,PICARD Vincent (FRA),AL ABDULLA Abdulaziz (QAT),PICARD Vincent
WTT Star Contender Doha 2025,2025-01-06,GHOSH Anirban,SHAMS Navid,3,2,"8,11,15,6,11|11,9,13,11,6",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,GHOSH Anirban (IND),SHAMS Navid (IRI),GHOSH Anirban
WTT Star Contender Doha 2025,2025-01-06,KIM Seoyun,CHEN Chi-Shiuan,3,1,"11,11,3,11|8,8,11,7",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,KIM Seoyun (KOR),CHEN Chi-Shiuan (TPE),KIM Seoyun
WTT Star Contender Doha 2025,2025-01-06,LI Yan Jun,KORANI Ahmed,3,2,"11,8,9,11,11|1,11,11,7,2",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,LI Yan Jun (TPE),KORANI Ahmed (QAT),LI Yan Jun
WTT Star Contender Doha 2025,2025-01-06,JANG Seongil,PISTEJ Lubomir,3,0,"11,13,11|9,11,7",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,JANG Seongil (KOR),PISTEJ Lubomir (SVK),JANG Seongil
WTT Star Contender Doha 2025,2025-01-06,BERGAND Filippa,SAWETTABUT Jinnipa,3,0,"12,11,11|10,9,9",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,BERGAND Filippa (SWE),SAWETTABUT Jinnipa (THA),BERGAND Filippa
WTT Star Contender Doha 2025,2025-01-06,CHIRITA Iulian,ROSSI Carlo,3,0,"11,11,11|5,9,6",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,CHIRITA Iulian (ROU),ROSSI Carlo (ITA),CHIRITA Iulian
WTT Star Contender Doha 2025,2025-01-06,KUO Guan-Hong,PEREZ Juan,3,0,"11,13,11|6,11,5",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,KUO Guan-Hong (TPE),PEREZ Juan (ESP),KUO Guan-Hong
WTT Star Contender Doha 2025,2025-01-06,POLANSKY Tomas,OYEBODE John,3,0,"11,11,11|7,4,6",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,POLANSKY Tomas (CZE),OYEBODE John (ITA),POLANSKY Tomas
WTT Star Contender Doha 2025,2025-01-07,HUNG Jing-Kai,YIU Kwan To,3,1,"11,11,7,11|9,5,11,8",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,HUNG Jing-Kai (TPE),YIU Kwan To (HKG),HUNG Jing-Kai
WTT Star Contender Doha 2025,2025-01-07,YEH Yi-Tian,SU Tsz Tung,3,1,"11,9,11,11|7,11,3,4",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,YEH Yi-Tian (TPE),SU Tsz Tung (HKG),YEH Yi-Tian
WTT Star Contender Doha 2025,2025-01-07,PARK Ganghyeon,APOLONIA Tiago,3,1,"11,8,11,11|7,11,9,5",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,PARK Ganghyeon (KOR),APOLONIA Tiago (POR),PARK Ganghyeon
WTT Star Contender Doha 2025,2025-01-07,ZONG Geman,UESAWA Anne,3,0,"11,11,11|6,9,8",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,ZONG Geman (CHN),UESAWA Anne (JPN),ZONG Geman
WTT Star Contender Doha 2025,2025-01-07,HUANG Youzheng,HAUG Borgar,3,1,"9,11,11,14|11,9,7,12",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,HUANG Youzheng (CHN),HAUG Borgar (NOR),HUANG Youzheng
WTT Star Contender Doha 2025,2025-01-07,HURSEY Anna,KUKULKOVA Tatiana,3,1,"10,11,11,11|12,8,6,7",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,HURSEY Anna (WAL),KUKULKOVA Tatiana (SVK),HURSEY Anna
WTT Star Contender Doha 2025,2025-01-07,STUMPER Kay,KOURAICHI Alexis,3,1,"12,11,11,11|10,13,2,7",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,STUMPER Kay (GER),KOURAICHI Alexis (FRA),STUMPER Kay
WTT Star Contender Doha 2025,2025-01-07,YANG Ha Eun,NG Wing Lam,3,1,"9,11,11,11|11,6,5,1",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,YANG Ha Eun (KOR),NG Wing Lam (HKG),YANG Ha Eun
WTT Star Contender Doha 2025,2025-01-07,CHO Seungmin,XU Yingbin,3,2,"3,12,11,7,11|11,10,7,11,9",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,CHO Seungmin (KOR),XU Yingbin (CHN),CHO Seungmin
WTT Star Contender Doha 2025,2025-01-07,CHITALE Diya,MUKHERJEE Ayhika,3,0,"11,11,11|9,4,8",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,CHITALE Diya (IND),MUKHERJEE Ayhika (IND),CHITALE Diya
WTT Star Contender Doha 2025,2025-01-07,ZHU Yuling,LEE Zion,3,0,"13,11,11|11,6,8",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,ZHU Yuling (MAC),LEE Zion (KOR),ZHU Yuling
WTT Star Contender Doha 2025,2025-01-07,KUO Guan-Hong,GHOSH Anirban,3,0,"12,11,11|10,5,4",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,KUO Guan-Hong (TPE),GHOSH Anirban (IND),KUO Guan-Hong
WTT Star Contender Doha 2025,2025-01-07,POLANSKY Tomas,MA Jinbao,3,2,"11,12,7,8,11|2,10,11,11,6",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,POLANSKY Tomas (CZE),MA Jinbao (USA),POLANSKY Tomas
WTT Star Contender Doha 2025,2025-01-07,DIACONU Adina,PESOTSKA Margaryta,3,1,"11,12,5,11|9,10,11,7",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,DIACONU Adina (ROU),PESOTSKA Margaryta (UKR),DIACONU Adina
WTT Star Contender Doha 2025,2025-01-07,KARLSSON Kristian,CHIRITA Iulian,3,1,"11,6,11,11|8,11,6,6",QR3,WTT_STAR_CONTENDER,MS,3083,Qualification,KARLSSON Kristian (SWE),CHIRITA Iulian (ROU),KARLSSON Kristian
WTT Star Contender Doha 2025,2025-01-07,BERGAND Filippa,ZHANG Sofia-Xuan,3,1,"11,9,11,12|7,11,6,10",QR3,WTT_STAR_CONTENDER,WS,3083,Qualification,BERGAND Filippa (SWE),ZHANG Sofia-Xuan (ESP),BERGAND Filippa
WTT Star Contender Doha 2025,2025-01-07,HUANG Youzheng/SHI Xunyao,PITCHFORD Liam/HURSEY Anna,3,2,"11,2,11,6,11|5,11,6,11,7",QR1,WTT_STAR_CONTENDER,XD,3083,Qualification,HUANG Youzheng/SHI Xunyao (CHN),PITCHFORD Liam/HURSEY Anna (ENG/WAL),HUANG Youzheng/SHI Xunyao
WTT Star Contender Doha 2025,2025-01-07,THAKKAR Manav/BATRA Manika,COTON Flavien/LUTZ Charlotte,3,1,"3,11,13,12|11,3,11,10",QR1,WTT_STAR_CONTENDER,XD,3083,Qualification,THAKKAR Manav/BATRA Manika (IND),COTON Flavien/LUTZ Charlotte (FRA),THAKKAR Manav/BATRA Manika
WTT Star Contender Doha 2025,2025-01-07,MATSUSHIMA Sora/HARIMOTO Miwa,BAE Hwan/JEE Minhyung,3,0,"13,11,11|11,6,7",QR1,WTT_STAR_CONTENDER,XD,3083,Qualification,MATSUSHIMA Sora/HARIMOTO Miwa (JPN),BAE Hwan/JEE Minhyung (AUS),MATSUSHIMA Sora/HARIMOTO Miwa
WTT Star Contender Doha 2025,2025-01-07,YOSHIMURA Maharu/ODO Satsuki,PISTEJ Lubomir/KUKULKOVA Tatiana,3,0,"11,11,11|2,5,7",QR1,WTT_STAR_CONTENDER,XD,3083,Qualification,YOSHIMURA Maharu/ODO Satsuki (JPN),PISTEJ Lubomir/KUKULKOVA Tatiana (SVK),YOSHIMURA Maharu/ODO Satsuki
WTT Star Contender Doha 2025,2025-01-07,KWAN Man Ho/LAM Siu Hang,ACHANTA Sharath/SURAVAJJULA Snehit,3,2,"11,8,8,11,13|7,11,11,7,11",QR1,WTT_STAR_CONTENDER,MD,3083,Qualification,KWAN Man Ho/LAM Siu Hang (HKG),ACHANTA Sharath/SURAVAJJULA Snehit (IND),KWAN Man Ho/LAM Siu Hang
WTT Star Contender Doha 2025,2025-01-07,PARK Ganghyeon/JANG Seongil,HUNG Jing-Kai/CHANG Yu-An,3,2,"7,11,3,11,11|11,6,11,9,8",QR1,WTT_STAR_CONTENDER,MD,3083,Qualification,PARK Ganghyeon/JANG Seongil (KOR),HUNG Jing-Kai/CHANG Yu-An (TPE),PARK Ganghyeon/JANG Seongil
WTT Star Contender Doha 2025,2025-01-07,QIAN Tianyi/SHI Xunyao,KALLBERG Christina/BERGSTROM Linda,3,1,"10,11,11,11|12,7,6,7",QR1,WTT_STAR_CONTENDER,WD,3083,Qualification,QIAN Tianyi/SHI Xunyao (CHN),KALLBERG Christina/BERGSTROM Linda (SWE),QIAN Tianyi/SHI Xunyao
