tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,NOGUTI Henrique/YAMANE Hamilton,OLAVE Alfonso/VOS Eusebio,3,2,"5,12,11,11,11|11,14,7,9,7",QR1,WTT_STAR_CONTENDER,MD,3093,Qualification,NOGUTI Henrique/YAMANE Hamilton (BRA),OLAVE Alfonso/VOS Eusebio (CHI),NOGUTI Henrique/YAMANE Hamilton
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,AIDA Satoshi/OIKAWA Mizuki,VERDONSCHOT Wim/WALTHER Ricardo,3,2,"15,8,11,10,11|13,11,6,12,7",QR1,WTT_STAR_CONTENDER,MD,3093,Qualification,AIDA Satoshi/OIKAWA Mizuki (JPN),VERDONSCHOT Wim/WALTHER Ricardo (GER),AIDA Satoshi/OIKAWA Mizuki
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,DESCHAMPS Hugo/NARANJO Angel,TURRINI Rafael/SHIM Joon,3,0,"15,11,16|13,8,14",QR1,WTT_STAR_CONTENDER,MD,3093,Qualification,DESCHAMPS Hugo/NARANJO Angel (FRA/PUR),TURRINI Rafael/SHIM Joon (BRA),DESCHAMPS Hugo/NARANJO Angel
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,SHIRAY Karina/FIORE Beatriz,PRATES Jessica/KANO Sofia,3,1,"11,11,7,11|8,8,11,5",QR1,WTT_STAR_CONTENDER,WD,3093,Qualification,SHIRAY Karina/FIORE Beatriz (BRA),PRATES Jessica/KANO Sofia (BRA),SHIRAY Karina/FIORE Beatriz
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,SU Tsz Tung/ZENG Zhiying,SARDA Mahayla/HATAKEYAMA Julia,3,0,"11,11,11|9,7,4",QR1,WTT_STAR_CONTENDER,WD,3093,Qualification,SU Tsz Tung/ZENG Zhiying (HKG/CHI),SARDA Mahayla/HATAKEYAMA Julia (BRA),SU Tsz Tung/ZENG Zhiying
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,SARMENTO Allan,LIN Xuqi,3,1,"11,8,11,11|7,11,8,6",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,SARMENTO Allan (BRA),LIN Xuqi (AUS),SARMENTO Allan
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,TURRINI Rafael,TSUBOI Gustavo,3,1,"11,11,7,11|9,2,11,4",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,TURRINI Rafael (BRA),TSUBOI Gustavo (BRA),TURRINI Rafael
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,JAIN Payas,SHIM Joon,3,0,"11,11,11|8,6,7",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,JAIN Payas (IND),SHIM Joon (BRA),JAIN Payas
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,HUNG Jing-Kai,VOS Eusebio,3,0,"11,11,11|9,6,9",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,HUNG Jing-Kai (TPE),VOS Eusebio (CHI),HUNG Jing-Kai
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,VERDONSCHOT Wim,TOMA Danilo,3,0,"11,11,11|5,8,7",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,VERDONSCHOT Wim (GER),TOMA Danilo (BRA),VERDONSCHOT Wim
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,MEISSNER Cedric,IWAMOTO Vitor,3,1,"11,9,11,11|5,11,5,5",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,MEISSNER Cedric (GER),IWAMOTO Vitor (BRA),MEISSNER Cedric
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,AIDA Satoshi,BHATTACHARJEE Ankur,3,0,"11,11,13|7,4,11",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,AIDA Satoshi (JPN),BHATTACHARJEE Ankur (IND),AIDA Satoshi
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,DESCHAMPS Hugo,FUJII Davi,3,0,"11,11,11|6,6,7",QR2,WTT_STAR_CONTENDER,MS,3093,Qualification,DESCHAMPS Hugo (FRA),FUJII Davi (BRA),DESCHAMPS Hugo
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,VOS Eusebio/RIOS Valentina,OLAVE Alfonso/VEGA Sofia,3,1,"11,9,12,11|4,11,10,6",QR1,WTT_STAR_CONTENDER,XD,3093,Qualification,VOS Eusebio/RIOS Valentina (CHI),OLAVE Alfonso/VEGA Sofia (CHI),VOS Eusebio/RIOS Valentina
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,TOMA Danilo,GONDO Guilherme,3,1,"4,11,11,11|11,5,5,7",QR1,WTT_STAR_CONTENDER,MS,3093,Qualification,TOMA Danilo (BRA),GONDO Guilherme (BRA),TOMA Danilo
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,SARMENTO Allan,KUMAHARA Luca,3,0,"11,11,11|6,4,6",QR1,WTT_STAR_CONTENDER,MS,3093,Qualification,SARMENTO Allan (BRA),KUMAHARA Luca (BRA),SARMENTO Allan
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,FUJII Davi,FIAMMINGO Fabiano,3,0,"11,11,11|5,2,2",QR1,WTT_STAR_CONTENDER,MS,3093,Qualification,FUJII Davi (BRA),FIAMMINGO Fabiano (PAR),FUJII Davi
WTT Star Contender Foz do Iguaçu 2025,2025-07-30,TURRINI Rafael,YAMANE Hamilton,3,0,"11,11,11|7,4,7",QR1,WTT_STAR_CONTENDER,MS,3093,Qualification,TURRINI Rafael (BRA),YAMANE Hamilton (BRA),TURRINI Rafael
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,HUANG Yan-Cheng,DOTI Felipe,3,1,"12,11,11,11|14,7,3,8",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,HUANG Yan-Cheng (TPE),DOTI Felipe (BRA),HUANG Yan-Cheng
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,VEGA Sofia,STRASSBURGER Victoria,3,2,"6,5,11,11,11|11,11,7,2,1",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,VEGA Sofia (CHI),STRASSBURGER Victoria (BRA),VEGA Sofia
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,HAMADA Kazuki,AIDA Satoshi,3,0,"11,11,12|9,5,10",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,HAMADA Kazuki (JPN),AIDA Satoshi (JPN),HAMADA Kazuki
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,RIOS Valentina/VEGA Sofia,TAKAHASHI Giulia/TAKAHASHI Bruna,3,2,"6,12,11,6,17|11,10,9,11,15",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,RIOS Valentina/VEGA Sofia (CHI),TAKAHASHI Giulia/TAKAHASHI Bruna (BRA),RIOS Valentina/VEGA Sofia
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,HUNG Jing-Kai,GOMEZ Gustavo,3,1,"11,11,5,11|7,2,11,9",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,HUNG Jing-Kai (TPE),GOMEZ Gustavo (CHI),HUNG Jing-Kai
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,SHAH Manush,KIM Taehyun,3,1,"13,11,4,11|11,8,11,6",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,SHAH Manush (IND),KIM Taehyun (MLT),SHAH Manush
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,CASTRO Rogelio,NOGUTI Henrique,3,1,"11,11,7,11|9,8,11,9",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,CASTRO Rogelio (MEX),NOGUTI Henrique (BRA),CASTRO Rogelio
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,BURGOS Nicolas/GOMEZ Gustavo,DESCHAMPS Hugo/NARANJO Angel,3,0,"11,11,11|8,8,8",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,BURGOS Nicolas/GOMEZ Gustavo (CHI),DESCHAMPS Hugo/NARANJO Angel (FRA/PUR),BURGOS Nicolas/GOMEZ Gustavo
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,DUDA Benedikt/QIU Dang,TURRINI Rafael/SHIM Joon,3,0,"12,11,11|10,6,7",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,DUDA Benedikt/QIU Dang (GER),TURRINI Rafael/SHIM Joon (BRA),DUDA Benedikt/QIU Dang
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,KIM Nayeong/RYU Hanna,SHIRAY Karina/FIORE Beatriz,3,0,"11,11,11|5,0,4",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,KIM Nayeong/RYU Hanna (KOR),SHIRAY Karina/FIORE Beatriz (BRA),KIM Nayeong/RYU Hanna
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,BRITO Eva,AGNONE MAIARA,3,2,"11,11,4,7,11|6,8,11,11,7",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,BRITO Eva (DOM),AGNONE MAIARA (BRA),BRITO Eva
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,ORTEGA Daniela,SARDA Mahayla,3,0,"11,11,11|5,5,4",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,ORTEGA Daniela (CHI),SARDA Mahayla (BRA),ORTEGA Daniela
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,BURGOS Nicolas,JAIN Payas,3,1,"11,12,12,11|8,10,14,8",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,BURGOS Nicolas (CHI),JAIN Payas (IND),BURGOS Nicolas
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,BOURRASSAUD Florian/BARDET Lilian,OLAVE Alfonso/VOS Eusebio,3,0,"12,11,12|10,4,10",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,BOURRASSAUD Florian/BARDET Lilian (FRA),OLAVE Alfonso/VOS Eusebio (CHI),BOURRASSAUD Florian/BARDET Lilian
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,DESAI Harmeet/SURAVAJJULA Snehit,LORENZO Santiago/BAE Hwan,3,2,"11,9,11,6,11|3,11,4,11,8",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,DESAI Harmeet/SURAVAJJULA Snehit (IND),LORENZO Santiago/BAE Hwan (ARG/AUS),DESAI Harmeet/SURAVAJJULA Snehit
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,MEISSNER Cedric,ROMANSKI Lucas,3,0,"11,11,11|8,8,9",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,MEISSNER Cedric (GER),ROMANSKI Lucas (BRA),MEISSNER Cedric
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,CHENG I-Ching/HUANG Yu-Jie,PRATES Jessica/KANO Sofia,3,0,"11,11,11|5,9,3",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,CHENG I-Ching/HUANG Yu-Jie (TPE),PRATES Jessica/KANO Sofia (BRA),CHENG I-Ching/HUANG Yu-Jie
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,WATANABE Laura/STRASSBURGER Victoria,SU Tsz Tung/ZENG Zhiying,3,1,"12,11,11,11|10,7,13,6",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,WATANABE Laura/STRASSBURGER Victoria (BRA),SU Tsz Tung/ZENG Zhiying (HKG/CHI),WATANABE Laura/STRASSBURGER Victoria
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,MUKHERJEE Ayhika,FIORE Beatriz,3,0,"11,11,11|7,9,4",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,MUKHERJEE Ayhika (IND),FIORE Beatriz (BRA),MUKHERJEE Ayhika
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,GHORPADE Yashaswini,CODINA Ana,3,0,"11,11,12|8,9,10",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,GHORPADE Yashaswini (IND),CODINA Ana (ARG),GHORPADE Yashaswini
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,CHANG Yu-An,BOURRASSAUD Florian,3,0,"11,11,11|8,9,7",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,CHANG Yu-An (TPE),BOURRASSAUD Florian (FRA),CHANG Yu-An
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,VOS Eusebio/RIOS Valentina,IIZUKA Leonardo/WATANABE Laura,3,1,"11,11,13,13|13,5,11,11",R16,WTT_STAR_CONTENDER,XD,3093,Main Draw,VOS Eusebio/RIOS Valentina (CHI),IIZUKA Leonardo/WATANABE Laura (BRA),VOS Eusebio/RIOS Valentina
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,BURGOS Nicolas/VEGA Paulina,DOTI Felipe/SHIRAY Karina,3,2,"13,11,11,8,11|15,9,6,11,9",R16,WTT_STAR_CONTENDER,XD,3093,Main Draw,BURGOS Nicolas/VEGA Paulina (CHI),DOTI Felipe/SHIRAY Karina (BRA),BURGOS Nicolas/VEGA Paulina
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,AIDA Satoshi/HASHIMOTO Honoka,TURRINI Rafael/STRASSBURGER Victoria,3,1,"11,12,8,11|7,10,11,7",R16,WTT_STAR_CONTENDER,XD,3093,Main Draw,AIDA Satoshi/HASHIMOTO Honoka (JPN),TURRINI Rafael/STRASSBURGER Victoria (BRA),AIDA Satoshi/HASHIMOTO Honoka
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,GHOSH Swastika,SHIRAY Karina,3,1,"11,9,13,11|3,11,11,8",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,GHOSH Swastika (IND),SHIRAY Karina (BRA),GHOSH Swastika
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,MUTTI Matteo,DESCHAMPS Hugo,3,2,"17,11,8,11,11|19,9,11,9,8",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,MUTTI Matteo (ITA),DESCHAMPS Hugo (FRA),MUTTI Matteo
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,VARADY Barbora,PRATES Jessica,3,0,"11,11,11|6,3,8",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,VARADY Barbora (SVK),PRATES Jessica (BRA),VARADY Barbora
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,TEODORO Guilherme,SURAVAJJULA Snehit,3,2,"7,12,11,8,11|11,10,6,11,3",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,TEODORO Guilherme (BRA),SURAVAJJULA Snehit (IND),TEODORO Guilherme
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,JAIN Payas/BHATTACHARJEE Ankur,UDA Yukiya/YOSHIYAMA Ryoichi,3,0,"11,11,11|8,6,6",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,JAIN Payas/BHATTACHARJEE Ankur (IND),UDA Yukiya/YOSHIYAMA Ryoichi (JPN),JAIN Payas/BHATTACHARJEE Ankur
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,JOO Cheonhui/LEE Eunhye,ORTEGA Daniela/VEGA Paulina,3,0,"11,11,11|7,6,6",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,JOO Cheonhui/LEE Eunhye (KOR),ORTEGA Daniela/VEGA Paulina (CHI),JOO Cheonhui/LEE Eunhye
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,KUO Guan-Hong,NARANJO Angel,3,1,"11,9,12,11|8,11,10,8",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,KUO Guan-Hong (TPE),NARANJO Angel (PUR),KUO Guan-Hong
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,BATRA Manika/GHOSH Swastika,CHITALE Diya/GHORPADE Yashaswini,3,1,"12,11,3,11|10,8,11,9",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,BATRA Manika/GHOSH Swastika (IND),CHITALE Diya/GHORPADE Yashaswini (IND),BATRA Manika/GHOSH Swastika
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,RYU Hanna,HATAKEYAMA Julia,3,0,"11,11,13|2,6,11",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,RYU Hanna (KOR),HATAKEYAMA Julia (BRA),RYU Hanna
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,WATANABE Laura,KANO Sofia,3,1,"6,11,11,11|11,6,4,9",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,WATANABE Laura (BRA),KANO Sofia (BRA),WATANABE Laura
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,DESAI Harmeet,SARMENTO Allan,3,0,"11,11,11|3,4,8",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,DESAI Harmeet (IND),SARMENTO Allan (BRA),DESAI Harmeet
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,TEODORO Guilherme/IIZUKA Leonardo,DOTI Felipe/ROMANSKI Lucas,3,0,"11,11,11|5,6,7",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,TEODORO Guilherme/IIZUKA Leonardo (BRA),DOTI Felipe/ROMANSKI Lucas (BRA),TEODORO Guilherme/IIZUKA Leonardo
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,APOLONIA Tiago,OLAVE Alfonso,3,0,"11,11,11|7,5,8",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,APOLONIA Tiago (POR),OLAVE Alfonso (CHI),APOLONIA Tiago
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,YOSHIYAMA Ryoichi,TURRINI Rafael,3,1,"13,11,9,11|11,9,11,4",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,YOSHIYAMA Ryoichi (JPN),TURRINI Rafael (BRA),YOSHIYAMA Ryoichi
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,SHAH Manush/THAKKAR Manav,AIDA Satoshi/OIKAWA Mizuki,3,1,"11,3,11,11|8,11,8,6",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,SHAH Manush/THAKKAR Manav (IND),AIDA Satoshi/OIKAWA Mizuki (JPN),SHAH Manush/THAKKAR Manav
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,CHITALE Diya,ZENG Zhiying,3,0,"11,11,11|5,9,4",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,CHITALE Diya (IND),ZENG Zhiying (CHI),CHITALE Diya
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,HUANG Yan-Cheng/KUO Guan-Hong,NOGUTI Henrique/YAMANE Hamilton,3,1,"8,11,11,11|11,7,3,7",R16,WTT_STAR_CONTENDER,MD,3093,Main Draw,HUANG Yan-Cheng/KUO Guan-Hong (TPE),NOGUTI Henrique/YAMANE Hamilton (BRA),HUANG Yan-Cheng/KUO Guan-Hong
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,HUANG Yu-Jie,SU Tsz Tung,3,0,"11,11,11|3,8,8",R64,WTT_STAR_CONTENDER,WS,3093,Main Draw,HUANG Yu-Jie (TPE),SU Tsz Tung (HKG),HUANG Yu-Jie
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,VERDONSCHOT Wim,LORENZO Santiago,3,2,"8,11,8,11,11|11,7,11,6,8",R64,WTT_STAR_CONTENDER,MS,3093,Main Draw,VERDONSCHOT Wim (GER),LORENZO Santiago (ARG),VERDONSCHOT Wim
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,HARIMOTO Miwa/ODO Satsuki,AMORIM Isabel/AGNONE MAIARA,3,0,"11,11,11|4,4,3",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,HARIMOTO Miwa/ODO Satsuki (JPN),AMORIM Isabel/AGNONE MAIARA (BRA),HARIMOTO Miwa/ODO Satsuki
WTT Star Contender Foz do Iguaçu 2025,2025-07-31,YOKOI Sakura/SATO Hitomi,SARDA Mahayla/HATAKEYAMA Julia,3,0,"11,11,11|5,4,6",R16,WTT_STAR_CONTENDER,WD,3093,Main Draw,YOKOI Sakura/SATO Hitomi (JPN),SARDA Mahayla/HATAKEYAMA Julia (BRA),YOKOI Sakura/SATO Hitomi
