tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,XUE Fei/Yan An,NIU Guankai/TANG Yiren,3,0,"11,11,11|9,6,7",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,XUE Fei (CHN) / Yan An (CHN),NIU Guankai (CHN) / TANG Yiren (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,Xiang Peng,XU Yingbin,2,1,"9,12,11|11,10,9",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,Xiang Peng (CHN),XU Yingbin (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,HUANG YouZheng,WEN Ruibo,2,1,"11,6,4|2,11,11",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,HUANG YouZheng (CHN),WEN Ruibo (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,XU Yingbin/HUANG YouZheng,WEN Ruibo/Xiang Peng,3,0,"8,10,11|11,12,13",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,XU Yingbin (CHN) / HUANG YouZheng (CHN),WEN Ruibo (CHN) / Xiang Peng (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,XUE Fei,NIU Guankai,2,0,"11,11|6,9",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,XUE Fei (CHN),NIU Guankai (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,ZHOU Qihao/LI Hechen,XUE Fei/Yan An,2,1,"11,11,7|5,13,11",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,ZHOU Qihao (CHN) / LI Hechen (CHN),XUE Fei (CHN) / Yan An (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,Wang Chuqin,Xiang Peng,2,1,"6,11,11|11,9,9",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,Wang Chuqin (CHN),Xiang Peng (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,Liang Jingkun,WEN Ruibo,2,1,"11,11,7|6,8,11",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,Liang Jingkun (CHN),WEN Ruibo (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,WEN Ruibo/Xiang Peng,Wang Chuqin/Liang Jingkun,2,1,"9,7|11,11",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,WEN Ruibo (CHN) / Xiang Peng (CHN),Wang Chuqin (CHN) / Liang Jingkun (CHN)
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,ZHOU Qihao,XUE Fei,1,0,,GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,ZHOU Qihao (CHN),XUE Fei (CHN)
