tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Europe Smash - Sweden 2026,2026-08-08,YANG Ha Eun,LUPULESKU Izabela,3,1,"9,11,11,11|11,9,9,4",QR1,GRAND_SLAM,WS,3246,Qualification,YANG Ha Eun (KOR),LUPULESKU Izabela (SRB)
Europe Smash - Sweden 2026,2026-08-08,CHAN Baldwin,BOTHA Bosman,3,0,"11,11,11|4,7,5",QR1,GRAND_SLAM,MS,3246,Qualification,CHAN Baldwin (HKG),BOTHA Bosman (USA)
Europe Smash - Sweden 2026,2026-08-08,WALKER Samuel,MUTTI Matteo,3,2,"9,11,11,12,11|11,7,9,14,5",QR1,GRAND_SLAM,MS,3246,Qualification,WALKER Samuel (ENG),MUTTI Matteo (ITA)
Europe Smash - Sweden 2026,2026-08-08,REDZIMSKI Milosz,BATIX Ylane,3,0,"11,11,11|5,4,6",QR1,GRAND_SLAM,MS,3246,Qualification,REDZIMSKI Milosz (POL),BATIX Ylane (CMR)
Europe Smash - Sweden 2026,2026-08-08,PICCOLIN Giorgia,SER Lin Qian,3,1,"7,11,11,11|11,9,8,7",QR1,GRAND_SLAM,WS,3246,Qualification,PICCOLIN Giorgia (ITA),SER Lin Qian (SGP)
Europe Smash - Sweden 2026,2026-08-08,DAS Syndrela,LOY Ming Ying,3,2,"5,8,11,11,11|11,11,6,8,5",QR1,GRAND_SLAM,WS,3246,Qualification,DAS Syndrela (IND),LOY Ming Ying (SGP)
Europe Smash - Sweden 2026,2026-08-08,BHOWMICK Divyanshi,LUTZ Camille,3,2,"9,11,9,11,11|11,3,11,5,9",QR1,GRAND_SLAM,WS,3246,Qualification,BHOWMICK Divyanshi (IND),LUTZ Camille (FRA)
Europe Smash - Sweden 2026,2026-08-08,LY Edward,OYEBODE John,3,1,"11,8,11,13|4,11,8,11",QR1,GRAND_SLAM,MS,3246,Qualification,LY Edward (CAN),OYEBODE John (ITA)
Europe Smash - Sweden 2026,2026-08-08,HUNG Jing-Kai,LAM Siu Hang,3,1,"8,16,11,11|11,14,7,9",QR1,GRAND_SLAM,MS,3246,Qualification,HUNG Jing-Kai (TPE),LAM Siu Hang (HKG)
Europe Smash - Sweden 2026,2026-08-08,ANDRAS Csaba,SAREEN Aditya,3,2,"10,11,9,12,11|12,9,11,10,8",QR1,GRAND_SLAM,MS,3246,Qualification,ANDRAS Csaba (HUN),SAREEN Aditya (AUS)
