tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF-Africa Cup Benghazi 2026,2026-02-07,ASSAR Omar,ASHOUR Yousuf,3,0,"11,11,11|8,6,7",QUAL,OTHER,MS,3485,Qualification,ASSAR Omar (EGY),ASHOUR Yousuf (LBA),ASSAR Omar
ITTF-Africa Cup Benghazi 2026,2026-02-07,GODA Hana,SONDAY Rochica,3,0,"11,11,11|4,7,2",QUAL,OTHER,WS,3485,Qualification,GODA Hana (EGY),SONDAY Rochica (RSA),GODA Hana
ITTF-Africa Cup Benghazi 2026,2026-02-07,ARUNA Quadri,SALIFOU Farouk,3,0,"11,11,11|3,1,6",QUAL,OTHER,MS,3485,Qualification,ARUNA Quadri (NGR),SALIFOU Farouk (BEN),ARUNA Quadri
ITTF-Africa Cup Benghazi 2026,2026-02-07,ABDELAZIZ Youssef,KHALOUFI Mohamed,3,0,"11,11,11|4,7,2",QUAL,OTHER,MS,3485,Qualification,ABDELAZIZ Youssef (EGY),KHALOUFI Mohamed (TUN),ABDELAZIZ Youssef
ITTF-Africa Cup Benghazi 2026,2026-02-07,MESHREF Dina,PATEL Danisha,3,0,"11,11,11|5,4,2",QUAL,OTHER,WS,3485,Qualification,MESHREF Dina (EGY),PATEL Danisha (RSA),MESHREF Dina
ITTF-Africa Cup Benghazi 2026,2026-02-07,SAIDI Ela,INGABIRE Ange Belyse,3,0,"11,11,11|5,7,1",QUAL,OTHER,WS,3485,Qualification,SAIDI Ela (TUN),INGABIRE Ange Belyse (BDI),SAIDI Ela
ITTF-Africa Cup Benghazi 2026,2026-02-07,MORICE Jade,GHOUNIM Malak,3,0,"11,11,11|4,6,2",QUAL,OTHER,WS,3485,Qualification,MORICE Jade (ALG),GHOUNIM Malak (MAR),MORICE Jade
ITTF-Africa Cup Benghazi 2026,2026-02-07,BATIX Ylane,ALAJAEBI Habeb,3,0,"11,11,11|3,6,3",QUAL,OTHER,MS,3485,Qualification,BATIX Ylane (CMR),ALAJAEBI Habeb (LBA),BATIX Ylane
ITTF-Africa Cup Benghazi 2026,2026-02-07,SALIFOU Abdel-Kader,MATHOLE Terrence,3,0,"11,11,11|6,7,1",QUAL,OTHER,MS,3485,Qualification,SALIFOU Abdel-Kader (BEN),MATHOLE Terrence (RSA),SALIFOU Abdel-Kader
ITTF-Africa Cup Benghazi 2026,2026-02-07,ALHODABY Mariam,HAJ SALAH Abir,3,1,"7,11,11,11|11,5,5,4",QUAL,OTHER,WS,3485,Qualification,ALHODABY Mariam (EGY),HAJ SALAH Abir (TUN),ALHODABY Mariam
