tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF-Americas South American Championships Santiago 2026,2026-06-15,ZENG Zhiying,LOZADA Juliana,3,0,"11,11,11|9,7,7",QF,OTHER,WT,3407,Main Draw,ZENG Zhiying (CHI),LOZADA Juliana (COL),ZENG Zhiying
ITTF-Americas South American Championships Santiago 2026,2026-06-15,ORTEGA Daniela,ISAZA Ana,3,0,"11,11,11|6,5,7",QF,OTHER,WT,3407,Main Draw,ORTEGA Daniela (CHI),ISAZA Ana (COL),ORTEGA Daniela
ITTF-Americas South American Championships Santiago 2026,2026-06-15,RIOS Valentina,GOMEZ Ana,3,0,"12,11,11|10,3,9",QF,OTHER,WT,3407,Main Draw,RIOS Valentina (CHI),GOMEZ Ana (COL),RIOS Valentina
ITTF-Americas South American Championships Santiago 2026,2026-06-15,AQUIJE Natzumi,PEREZ Camila,3,1,"11,3,11,11|4,11,7,4",QF,OTHER,WT,3407,Main Draw,AQUIJE Natzumi (PER),PEREZ Camila (ARG),AQUIJE Natzumi
ITTF-Americas South American Championships Santiago 2026,2026-06-15,LA TORRE Mariagrazia,FRIAS Luciana,3,0,"11,11,12|8,8,10",QF,OTHER,WT,3407,Main Draw,LA TORRE Mariagrazia (PER),FRIAS Luciana (ARG),LA TORRE Mariagrazia
ITTF-Americas South American Championships Santiago 2026,2026-06-15,MENDOZA SALAZAR Karla Joana,GITELMAN Lorena,3,1,"10,11,12,11|12,8,10,5",QF,OTHER,WT,3407,Main Draw,MENDOZA SALAZAR Karla Joana (PER),GITELMAN Lorena (ARG),MENDOZA SALAZAR Karla Joana
ITTF-Americas South American Championships Santiago 2026,2026-06-15,GOMEZ Cristina,ANTAR Nahiara,3,0,"11,11,11|3,6,2",QF,OTHER,WT,3407,Main Draw,GOMEZ Cristina (VEN),ANTAR Nahiara (PAR),GOMEZ Cristina
ITTF-Americas South American Championships Santiago 2026,2026-06-15,OBANDO Camila,PAIVA Florencia,3,0,"11,11,11|4,8,6",QF,OTHER,WT,3407,Main Draw,OBANDO Camila (VEN),PAIVA Florencia (PAR),OBANDO Camila
ITTF-Americas South American Championships Santiago 2026,2026-06-15,GONZALEZ Roxy,SANDOVAL Ana,3,0,"11,11,11|3,3,3",QF,OTHER,WT,3407,Main Draw,GONZALEZ Roxy (VEN),SANDOVAL Ana (PAR),GONZALEZ Roxy
ITTF-Americas South American Championships Santiago 2026,2026-06-15,AGUIRRE Marcelo,VOS Eusebio,3,2,"12,12,11,17,11|14,14,6,15,4",QF,OTHER,MT,3407,Main Draw,AGUIRRE Marcelo (PAR),VOS Eusebio (CHI),AGUIRRE Marcelo
ITTF-Americas South American Championships Santiago 2026,2026-06-15,GOMEZ Gustavo,PASTORE Ivan,3,0,"11,11,11|9,3,6",QF,OTHER,MT,3407,Main Draw,GOMEZ Gustavo (CHI),PASTORE Ivan (PAR),GOMEZ Gustavo
ITTF-Americas South American Championships Santiago 2026,2026-06-15,OLIVARES Felipe,BERTOLO Axel,3,0,"11,11,11|6,6,5",QF,OTHER,MT,3407,Main Draw,OLIVARES Felipe (CHI),BERTOLO Axel (PAR),OLIVARES Felipe
ITTF-Americas South American Championships Santiago 2026,2026-06-15,GOMEZ Gustavo,AGUIRRE Marcelo,3,0,"11,11,11|6,9,6",QF,OTHER,MT,3407,Main Draw,GOMEZ Gustavo (CHI),AGUIRRE Marcelo (PAR),GOMEZ Gustavo
ITTF-Americas South American Championships Santiago 2026,2026-06-15,ARCILA Carlos,DUFFOO Felipe,3,0,"11,11,11|2,5,7",QF,OTHER,MT,3407,Main Draw,ARCILA Carlos (COL),DUFFOO Felipe (PER),ARCILA Carlos
ITTF-Americas South American Championships Santiago 2026,2026-06-15,OTALVARO Emanuel,FERNANDEZ Carlos,3,1,"11,11,7,11|7,5,11,7",QF,OTHER,MT,3407,Main Draw,OTALVARO Emanuel (COL),FERNANDEZ Carlos (PER),OTALVARO Emanuel
ITTF-Americas South American Championships Santiago 2026,2026-06-15,BEDOYA Sebastian,HIDALGO Rodrigo,3,2,"11,9,11,8,11|8,11,6,11,9",QF,OTHER,MT,3407,Main Draw,BEDOYA Sebastian (COL),HIDALGO Rodrigo (PER),BEDOYA Sebastian
ITTF-Americas South American Championships Santiago 2026,2026-06-15,TEODORO Guilherme,VILLAVICENCIO Boris,3,0,"11,11,11|4,5,6",QF,OTHER,MT,3407,Main Draw,TEODORO Guilherme (BRA),VILLAVICENCIO Boris (ECU),TEODORO Guilherme
ITTF-Americas South American Championships Santiago 2026,2026-06-15,IIZUKA Leonardo,ROBAYO Joshua,3,1,"11,11,13,11|9,6,15,6",QF,OTHER,MT,3407,Main Draw,IIZUKA Leonardo (BRA),ROBAYO Joshua (ECU),IIZUKA Leonardo
ITTF-Americas South American Championships Santiago 2026,2026-06-15,ARADO Felipe,GONZALEZ Juan,3,1,"12,8,11,11|10,11,9,5",QF,OTHER,MT,3407,Main Draw,ARADO Felipe (BRA),GONZALEZ Juan (ECU),ARADO Felipe
ITTF-Americas South American Championships Santiago 2026,2026-06-15,SANCHI Francisco,CASTILLO Cesar,3,0,"11,11,11|7,5,9",QF,OTHER,MT,3407,Main Draw,SANCHI Francisco (ARG),CASTILLO Cesar (VEN),SANCHI Francisco
ITTF-Americas South American Championships Santiago 2026,2026-06-15,LORENZO Santiago,RIOS Carlos,3,0,"11,13,11|5,11,6",QF,OTHER,MT,3407,Main Draw,LORENZO Santiago (ARG),RIOS Carlos (VEN),LORENZO Santiago
ITTF-Americas South American Championships Santiago 2026,2026-06-15,MEDINA Raymundo,SATO Lautaro,3,2,"8,12,11,9,11|11,10,9,11,5",QF,OTHER,MT,3407,Main Draw,MEDINA Raymundo (VEN),SATO Lautaro (ARG),MEDINA Raymundo
