tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,MOREGARD Truls,LIND Anders,3,0,"11,11,13|6,4,11",R32,WTT_CHAMPIONS,MS,3235,Main Draw,MOREGARD Truls (SWE),LIND Anders (DEN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,ZHU Yuling,HAN Ying,3,0,"11,11,12|9,7,10",R32,WTT_CHAMPIONS,WS,3235,Main Draw,ZHU Yuling (MAC),HAN Ying (GER)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,WEN Ruibo,COTON Flavien,3,0,"11,11,11|6,4,7",R32,WTT_CHAMPIONS,MS,3235,Main Draw,WEN Ruibo (CHN),COTON Flavien (FRA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,TAKAHASHI Bruna,ZENG Jian,3,1,"10,11,11,11|12,5,6,6",R32,WTT_CHAMPIONS,WS,3235,Main Draw,TAKAHASHI Bruna (BRA),ZENG Jian (SGP)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,LEBRUN Felix,ARUNA Quadri,3,0,"11,11,11|5,6,3",R32,WTT_CHAMPIONS,MS,3235,Main Draw,LEBRUN Felix (FRA),ARUNA Quadri (NGR)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,HARIMOTO Tomokazu,KALLBERG Anton,3,2,"6,11,11,11,11|11,4,13,9,5",R32,WTT_CHAMPIONS,MS,3235,Main Draw,HARIMOTO Tomokazu (JPN),KALLBERG Anton (SWE)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,HURSEY Anna,AKULA Sreeja,3,1,"14,5,11,11|12,11,9,8",R32,WTT_CHAMPIONS,WS,3235,Main Draw,HURSEY Anna (WAL),AKULA Sreeja (IND)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,MATSUSHIMA Sora,JHA Kanak,3,1,"11,11,5,11|8,7,11,9",R32,WTT_CHAMPIONS,MS,3235,Main Draw,MATSUSHIMA Sora (JPN),JHA Kanak (USA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,ODO Satsuki,WANG Manyu,3,0,"11,11,11|7,5,3",R32,WTT_CHAMPIONS,WS,3235,Main Draw,ODO Satsuki (JPN),WANG Manyu (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,AN Jaehyun,PORET Thibault,3,2,"11,11,2,11,11|13,5,11,8,1",R32,WTT_CHAMPIONS,MS,3235,Main Draw,AN Jaehyun (KOR),PORET Thibault (FRA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,SHIN Yubin,HASHIMOTO Honoka,3,1,"11,11,8,11|8,8,11,8",R32,WTT_CHAMPIONS,WS,3235,Main Draw,SHIN Yubin (KOR),HASHIMOTO Honoka (JPN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,ZHOU Qihao,HUANG Youzheng,3,1,"12,11,6,11|10,6,11,9",R32,WTT_CHAMPIONS,MS,3235,Main Draw,ZHOU Qihao (CHN),HUANG Youzheng (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-10,KUAI Man,SAMARA Elizabeta,3,0,"11,11,11|5,5,6",R32,WTT_CHAMPIONS,WS,3235,Main Draw,KUAI Man (CHN),SAMARA Elizabeta (ROU)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,SHI Xunyao,YUAN Jia Nan,3,0,"11,11,15|7,5,13",R32,WTT_CHAMPIONS,WS,3235,Main Draw,SHI Xunyao (CHN),YUAN Jia Nan (FRA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,CALDERANO Hugo,CHEN Yuanyu,3,2,"11,7,9,11,11|8,11,11,8,6",R32,WTT_CHAMPIONS,MS,3235,Main Draw,CALDERANO Hugo (BRA),CHEN Yuanyu (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,LIU Yangzi,WINTER Sabine,3,0,"11,11,11|5,9,9",R32,WTT_CHAMPIONS,WS,3235,Main Draw,LIU Yangzi (AUS),WINTER Sabine (GER)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,FRANZISKA Patrick,LEBRUN Alexis,3,0,"11,11,11|9,7,8",R32,WTT_CHAMPIONS,MS,3235,Main Draw,FRANZISKA Patrick (GER),LEBRUN Alexis (FRA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,WANG Yidi,GODA Hana,3,1,"6,11,11,13|11,7,4,11",R32,WTT_CHAMPIONS,WS,3235,Main Draw,WANG Yidi (CHN),GODA Hana (EGY)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,LIN Yun-Ju,KARLSSON Kristian,3,1,"8,11,11,11|11,6,4,7",R32,WTT_CHAMPIONS,MS,3235,Main Draw,LIN Yun-Ju (TPE),KARLSSON Kristian (SWE)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,SZOCS Bernadette,ZHANG Lily,3,0,"12,11,14|10,6,12",R32,WTT_CHAMPIONS,WS,3235,Main Draw,SZOCS Bernadette (ROU),ZHANG Lily (USA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,WANG Chuqin,GROTH Jonathan,3,0,"11,11,11|8,3,7",R32,WTT_CHAMPIONS,MS,3235,Main Draw,WANG Chuqin (CHN),GROTH Jonathan (DEN)
