tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Cappadocia 2026,2026-02-02,VINOGRADOV Dmitrii,HABIBI Mohammad,3,2,"12,9,7,11,11|10,11,11,7,8",GROUP,WTT_FEEDER,MS,3266,Main Draw,VINOGRADOV Dmitrii (AIN),HABIBI Mohammad (IRI)
WTT Feeder Cappadocia 2026,2026-02-02,LIU Zhenlong,MOHAMMED Zhiar,3,0,"11,11,11|2,4,3",GROUP,WTT_FEEDER,MS,3266,Main Draw,LIU Zhenlong (AUT),MOHAMMED Zhiar (IRQ)
WTT Feeder Cappadocia 2026,2026-02-02,KAHRAMAN Kenan,SHARIATY Reza,3,0,"11,11,11|7,5,9",GROUP,WTT_FEEDER,MS,3266,Main Draw,KAHRAMAN Kenan (TUR),SHARIATY Reza (IRI)
WTT Feeder Cappadocia 2026,2026-02-02,MAKAROV Vladislav,FASO Danilo,3,1,"11,13,11,12|3,15,8,10",GROUP,WTT_FEEDER,MS,3266,Main Draw,MAKAROV Vladislav (AIN),FASO Danilo (ITA)
WTT Feeder Cappadocia 2026,2026-02-02,SAKUMA Yui,SHCHERBATYKH Valeriia,3,0,"11,11,11|9,5,9",GROUP,WTT_FEEDER,WS,3266,Main Draw,SAKUMA Yui (JPN),SHCHERBATYKH Valeriia (AIN)
WTT Feeder Cappadocia 2026,2026-02-02,ARTEMENKO Nikita,SAMUOLIS Dominykas,3,0,"11,11,11|7,2,9",GROUP,WTT_FEEDER,MS,3266,Main Draw,ARTEMENKO Nikita (AIN),SAMUOLIS Dominykas (DEN)
WTT Feeder Cappadocia 2026,2026-02-02,OCAL Gorkem,ALDOGAN Serkan,3,0,"11,11,11|5,6,7",GROUP,WTT_FEEDER,MS,3266,Main Draw,OCAL Gorkem (TUR),ALDOGAN Serkan (TUR)
WTT Feeder Cappadocia 2026,2026-02-02,SLAUTINA Arina,VOROBEVA Olga,3,1,"11,7,11,11|6,11,7,8",GROUP,WTT_FEEDER,WS,3266,Main Draw,SLAUTINA Arina (AIN),VOROBEVA Olga (AIN)
WTT Feeder Cappadocia 2026,2026-02-02,PANFILOVA Maria,KAHRAMAN Betul Nur,3,1,"11,6,11,11|5,11,7,9",GROUP,WTT_FEEDER,WS,3266,Main Draw,PANFILOVA Maria (AIN),KAHRAMAN Betul Nur (TUR)
WTT Feeder Cappadocia 2026,2026-02-02,KOTSIUR Valeriia,STOFFREGEN Mille,3,0,"11,11,11|8,5,7",GROUP,WTT_FEEDER,WS,3266,Main Draw,KOTSIUR Valeriia (AIN),STOFFREGEN Mille (DEN)
WTT Feeder Cappadocia 2026,2026-02-02,KANEYOSHI Yuka,YILMAZ Ozge,3,0,"11,11,11|4,3,3",GROUP,WTT_FEEDER,WS,3266,Main Draw,KANEYOSHI Yuka (JPN),YILMAZ Ozge (TUR)
WTT Feeder Cappadocia 2026,2026-02-02,MOHAMMED Zhiar,TAHER Mohammed,3,2,"11,11,5,11,13|9,6,11,13,11",GROUP,WTT_FEEDER,MS,3266,Main Draw,MOHAMMED Zhiar (IRQ),TAHER Mohammed (IRQ)
WTT Feeder Cappadocia 2026,2026-02-02,VINOGRADOV Dmitrii,LI Hon Ming,3,2,"11,4,11,6,11|8,11,8,11,4",GROUP,WTT_FEEDER,MS,3266,Main Draw,VINOGRADOV Dmitrii (AIN),LI Hon Ming (HKG)
WTT Feeder Cappadocia 2026,2026-02-02,YILMAZ Tugay,SHARIATY Reza,3,0,"11,11,11|8,6,4",GROUP,WTT_FEEDER,MS,3266,Main Draw,YILMAZ Tugay (TUR),SHARIATY Reza (IRI)
WTT Feeder Cappadocia 2026,2026-02-02,ARTEMENKO Nikita,TAHER Omar,3,1,"11,11,11,11|3,6,13,8",GROUP,WTT_FEEDER,MS,3266,Main Draw,ARTEMENKO Nikita (AIN),TAHER Omar (IRQ)
WTT Feeder Cappadocia 2026,2026-02-02,SAKUMA Yui,KOTSIUR Valeriia,3,0,"11,11,13|9,6,11",GROUP,WTT_FEEDER,WS,3266,Main Draw,SAKUMA Yui (JPN),KOTSIUR Valeriia (AIN)
WTT Feeder Cappadocia 2026,2026-02-02,MAKAROV Vladislav,CAMARA Gabrielius,3,0,"11,11,11|5,8,5",GROUP,WTT_FEEDER,MS,3266,Main Draw,MAKAROV Vladislav (AIN),CAMARA Gabrielius (NED)
WTT Feeder Cappadocia 2026,2026-02-02,FROSETH Martin,ALDOGAN Serkan,3,0,"11,11,11|1,5,3",GROUP,WTT_FEEDER,MS,3266,Main Draw,FROSETH Martin (NOR),ALDOGAN Serkan (TUR)
WTT Feeder Cappadocia 2026,2026-02-02,SHCHERBATYKH Valeriia,STOFFREGEN Mille,3,1,"11,9,12,11|7,11,10,7",GROUP,WTT_FEEDER,WS,3266,Main Draw,SHCHERBATYKH Valeriia (AIN),STOFFREGEN Mille (DEN)
WTT Feeder Cappadocia 2026,2026-02-02,VOROBEVA Olga,YILMAZ Ozge,3,0,"11,12,11|9,10,5",GROUP,WTT_FEEDER,WS,3266,Main Draw,VOROBEVA Olga (AIN),YILMAZ Ozge (TUR)
WTT Feeder Cappadocia 2026,2026-02-02,KAHRAMAN Betul Nur,DEMIR Merve,3,1,"11,11,6,11|6,7,11,9",GROUP,WTT_FEEDER,WS,3266,Main Draw,KAHRAMAN Betul Nur (TUR),DEMIR Merve (TUR)
WTT Feeder Cappadocia 2026,2026-02-02,KANEYOSHI Yuka,SLAUTINA Arina,3,0,"11,11,11|3,8,5",GROUP,WTT_FEEDER,WS,3266,Main Draw,KANEYOSHI Yuka (JPN),SLAUTINA Arina (AIN)
WTT Feeder Cappadocia 2026,2026-02-03,LIU Zhenlong,TAHER Mohammed,3,2,"8,5,11,11,11|11,11,9,1,7",GROUP,WTT_FEEDER,MS,3266,Main Draw,LIU Zhenlong (AUT),TAHER Mohammed (IRQ)
WTT Feeder Cappadocia 2026,2026-02-03,KAHRAMAN Kenan,YILMAZ Tugay,3,1,"11,9,11,11|6,11,9,6",GROUP,WTT_FEEDER,MS,3266,Main Draw,KAHRAMAN Kenan (TUR),YILMAZ Tugay (TUR)
WTT Feeder Cappadocia 2026,2026-02-03,HABIBI Mohammad,LI Hon Ming,3,0,"13,11,14|11,5,12",GROUP,WTT_FEEDER,MS,3266,Main Draw,HABIBI Mohammad (IRI),LI Hon Ming (HKG)
WTT Feeder Cappadocia 2026,2026-02-03,FROSETH Martin,OCAL Gorkem,3,2,"11,8,5,11,12|3,11,11,7,10",GROUP,WTT_FEEDER,MS,3266,Main Draw,FROSETH Martin (NOR),OCAL Gorkem (TUR)
WTT Feeder Cappadocia 2026,2026-02-03,SHCHERBATYKH Valeriia,KOTSIUR Valeriia,3,0,"11,11,11|9,8,8",GROUP,WTT_FEEDER,WS,3266,Main Draw,SHCHERBATYKH Valeriia (AIN),KOTSIUR Valeriia (AIN)
WTT Feeder Cappadocia 2026,2026-02-03,SAMUOLIS Dominykas,TAHER Omar,3,0,"11,11,11|6,5,7",GROUP,WTT_FEEDER,MS,3266,Main Draw,SAMUOLIS Dominykas (DEN),TAHER Omar (IRQ)
