tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Doha 2026,2026-01-27,TSAI Pang-Yuan,BUYAN Tarvachinbo,3,0,"11,11,12|4,3,10",GROUP,WTT_FEEDER,MS,3354,Main Draw,TSAI Pang-Yuan (TPE),BUYAN Tarvachinbo (MGL)
WTT Feeder Doha 2026,2026-01-27,VINOGRADOV Dmitrii,GUBRAN Ebrahim,3,0,"11,11,11|8,6,3",GROUP,WTT_FEEDER,MS,3354,Main Draw,VINOGRADOV Dmitrii (AIN),GUBRAN Ebrahim (YEM)
WTT Feeder Doha 2026,2026-01-27,TAN Zhao Ray,PALKHIVALA Shihan,3,0,"11,11,11|9,7,5",GROUP,WTT_FEEDER,MS,3354,Main Draw,TAN Zhao Ray (SGP),PALKHIVALA Shihan (IND)
WTT Feeder Doha 2026,2026-01-27,LI Hon Ming,SINGH Vaibhav,3,0,"11,11,11|3,5,7",GROUP,WTT_FEEDER,MS,3354,Main Draw,LI Hon Ming (HKG),SINGH Vaibhav (IND)
WTT Feeder Doha 2026,2026-01-27,RZIHAUSCHEK Julian,SUPHANPHASUCH Thanapak,3,1,"11,9,11,13|6,11,7,11",GROUP,WTT_FEEDER,MS,3354,Main Draw,RZIHAUSCHEK Julian (AUT),SUPHANPHASUCH Thanapak (THA)
WTT Feeder Doha 2026,2026-01-27,MAKAROV Vladislav,ALNASER Rawad,3,1,"11,11,8,11|6,1,11,7",GROUP,WTT_FEEDER,MS,3354,Main Draw,MAKAROV Vladislav (AIN),ALNASER Rawad (QAT)
WTT Feeder Doha 2026,2026-01-27,REBETEZ Yoan,JMAIEL Adam,3,0,"11,11,11|6,4,6",GROUP,WTT_FEEDER,MS,3354,Main Draw,REBETEZ Yoan (SUI),JMAIEL Adam (QAT)
WTT Feeder Doha 2026,2026-01-27,IVONIN Denis,PREECHAYAN Thitaphat,3,1,"11,11,8,11|9,7,11,9",GROUP,WTT_FEEDER,MS,3354,Main Draw,IVONIN Denis (AIN),PREECHAYAN Thitaphat (THA)
WTT Feeder Doha 2026,2026-01-27,CHAMBET-WEIL Remi,AL-KUWARI Rabeah,3,2,"14,9,8,13,11|12,11,11,11,3",GROUP,WTT_FEEDER,MS,3354,Main Draw,CHAMBET-WEIL Remi (NED),AL-KUWARI Rabeah (QAT)
WTT Feeder Doha 2026,2026-01-27,ZAKHAROV Vladislav,JMAIEL Iyed,3,1,"11,11,9,11|4,6,11,4",GROUP,WTT_FEEDER,MS,3354,Main Draw,ZAKHAROV Vladislav (KAZ),JMAIEL Iyed (QAT)
WTT Feeder Doha 2026,2026-01-27,CHEN Chi-Shiuan,WANI Sayali,3,1,"16,11,11,11|14,13,7,8",GROUP,WTT_FEEDER,WS,3354,Main Draw,CHEN Chi-Shiuan (TPE),WANI Sayali (IND)
WTT Feeder Doha 2026,2026-01-27,ARTEMENKO Nikita,LE Ellsworth,3,0,"11,11,11|6,5,8",GROUP,WTT_FEEDER,MS,3354,Main Draw,ARTEMENKO Nikita (AIN),LE Ellsworth (SGP)
WTT Feeder Doha 2026,2026-01-27,CHEW Clarence,AL-BAHRANI Husain,3,0,"11,11,13|6,1,11",GROUP,WTT_FEEDER,MS,3354,Main Draw,CHEW Clarence (SGP),AL-BAHRANI Husain (KUW)
WTT Feeder Doha 2026,2026-01-27,KHARKI Iskender,ALMARZOUQ Abdalwahab,3,0,"11,11,11|6,1,8",GROUP,WTT_FEEDER,MS,3354,Main Draw,KHARKI Iskender (KAZ),ALMARZOUQ Abdalwahab (KUW)
WTT Feeder Doha 2026,2026-01-27,LEE Hoi Man,PANFILOVA Maria,3,1,"11,11,9,11|6,6,11,4",GROUP,WTT_FEEDER,WS,3354,Main Draw,LEE Hoi Man (HKG),PANFILOVA Maria (AIN)
WTT Feeder Doha 2026,2026-01-27,EL HABECH Yasmina,GANZORIG Khatansaikhan,3,1,"4,11,16,14|11,8,14,12",GROUP,WTT_FEEDER,WS,3354,Main Draw,EL HABECH Yasmina (LBN),GANZORIG Khatansaikhan (MGL)
WTT Feeder Doha 2026,2026-01-27,SLAUTINA Arina,LOGHRAIBI Racha,3,0,"11,11,11|2,9,1",GROUP,WTT_FEEDER,WS,3354,Main Draw,SLAUTINA Arina (AIN),LOGHRAIBI Racha (QAT)
WTT Feeder Doha 2026,2026-01-27,KOTECHA Taneesha,BAI Siwen,3,2,"9,8,11,11,11|11,11,7,5,2",GROUP,WTT_FEEDER,WS,3354,Main Draw,KOTECHA Taneesha (IND),BAI Siwen (CHN)
WTT Feeder Doha 2026,2026-01-27,KONG Tsz Lam,LAI Chloe,3,1,"11,5,11,11|8,11,8,8",GROUP,WTT_FEEDER,WS,3354,Main Draw,KONG Tsz Lam (HKG),LAI Chloe (SGP)
WTT Feeder Doha 2026,2026-01-27,VISHNIAKOVA Olga,ELBAZ Alia,3,0,"11,11,11|8,4,2",GROUP,WTT_FEEDER,WS,3354,Main Draw,VISHNIAKOVA Olga (AIN),ELBAZ Alia (QAT)
WTT Feeder Doha 2026,2026-01-27,VOROBEVA Olga,ALI Maryam,3,0,"11,11,11|4,3,4",GROUP,WTT_FEEDER,WS,3354,Main Draw,VOROBEVA Olga (AIN),ALI Maryam (QAT)
WTT Feeder Doha 2026,2026-01-27,TSAI Pang-Yuan,GUBRAN Ebrahim,3,0,"11,11,11|5,5,5",GROUP,WTT_FEEDER,MS,3354,Main Draw,TSAI Pang-Yuan (TPE),GUBRAN Ebrahim (YEM)
WTT Feeder Doha 2026,2026-01-27,MAKAROV Vladislav,ABI NADER Michel,3,0,"11,11,11|6,5,2",GROUP,WTT_FEEDER,MS,3354,Main Draw,MAKAROV Vladislav (AIN),ABI NADER Michel (LBN)
WTT Feeder Doha 2026,2026-01-27,VINOGRADOV Dmitrii,BUYAN Tarvachinbo,3,0,"11,11,11|7,4,3",GROUP,WTT_FEEDER,MS,3354,Main Draw,VINOGRADOV Dmitrii (AIN),BUYAN Tarvachinbo (MGL)
WTT Feeder Doha 2026,2026-01-27,TAN Zhao Ray,LAI Yong Han,3,2,"4,11,11,8,11|11,9,8,11,6",GROUP,WTT_FEEDER,MS,3354,Main Draw,TAN Zhao Ray (SGP),LAI Yong Han (MAS)
WTT Feeder Doha 2026,2026-01-27,ABDALLA Yousif,SINGH Vaibhav,3,1,"11,7,11,13|8,11,5,11",GROUP,WTT_FEEDER,MS,3354,Main Draw,ABDALLA Yousif (QAT),SINGH Vaibhav (IND)
WTT Feeder Doha 2026,2026-01-27,SUPHANPHASUCH Thanapak,AL ABDULLA Abdulaziz,3,0,"11,11,11|5,6,5",GROUP,WTT_FEEDER,MS,3354,Main Draw,SUPHANPHASUCH Thanapak (THA),AL ABDULLA Abdulaziz (QAT)
WTT Feeder Doha 2026,2026-01-27,DUTTA Riyan,JMAIEL Iyed,3,1,"11,11,8,11|4,7,11,5",GROUP,WTT_FEEDER,MS,3354,Main Draw,DUTTA Riyan (IND),JMAIEL Iyed (QAT)
WTT Feeder Doha 2026,2026-01-27,SAADAWI Ahmed,JMAIEL Adam,3,1,"9,11,11,11|11,9,2,6",GROUP,WTT_FEEDER,MS,3354,Main Draw,SAADAWI Ahmed (QAT),JMAIEL Adam (QAT)
WTT Feeder Doha 2026,2026-01-27,IVONIN Denis,ALMKEEMY Abdullah,3,0,"11,11,11|2,5,2",GROUP,WTT_FEEDER,MS,3354,Main Draw,IVONIN Denis (AIN),ALMKEEMY Abdullah (KUW)
WTT Feeder Doha 2026,2026-01-27,ARTEMENKO Nikita,RUSTEMOVSKI Raif,3,0,"11,11,11|6,5,2",GROUP,WTT_FEEDER,MS,3354,Main Draw,ARTEMENKO Nikita (AIN),RUSTEMOVSKI Raif (MKD)
