tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Istanbul II 2026,2026-07-01,YILMAZ Ozge,ROMANOVSKAYA Angelina,3,2,"11,11,10,11,12|6,13,12,8,10",GROUP,WTT_FEEDER,WS,3359,Main Draw,YILMAZ Ozge (TUR),ROMANOVSKAYA Angelina (KAZ)
WTT Feeder Istanbul II 2026,2026-07-01,AVEZOU Agathe,SLAUTINA Arina,3,0,"11,13,11|4,11,4",GROUP,WTT_FEEDER,WS,3359,Main Draw,AVEZOU Agathe (FRA),SLAUTINA Arina (AIN)
WTT Feeder Istanbul II 2026,2026-07-01,VAN DESSEL Mael,ALMUTAIRI Turki,3,2,"10,8,11,11,13|12,11,3,9,11",GROUP,WTT_FEEDER,MS,3359,Main Draw,VAN DESSEL Mael (LUX),ALMUTAIRI Turki (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,EL HABECH Mariam,ALHARBI Ghala,3,0,"11,11,11|5,1,5",GROUP,WTT_FEEDER,WS,3359,Main Draw,EL HABECH Mariam (LBN),ALHARBI Ghala (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,PUJOL Elise,RILISKYTE Kornelija,3,2,"10,9,11,11,11|12,11,7,5,7",GROUP,WTT_FEEDER,WS,3359,Main Draw,PUJOL Elise (FRA),RILISKYTE Kornelija (LTU)
WTT Feeder Istanbul II 2026,2026-07-01,SALPIN Anais,DE STOPPELEIRE Clea,3,0,"11,11,11|5,2,6",GROUP,WTT_FEEDER,WS,3359,Main Draw,SALPIN Anais (FRA),DE STOPPELEIRE Clea (FRA)
WTT Feeder Istanbul II 2026,2026-07-01,ZIRONOVA Ekaterina,EL HABECH Yasmina,3,0,"11,11,11|6,4,7",GROUP,WTT_FEEDER,WS,3359,Main Draw,ZIRONOVA Ekaterina (AIN),EL HABECH Yasmina (LBN)
WTT Feeder Istanbul II 2026,2026-07-01,VOLIN Lev,ALSUWAILEM Salem,3,1,"11,13,9,11|9,11,11,4",GROUP,WTT_FEEDER,MS,3359,Main Draw,VOLIN Lev (AIN),ALSUWAILEM Salem (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,YOSHIYAMA Kazuki,MOHAMMED Zhiar,3,0,"11,11,11|3,7,8",GROUP,WTT_FEEDER,MS,3359,Main Draw,YOSHIYAMA Kazuki (JPN),MOHAMMED Zhiar (IRQ)
WTT Feeder Istanbul II 2026,2026-07-01,DANI Mudit,RAKHMONOV Ruzimukhammad,3,0,"11,11,11|7,8,5",GROUP,WTT_FEEDER,MS,3359,Main Draw,DANI Mudit (IND),RAKHMONOV Ruzimukhammad (UZB)
WTT Feeder Istanbul II 2026,2026-07-01,ONO Daito,HABACH Mohamed,3,0,"11,11,11|3,4,3",GROUP,WTT_FEEDER,MS,3359,Main Draw,ONO Daito (JPN),HABACH Mohamed (LBN)
WTT Feeder Istanbul II 2026,2026-07-01,VINOGRADOV Dmitrii,ALDMAISY Zeyad,3,0,"11,11,11|3,6,9",GROUP,WTT_FEEDER,MS,3359,Main Draw,VINOGRADOV Dmitrii (AIN),ALDMAISY Zeyad (JOR)
WTT Feeder Istanbul II 2026,2026-07-01,MOURIER Flavio,ELHABECHE Amir,3,0,"13,11,11|11,2,8",GROUP,WTT_FEEDER,MS,3359,Main Draw,MOURIER Flavio (FRA),ELHABECHE Amir (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,ALKHADRAWI Ali,STEPHANY Loris,3,0,"11,11,11|8,2,7",GROUP,WTT_FEEDER,MS,3359,Main Draw,ALKHADRAWI Ali (KSA),STEPHANY Loris (LUX)
WTT Feeder Istanbul II 2026,2026-07-01,PUPPO Andrea,SIRAJ Abubaker,3,0,"11,11,11|6,5,6",GROUP,WTT_FEEDER,MS,3359,Main Draw,PUPPO Andrea (ITA),SIRAJ Abubaker (IRQ)
WTT Feeder Istanbul II 2026,2026-07-01,ABO YAMAN Zaid,KATSMAN Lev,3,2,"8,18,12,6,11|11,16,10,11,4",GROUP,WTT_FEEDER,MS,3359,Main Draw,ABO YAMAN Zaid (JOR),KATSMAN Lev (AIN)
WTT Feeder Istanbul II 2026,2026-07-01,SCHOLTES Tom,HABACH SaadEddine,3,2,"7,2,12,11,11|11,11,10,4,8",GROUP,WTT_FEEDER,MS,3359,Main Draw,SCHOLTES Tom (LUX),HABACH SaadEddine (LBN)
WTT Feeder Istanbul II 2026,2026-07-01,WANTZ Gene,SHULAYBI Abdulaziz BU,3,0,"11,11,12|9,9,10",GROUP,WTT_FEEDER,MS,3359,Main Draw,WANTZ Gene (LUX),SHULAYBI Abdulaziz BU (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,YILMAZ Tugay,OTHMAN Kochar,3,0,"11,11,11|1,2,7",GROUP,WTT_FEEDER,MS,3359,Main Draw,YILMAZ Tugay (TUR),OTHMAN Kochar (IRQ)
WTT Feeder Istanbul II 2026,2026-07-01,KOSTADINOV David,ELHABECHE Amir,3,1,"11,11,6,11|8,5,11,9",GROUP,WTT_FEEDER,MS,3359,Main Draw,KOSTADINOV David (BUL),ELHABECHE Amir (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,DE STOPPELEIRE Clea,CHASSELIN Pauline,3,2,"11,6,11,8,11|4,11,8,11,8",GROUP,WTT_FEEDER,WS,3359,Main Draw,DE STOPPELEIRE Clea (FRA),CHASSELIN Pauline (FRA)
WTT Feeder Istanbul II 2026,2026-07-01,SLAUTINA Arina,EL HABECH Mariam,3,0,"11,11,11|2,7,5",GROUP,WTT_FEEDER,WS,3359,Main Draw,SLAUTINA Arina (AIN),EL HABECH Mariam (LBN)
WTT Feeder Istanbul II 2026,2026-07-01,AVEZOU Agathe,ALHARBI Ghala,3,0,"11,11,11|1,3,0",GROUP,WTT_FEEDER,WS,3359,Main Draw,AVEZOU Agathe (FRA),ALHARBI Ghala (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,RILISKYTE Kornelija,ZIRONOVA Ekaterina,3,2,"7,11,11,8,11|11,9,9,11,6",GROUP,WTT_FEEDER,WS,3359,Main Draw,RILISKYTE Kornelija (LTU),ZIRONOVA Ekaterina (AIN)
WTT Feeder Istanbul II 2026,2026-07-01,MOON Chowon,YILMAZ Ozge,3,2,"11,7,8,11,11|8,11,11,0,8",GROUP,WTT_FEEDER,WS,3359,Main Draw,MOON Chowon (KOR),YILMAZ Ozge (TUR)
WTT Feeder Istanbul II 2026,2026-07-01,IVONIN Denis,ALMUTAIRI Turki,3,0,"11,11,11|2,7,5",GROUP,WTT_FEEDER,MS,3359,Main Draw,IVONIN Denis (AIN),ALMUTAIRI Turki (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,PUJOL Elise,EL HABECH Yasmina,3,0,"11,11,11|8,5,6",GROUP,WTT_FEEDER,WS,3359,Main Draw,PUJOL Elise (FRA),EL HABECH Yasmina (LBN)
WTT Feeder Istanbul II 2026,2026-07-01,YILMAZ Tugay,HABACH SaadEddine,3,0,"11,11,11|9,6,6",GROUP,WTT_FEEDER,MS,3359,Main Draw,YILMAZ Tugay (TUR),HABACH SaadEddine (LBN)
WTT Feeder Istanbul II 2026,2026-07-01,ONO Daito,VOLIN Lev,3,1,"11,7,11,11|8,11,9,5",GROUP,WTT_FEEDER,MS,3359,Main Draw,ONO Daito (JPN),VOLIN Lev (AIN)
WTT Feeder Istanbul II 2026,2026-07-01,SCHOLTES Tom,OTHMAN Kochar,3,1,"11,6,11,11|8,11,6,2",GROUP,WTT_FEEDER,MS,3359,Main Draw,SCHOLTES Tom (LUX),OTHMAN Kochar (IRQ)
WTT Feeder Istanbul II 2026,2026-07-01,HABACH Mohamed,ALSUWAILEM Salem,3,0,"11,11,11|7,9,6",GROUP,WTT_FEEDER,MS,3359,Main Draw,HABACH Mohamed (LBN),ALSUWAILEM Salem (KSA)
WTT Feeder Istanbul II 2026,2026-07-01,DUTTA Riyan,STEPHANY Loris,3,0,"12,11,12|10,9,10",GROUP,WTT_FEEDER,MS,3359,Main Draw,DUTTA Riyan (IND),STEPHANY Loris (LUX)
WTT Feeder Istanbul II 2026,2026-07-01,MONTEIRO Thiago,ALDMAISY Zeyad,3,1,"7,11,11,11|11,6,9,3",GROUP,WTT_FEEDER,MS,3359,Main Draw,MONTEIRO Thiago (BRA),ALDMAISY Zeyad (JOR)
WTT Feeder Istanbul II 2026,2026-07-01,TRETIAK Nazar,SIRAJ Abubaker,3,0,"11,11,11|7,7,8",GROUP,WTT_FEEDER,MS,3359,Main Draw,TRETIAK Nazar (UKR),SIRAJ Abubaker (IRQ)
WTT Feeder Istanbul II 2026,2026-07-01,TAHER Omar,WANTZ Gene,3,2,"9,11,11,6,12|11,7,6,11,10",GROUP,WTT_FEEDER,MS,3359,Main Draw,TAHER Omar (IRQ),WANTZ Gene (LUX)
WTT Feeder Istanbul II 2026,2026-07-01,MOHAMMED Zhiar,KRAEMER Christopher,3,0,"11,11,11|4,9,6",GROUP,WTT_FEEDER,MS,3359,Main Draw,MOHAMMED Zhiar (IRQ),KRAEMER Christopher (AUT)
WTT Feeder Istanbul II 2026,2026-07-01,ALSHAREIF Khalid,RAKHMONOV Ruzimukhammad,3,0,"11,11,11|7,9,3",GROUP,WTT_FEEDER,MS,3359,Main Draw,ALSHAREIF Khalid (KSA),RAKHMONOV Ruzimukhammad (UZB)
WTT Feeder Istanbul II 2026,2026-07-01,ABO YAMAN Zaid,GULOMIDDINOV Shahbozbek,3,0,"11,11,11|3,2,8",GROUP,WTT_FEEDER,MS,3359,Main Draw,ABO YAMAN Zaid (JOR),GULOMIDDINOV Shahbozbek (UZB)
WTT Feeder Istanbul II 2026,2026-07-02,ALKHADRAWI Ali,ONO Daito,3,2,"10,13,9,11,11|12,11,11,8,7",,WTT_FEEDER,MS,3359,Qualification,ALKHADRAWI Ali (KSA),ONO Daito (JPN)
WTT Feeder Istanbul II 2026,2026-07-02,DANI Mudit,TAHER Omar,3,2,"9,11,10,11,11|11,9,12,3,7",,WTT_FEEDER,MS,3359,Qualification,DANI Mudit (IND),TAHER Omar (IRQ)
WTT Feeder Istanbul II 2026,2026-07-02,MOHAMMED Zhiar,DUTTA Riyan,3,1,"10,11,14,11|12,7,12,5",,WTT_FEEDER,MS,3359,Qualification,MOHAMMED Zhiar (IRQ),DUTTA Riyan (IND)
WTT Feeder Istanbul II 2026,2026-07-02,YOSHIYAMA Kazuki,TRETIAK Nazar,3,0,"11,12,11|6,10,7",,WTT_FEEDER,MS,3359,Qualification,YOSHIYAMA Kazuki (JPN),TRETIAK Nazar (UKR)
WTT Feeder Istanbul II 2026,2026-07-02,PUPPO Andrea,MOURIER Flavio,3,1,"9,17,11,11|11,15,9,9",,WTT_FEEDER,MS,3359,Qualification,PUPPO Andrea (ITA),MOURIER Flavio (FRA)
WTT Feeder Istanbul II 2026,2026-07-02,ALSHAREIF Khalid,SCHOLTES Tom,3,2,"9,6,11,11,11|11,11,4,6,7",,WTT_FEEDER,MS,3359,Qualification,ALSHAREIF Khalid (KSA),SCHOLTES Tom (LUX)
WTT Feeder Istanbul II 2026,2026-07-02,VOLIN Lev,VINOGRADOV Dmitrii,3,1,"11,11,6,11|8,2,11,9",,WTT_FEEDER,MS,3359,Qualification,VOLIN Lev (AIN),VINOGRADOV Dmitrii (AIN)
WTT Feeder Istanbul II 2026,2026-07-02,IVONIN Denis,ABO YAMAN Zaid,3,1,"11,7,11,11|6,11,4,9",,WTT_FEEDER,MS,3359,Qualification,IVONIN Denis (AIN),ABO YAMAN Zaid (JOR)
WTT Feeder Istanbul II 2026,2026-07-02,CHASSELIN Pauline,SALPIN Anais,3,2,"13,6,16,6,11|11,11,14,11,9",GROUP,WTT_FEEDER,WS,3359,Main Draw,CHASSELIN Pauline (FRA),SALPIN Anais (FRA)
WTT Feeder Istanbul II 2026,2026-07-02,SLAUTINA Arina,ALHARBI Ghala,3,0,"11,11,11|4,2,1",GROUP,WTT_FEEDER,WS,3359,Main Draw,SLAUTINA Arina (AIN),ALHARBI Ghala (KSA)
WTT Feeder Istanbul II 2026,2026-07-02,AVEZOU Agathe,EL HABECH Mariam,3,0,"11,11,11|4,7,2",GROUP,WTT_FEEDER,WS,3359,Main Draw,AVEZOU Agathe (FRA),EL HABECH Mariam (LBN)
