tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Prishtina 2026,2026-05-27,CARNOVALE Miriam,HASHANI Shega,3,0,"12,13,11|10,11,9",GROUP,WTT_FEEDER,WS,3271,Main Draw,CARNOVALE Miriam (ITA),HASHANI Shega (KOS),CARNOVALE Miriam
WTT Feeder Prishtina 2026,2026-05-27,WILTSCHKOVA Dominika,MEHMETI Alma,3,1,"11,6,11,11|8,11,3,5",GROUP,WTT_FEEDER,WS,3271,Main Draw,WILTSCHKOVA Dominika (SVK),MEHMETI Alma (KOS),WILTSCHKOVA Dominika
WTT Feeder Prishtina 2026,2026-05-27,COLL Silvia,CRISTOBAL Ainhoa,3,0,"11,11,11|5,3,5",GROUP,WTT_FEEDER,WS,3271,Main Draw,COLL Silvia (ESP),CRISTOBAL Ainhoa (ESP),COLL Silvia
WTT Feeder Prishtina 2026,2026-05-27,PINTO Matilde,IMERI Leoresa,3,0,"11,11,11|4,6,6",GROUP,WTT_FEEDER,WS,3271,Main Draw,PINTO Matilde (POR),IMERI Leoresa (KOS),PINTO Matilde
WTT Feeder Prishtina 2026,2026-05-27,SASTRE Eugenia,DE MEYER Kathe,3,2,"11,11,7,8,11|8,7,11,11,7",GROUP,WTT_FEEDER,WS,3271,Main Draw,SASTRE Eugenia (ESP),DE MEYER Kathe (BEL),SASTRE Eugenia
WTT Feeder Prishtina 2026,2026-05-27,MURAMATSU Cocona,JERSOVA Aleksandra,3,1,"12,11,11,11|14,9,5,7",GROUP,WTT_FEEDER,WS,3271,Main Draw,MURAMATSU Cocona (JPN),JERSOVA Aleksandra (LAT),MURAMATSU Cocona
WTT Feeder Prishtina 2026,2026-05-27,TVEIT Leah,PERSOVA Viktoria,3,1,"11,11,5,11|4,6,11,9",GROUP,WTT_FEEDER,WS,3271,Main Draw,TVEIT Leah (SWE),PERSOVA Viktoria (BUL),TVEIT Leah
WTT Feeder Prishtina 2026,2026-05-27,PATEL Hardee,OSMANI Lene,3,0,"11,11,11|7,9,9",GROUP,WTT_FEEDER,WS,3271,Main Draw,PATEL Hardee (IND),OSMANI Lene (KOS),PATEL Hardee
WTT Feeder Prishtina 2026,2026-05-27,SCHARRER Mauro,SJOGREN Elias,3,1,"11,11,4,11|5,7,11,7",GROUP,WTT_FEEDER,MS,3271,Main Draw,SCHARRER Mauro (SUI),SJOGREN Elias (SWE),SCHARRER Mauro
WTT Feeder Prishtina 2026,2026-05-27,ULLMANN Lleyton,QEKU Andis,3,0,"11,11,11|9,8,6",GROUP,WTT_FEEDER,MS,3271,Main Draw,ULLMANN Lleyton (GER),QEKU Andis (KOS),ULLMANN Lleyton
WTT Feeder Prishtina 2026,2026-05-27,PARK Gyeongtae,CAMARA Gabrielius,3,0,"11,11,11|9,8,5",GROUP,WTT_FEEDER,MS,3271,Main Draw,PARK Gyeongtae (KOR),CAMARA Gabrielius (NED),PARK Gyeongtae
WTT Feeder Prishtina 2026,2026-05-27,LABOSOVA Ema,LEWYCKYJ Lessia,3,0,"11,12,11|5,10,4",GROUP,WTT_FEEDER,WS,3271,Main Draw,LABOSOVA Ema (SVK),LEWYCKYJ Lessia (BEL),LABOSOVA Ema
