tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Senec 2026,2026-04-18,ONDRUSOVA Nela,GUASSARDO Liliana,3,0,"11,13,11|8,11,8",GROUP,WTT_FEEDER,WS,3357,Main Draw,ONDRUSOVA Nela (SVK),GUASSARDO Liliana (SVK)
WTT Feeder Senec 2026,2026-04-18,MOON Chowon,URIKOVA Monika,3,1,"11,4,11,13|7,11,9,11",GROUP,WTT_FEEDER,WS,3357,Main Draw,MOON Chowon (KOR),URIKOVA Monika (SVK)
WTT Feeder Senec 2026,2026-04-18,TSIMASHKOVA Lizaveta,MOLNAROVA Emma,3,2,"11,11,7,8,11|7,9,11,11,8",GROUP,WTT_FEEDER,WS,3357,Main Draw,TSIMASHKOVA Lizaveta (AIN),MOLNAROVA Emma (SVK)
WTT Feeder Senec 2026,2026-04-18,TEREZKOVA Jana,HABAROVA Sara,3,1,"11,11,10,11|6,4,12,3",GROUP,WTT_FEEDER,WS,3357,Main Draw,TEREZKOVA Jana (SVK),HABAROVA Sara (SVK)
WTT Feeder Senec 2026,2026-04-18,DONNER Marina,NEMETHOVA Noemi,3,1,"4,11,17,11|11,2,15,6",GROUP,WTT_FEEDER,WS,3357,Main Draw,DONNER Marina (FIN),NEMETHOVA Noemi (SVK)
WTT Feeder Senec 2026,2026-04-18,NEMETHOVA Nina,PAWELEC Zuzanna,3,0,"13,11,11|11,7,9",GROUP,WTT_FEEDER,WS,3357,Main Draw,NEMETHOVA Nina (SVK),PAWELEC Zuzanna (POL)
WTT Feeder Senec 2026,2026-04-18,MAROUSKOVA Monika,MIASHCHANSKAYA Ulyana,3,1,"9,11,11,11|11,7,4,9",GROUP,WTT_FEEDER,WS,3357,Main Draw,MAROUSKOVA Monika (SVK),MIASHCHANSKAYA Ulyana (AIN)
WTT Feeder Senec 2026,2026-04-18,JANG Seongil,MAKARA Jakub,3,2,"11,11,18,9,11|5,7,20,11,3",GROUP,WTT_FEEDER,MS,3357,Main Draw,JANG Seongil (KOR),MAKARA Jakub (CZE)
WTT Feeder Senec 2026,2026-04-18,LOVHA Mykhailo,KUNATS Heorhi,3,2,"12,11,3,8,13|10,9,11,11,11",GROUP,WTT_FEEDER,MS,3357,Main Draw,LOVHA Mykhailo (SVK),KUNATS Heorhi (AIN)
WTT Feeder Senec 2026,2026-04-18,CHOI Hojun,SANCHEZ Sebastian,3,1,"11,8,11,11|9,11,9,4",GROUP,WTT_FEEDER,MS,3357,Main Draw,CHOI Hojun (KOR),SANCHEZ Sebastian (COL)
WTT Feeder Senec 2026,2026-04-18,VITORSKI Daniil,JUTRAS-VIGNEAULT Laurent,3,2,"10,8,11,11,12|12,11,5,6,10",GROUP,WTT_FEEDER,MS,3357,Main Draw,VITORSKI Daniil (AIN),JUTRAS-VIGNEAULT Laurent (CAN)
WTT Feeder Senec 2026,2026-04-18,GILLES Sohan,SHUTOV Nikon,3,2,"11,12,11,7,11|7,14,6,11,8",GROUP,WTT_FEEDER,MS,3357,Main Draw,GILLES Sohan (FRA),SHUTOV Nikon (AIN)
WTT Feeder Senec 2026,2026-04-18,KVETON Ondrej,KOLODZIEJCZYK Franciszek,3,1,"11,11,9,11|8,5,11,9",GROUP,WTT_FEEDER,MS,3357,Main Draw,KVETON Ondrej (CZE),KOLODZIEJCZYK Franciszek (AUT)
WTT Feeder Senec 2026,2026-04-18,BACK Donghoon,CHEN Alexander,3,2,"11,5,11,12,12|8,11,9,14,10",GROUP,WTT_FEEDER,MS,3357,Main Draw,BACK Donghoon (KOR),CHEN Alexander (AUT)
WTT Feeder Senec 2026,2026-04-18,KLAJBER Adam,CLOSSET Tom,3,1,"9,11,12,11|11,8,10,8",GROUP,WTT_FEEDER,MS,3357,Main Draw,KLAJBER Adam (SVK),CLOSSET Tom (BEL)
WTT Feeder Senec 2026,2026-04-18,DOYEN Antoine,GOLDIR Jakub,3,1,"11,4,11,11|9,11,6,6",GROUP,WTT_FEEDER,MS,3357,Main Draw,DOYEN Antoine (POR),GOLDIR Jakub (SVK)
WTT Feeder Senec 2026,2026-04-18,DZIUBA Patryk,KRAEMER Christopher,3,0,"11,12,11|6,10,8",GROUP,WTT_FEEDER,MS,3357,Main Draw,DZIUBA Patryk (POL),KRAEMER Christopher (AUT)
WTT Feeder Senec 2026,2026-04-18,DAROVCOVA Nina,ONDRUSOVA Nela,3,2,"13,7,11,11,11|15,11,9,8,6",GROUP,WTT_FEEDER,WS,3357,Main Draw,DAROVCOVA Nina (SVK),ONDRUSOVA Nela (SVK)
WTT Feeder Senec 2026,2026-04-18,VANISOVA Vanda,URIKOVA Monika,3,2,"11,8,11,11,11|6,11,13,3,4",GROUP,WTT_FEEDER,WS,3357,Main Draw,VANISOVA Vanda (SVK),URIKOVA Monika (SVK)
WTT Feeder Senec 2026,2026-04-18,DARI Helga,TEREZKOVA Jana,3,1,"11,10,11,11|5,12,5,6",GROUP,WTT_FEEDER,WS,3357,Main Draw,DARI Helga (HUN),TEREZKOVA Jana (SVK)
WTT Feeder Senec 2026,2026-04-18,NEMETHOVA Noemi,DIKOVA Bianka,3,1,"7,11,11,14|11,2,7,12",GROUP,WTT_FEEDER,WS,3357,Main Draw,NEMETHOVA Noemi (SVK),DIKOVA Bianka (SVK)
WTT Feeder Senec 2026,2026-04-18,GRIGELOVA Natalia,NEMETHOVA Nina,3,1,"11,13,9,11|5,11,11,1",GROUP,WTT_FEEDER,WS,3357,Main Draw,GRIGELOVA Natalia (SVK),NEMETHOVA Nina (SVK)
WTT Feeder Senec 2026,2026-04-18,MOLNAROVA Emma,JASS Simona,3,0,"11,13,17|8,11,15",GROUP,WTT_FEEDER,WS,3357,Main Draw,MOLNAROVA Emma (SVK),JASS Simona (SVK)
WTT Feeder Senec 2026,2026-04-18,LEE Seungmi,MAROUSKOVA Monika,3,0,"11,11,11|7,9,6",GROUP,WTT_FEEDER,WS,3357,Main Draw,LEE Seungmi (KOR),MAROUSKOVA Monika (SVK)
WTT Feeder Senec 2026,2026-04-18,KADLEC Vit,KUNATS Heorhi,3,0,"11,11,11|9,9,8",GROUP,WTT_FEEDER,MS,3357,Main Draw,KADLEC Vit (CZE),KUNATS Heorhi (AIN)
WTT Feeder Senec 2026,2026-04-18,KVETON Ondrej,GOLDIR Jakub,3,1,"11,11,9,11|4,4,11,7",GROUP,WTT_FEEDER,MS,3357,Main Draw,KVETON Ondrej (CZE),GOLDIR Jakub (SVK)
WTT Feeder Senec 2026,2026-04-18,PALUSEK Samuel,VITORSKI Daniil,3,0,"11,11,11|6,7,1",GROUP,WTT_FEEDER,MS,3357,Main Draw,PALUSEK Samuel (SVK),VITORSKI Daniil (AIN)
WTT Feeder Senec 2026,2026-04-18,BACK Donghoon,CHOI Hojun,3,2,"3,11,9,11,14|11,8,11,9,12",GROUP,WTT_FEEDER,MS,3357,Main Draw,BACK Donghoon (KOR),CHOI Hojun (KOR)
WTT Feeder Senec 2026,2026-04-18,MAKARA Jakub,HOLUBCIK Jakub,3,1,"12,5,12,11|10,11,10,7",GROUP,WTT_FEEDER,MS,3357,Main Draw,MAKARA Jakub (CZE),HOLUBCIK Jakub (SVK)
WTT Feeder Senec 2026,2026-04-18,SHUTOV Nikon,FLORO Damian,3,0,"11,13,14|7,11,12",GROUP,WTT_FEEDER,MS,3357,Main Draw,SHUTOV Nikon (AIN),FLORO Damian (SVK)
