tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,GACINA Andrej,HO Kwan Kit,3,2,"10,11,9,11,11|12,2,11,9,9",QR2,WTT_STAR_CONTENDER,MS,3241,Qualification,GACINA Andrej (CRO),HO Kwan Kit (HKG),GACINA Andrej
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,ZHU Ziyu,WAN Yuan,3,2,"10,11,11,7,11|12,7,8,11,8",QR2,WTT_STAR_CONTENDER,WS,3241,Qualification,ZHU Ziyu (CHN),WAN Yuan (GER),ZHU Ziyu
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,RYU Hanna,CHIEN Tung-Chuan,3,2,"3,11,9,11,11|11,8,11,9,6",QR2,WTT_STAR_CONTENDER,WS,3241,Qualification,RYU Hanna (KOR),CHIEN Tung-Chuan (TPE),RYU Hanna
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,XUE Fei,KOJIC Frane,3,0,"11,11,11|7,9,9",QR2,WTT_STAR_CONTENDER,MS,3241,Qualification,XUE Fei (CHN),KOJIC Frane (CRO),XUE Fei
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,XU Yi,MUKHERJEE Sutirtha,3,2,"11,8,11,11,11|13,11,4,6,8",QR2,WTT_STAR_CONTENDER,WS,3241,Qualification,XU Yi (CHN),MUKHERJEE Sutirtha (IND),XU Yi
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,OIKAWA Mizuki,KWON Hyuk,3,2,"11,11,5,6,12|8,7,11,11,10",QR2,WTT_STAR_CONTENDER,MS,3241,Qualification,OIKAWA Mizuki (JPN),KWON Hyuk (KOR),OIKAWA Mizuki
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,HUNG Jing-Kai,MEISSNER Cedric,3,1,"11,11,8,11|9,9,11,9",QR2,WTT_STAR_CONTENDER,MS,3241,Qualification,HUNG Jing-Kai (TPE),MEISSNER Cedric (GER),HUNG Jing-Kai
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,CHITALE Diya,DIACONU Adina,3,1,"11,4,11,11|5,11,3,9",QR2,WTT_STAR_CONTENDER,WS,3241,Qualification,CHITALE Diya (IND),DIACONU Adina (ROU),CHITALE Diya
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,YOO Yerin,DAS Syndrela,3,0,"11,11,11|8,4,7",QR2,WTT_STAR_CONTENDER,WS,3241,Qualification,YOO Yerin (KOR),DAS Syndrela (IND),YOO Yerin
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,LIM Jonghoon,HAUG Borgar,3,1,"11,8,11,13|6,11,8,11",QR2,WTT_STAR_CONTENDER,MS,3241,Qualification,LIM Jonghoon (KOR),HAUG Borgar (NOR),LIM Jonghoon
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,SURJAN Sabina,ZHANG Sofia-Xuan,3,2,"11,6,11,9,11|3,11,5,11,3",QR2,WTT_STAR_CONTENDER,WS,3241,Qualification,SURJAN Sabina (SRB),ZHANG Sofia-Xuan (ESP),SURJAN Sabina
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,DE NODREST Leo,JAIN Payas,3,0,"11,11,11|9,8,8",QR2,WTT_STAR_CONTENDER,MS,3241,Qualification,DE NODREST Leo (FRA),JAIN Payas (IND),DE NODREST Leo
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,ZELJKO Filip,ROLLAND Jules,3,2,"11,7,12,11,11|13,11,10,8,8",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,ZELJKO Filip (CRO),ROLLAND Jules (FRA),ZELJKO Filip
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,WANG Yang,SHU Dean,3,0,"11,11,11|1,7,7",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,WANG Yang (SVK),SHU Dean (NZL),WANG Yang
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,LI Tianyang,SIPOS Rares,3,0,"11,12,11|8,10,6",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,LI Tianyang (CHN),SIPOS Rares (ROU),LI Tianyang
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,QUEK Izaac,KIM Minhyeok,3,2,"11,8,7,11,11|7,11,11,9,9",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,QUEK Izaac (SGP),KIM Minhyeok (KOR),QUEK Izaac
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,AIDA Satoshi,FREITAS Marcos,3,2,"7,11,11,9,11|11,3,7,11,2",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,AIDA Satoshi (JPN),FREITAS Marcos (POR),AIDA Satoshi
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,ANDRAS Csaba,WALKER Samuel,3,1,"11,14,6,11|3,12,11,9",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,ANDRAS Csaba (HUN),WALKER Samuel (ENG),ANDRAS Csaba
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,HO Kwan Kit,CHEW Clarence,3,2,"11,11,10,11,11|6,13,12,9,9",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,HO Kwan Kit (HKG),CHEW Clarence (SGP),HO Kwan Kit
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,XUE Fei,PANG Koen,3,0,"11,11,11|6,6,3",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,XUE Fei (CHN),PANG Koen (SGP),XUE Fei
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,KOJIC Frane,KOBAYASHI Hiromu,3,0,"11,12,11|7,10,4",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,KOJIC Frane (CRO),KOBAYASHI Hiromu (JPN),KOJIC Frane
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,KWAN Man Ho,CHUA Josh,3,2,"5,8,11,11,11|11,11,5,8,5",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,KWAN Man Ho (HKG),CHUA Josh (SGP),KWAN Man Ho
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,YUAN Licen,LAM Siu Hang,3,1,"11,8,11,11|5,11,4,9",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,YUAN Licen (CHN),LAM Siu Hang (HKG),YUAN Licen
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,MISCHEK Karoline,RAHOTIN Laura,3,0,"11,11,11|4,2,2",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,MISCHEK Karoline (AUT),RAHOTIN Laura (SLO),MISCHEK Karoline
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,WAN Yuan,COK Isa,3,1,"9,11,11,11|11,5,9,7",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,WAN Yuan (GER),COK Isa (FRA),WAN Yuan
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,NARANJO Angel,HAMADA Kazuki,3,1,"11,9,11,12|9,11,5,10",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,NARANJO Angel (PUR),HAMADA Kazuki (JPN),NARANJO Angel
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,TAN Zhao Yun,KUKULKOVA Tatiana,3,1,"11,5,11,11|4,11,5,7",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,TAN Zhao Yun (SGP),KUKULKOVA Tatiana (SVK),TAN Zhao Yun
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,JAIN Payas,SURAVAJJULA Snehit,3,1,"11,11,7,11|9,7,11,6",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,JAIN Payas (IND),SURAVAJJULA Snehit (IND),JAIN Payas
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,KHARKI Iskender,CASTRO Rogelio,3,2,"5,11,15,14,12|11,8,17,12,10",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,KHARKI Iskender (KAZ),CASTRO Rogelio (MEX),KHARKI Iskender
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,KURMANGALIYEV Alan,BOURRASSAUD Florian,3,0,"11,12,11|9,10,9",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,KURMANGALIYEV Alan (KAZ),BOURRASSAUD Florian (FRA),KURMANGALIYEV Alan
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,DIACONU Adina,BURGOS Brianna,3,0,"11,11,11|9,2,5",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,DIACONU Adina (ROU),BURGOS Brianna (PUR),DIACONU Adina
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,YOO Siwoo,OPEKA Lara,3,0,"11,11,11|7,9,8",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,YOO Siwoo (KOR),OPEKA Lara (SLO),YOO Siwoo
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,OIKAWA Mizuki,DORR Esteban,3,2,"17,9,9,11,11|15,11,11,7,4",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,OIKAWA Mizuki (JPN),DORR Esteban (FRA),OIKAWA Mizuki
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,WALTHER Ricardo,MLADENOVIC Luka,3,1,"13,12,11,11|15,10,8,6",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,WALTHER Ricardo (GER),MLADENOVIC Luka (LUX),WALTHER Ricardo
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,KIM Eunseo,LUPULESKU Izabela,3,2,"8,14,6,11,11|11,12,11,9,9",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,KIM Eunseo (KOR),LUPULESKU Izabela (SRB),KIM Eunseo
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,FAN Shuhan,PAULIN Lea,3,0,"11,11,11|1,2,5",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,FAN Shuhan (CHN),PAULIN Lea (SLO),FAN Shuhan
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,HAN Feier,CHEN Szu-Yu,3,0,"12,11,15|10,3,13",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,HAN Feier (CHN),CHEN Szu-Yu (TPE),HAN Feier
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,KWON Hyuk,BAN Ivor,3,0,"11,11,12|7,3,10",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,KWON Hyuk (KOR),BAN Ivor (CRO),KWON Hyuk
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,FANG Bo,LY Edward,3,1,"11,13,10,11|7,11,12,4",QR1,WTT_STAR_CONTENDER,MS,3241,Qualification,FANG Bo (KAZ),LY Edward (CAN),FANG Bo
WTT Star Contender Ljubljana 2026 Presented by I Feel Slovenia,2026-06-16,VARADY Barbora,MIRKADIROVA Sarvinoz,3,1,"11,5,11,11|5,11,7,5",QR1,WTT_STAR_CONTENDER,WS,3241,Qualification,VARADY Barbora (SVK),MIRKADIROVA Sarvinoz (KAZ),VARADY Barbora
