tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2020/21 ETTU Champions League (Women),2020-12-03,Linz Ag Froschberg,Girbau-Vic Tt,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-03,Metz Tt,SH-ITB Budaorsi Sport Club,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-03,Tt Saint Quentin,Ttc Villach,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-03,Ttc Berlin Eastside,Cp Lyssois Lille Metropole,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-03,Ucam Cartagena,Gdcs Juncal,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-04,Cp Lyssois Lille Metropole,Gdcs Juncal,3,1,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-04,Linz Ag Froschberg,Metz Tt,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-04,SH-ITB Budaorsi Sport Club,Girbau-Vic Tt,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-04,Tt Saint Quentin,SKST Hodonin,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-04,Ttc Berlin Eastside,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-05,Linz Ag Froschberg,SH-ITB Budaorsi Sport Club,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-05,Metz Tt,Girbau-Vic Tt,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-05,SKST Hodonin,Ttc Villach,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-05,Ttc Berlin Eastside,Gdcs Juncal,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-05,Ucam Cartagena,Cp Lyssois Lille Metropole,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-06,Metz Tt,SKST Hodonin,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-06,Metz Tt,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League (Women),2020-12-06,SKST Hodonin,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
