tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2022/23 ETTU Champions League,2022-09-07,AS Pontoise-Cergy Tt,Pte Peac Kalo-Meh,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-07,AS Pontoise-Cergy Tt,Irun Leka Enea Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-07,SF Skk El Nino Praha,Irun Leka Enea Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-07,SF Skk El Nino Praha,Pte Peac Kalo-Meh,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-07,TTC Neu-Ulm,Ttc Ostrava 2016,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-07,Usd Apuania Carrara Tt,CSS-SZAK Odorheiu Secuiesc,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,AS Pontoise-Cergy Tt,SF Skk El Nino Praha,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,HB Ostrov,CTT Borges,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,Post SV Mühlhausen,SKST Havirov,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,Post SV Mühlhausen,Arteal Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,Pte Peac Kalo-Meh,Irun Leka Enea Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,SKST Havirov,Solex-Consult Wiener Neustadt,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,Solex-Consult Wiener Neustadt,Arteal Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,Top Spin Messina,GDCS Juncal,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,TTC Neu-Ulm,CSS-SZAK Odorheiu Secuiesc,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-08,Usd Apuania Carrara Tt,Ttc Ostrava 2016,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-09,CTT Borges,GDCS Juncal,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-09,HB Ostrov,Top Spin Messina,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-09,Post SV Mühlhausen,Solex-Consult Wiener Neustadt,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-09,SKST Havirov,Arteal Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-09,TTC Neu-Ulm,Usd Apuania Carrara Tt,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-09,Ttc Ostrava 2016,CSS-SZAK Odorheiu Secuiesc,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-10,CTT Borges,Top Spin Messina,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-09-10,GDCS Juncal,HB Ostrov,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-10-21,Ttf Dekorglass Dzialdowo,Sporting CP,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-08,Borussia Düsseldorf,HB Ostrov,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-13,GV Hennebont Tt,SPG Felbermayr Wels,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-13,TTC Neu-Ulm,Ttf Dekorglass Dzialdowo,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-14,AS Pontoise-Cergy Tt,Roskilde Bordtennis Btk61,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-15,Bogoria Grodzisk Mazowiecki,HB Ostrov,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-16,Post SV Mühlhausen,SPG Felbermayr Wels,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-17,Borussia Düsseldorf,HB Ostrov,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-17,FC Saarbrucken,AS Pontoise-Cergy Tt,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-19,Post SV Mühlhausen,GV Hennebont Tt,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-22,Post SV Mühlhausen,GV Hennebont Tt,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-23,FC Saarbrucken,Roskilde Bordtennis Btk61,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-11-30,TTC Neu-Ulm,Sporting CP,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-01,Borussia Düsseldorf,Bogoria Grodzisk Mazowiecki,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-04,FC Saarbrucken,AS Pontoise-Cergy Tt,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-04,TTC Neu-Ulm,Sporting CP,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-13,Post SV Mühlhausen,SPG Felbermayr Wels,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-13,TTC Neu-Ulm,Ttf Dekorglass Dzialdowo,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-14,HB Ostrov,Bogoria Grodzisk Mazowiecki,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-15,AS Pontoise-Cergy Tt,Roskilde Bordtennis Btk61,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-16,Borussia Düsseldorf,Bogoria Grodzisk Mazowiecki,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-17,Ttf Dekorglass Dzialdowo,Sporting CP,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-18,FC Saarbrucken,Roskilde Bordtennis Btk61,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2022-12-18,SPG Felbermayr Wels,GV Hennebont Tt,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League,2023-02-14,FC Saarbrucken,Post SV Mühlhausen,3,1,,SF,EURO_LEAGUE
2022/23 ETTU Champions League,2023-02-15,TTC Neu-Ulm,Borussia Düsseldorf,3,2,,SF,EURO_LEAGUE
2022/23 ETTU Champions League,2023-02-19,Borussia Düsseldorf,TTC Neu-Ulm,3,2,,SF,EURO_LEAGUE
2022/23 ETTU Champions League,2023-02-19,FC Saarbrucken,Post SV Mühlhausen,3,1,,SF,EURO_LEAGUE
2022/23 ETTU Champions League,2023-03-31,Borussia Düsseldorf,FC Saarbrucken,3,2,,F,EURO_LEAGUE
2022/23 ETTU Champions League,2023-04-03,FC Saarbrucken,Borussia Düsseldorf,3,2,,F,EURO_LEAGUE
