tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Women's World Cup Phnom Penh 2000,2000-10-12,WANG Nan,NI Xia Lian,CHN,LUX,2,0,,,WORLD_CUP,WS,1268,Qualification,WANG Nan (CHN),NI Xia Lian (LUX),,,2 - 0,,WANG Nan,2000
Women's World Cup Phnom Penh 2000,2000-10-12,WANG Nan,GAO Jun,CHN,USA,2,0,,,WORLD_CUP,WS,1268,Qualification,WANG Nan (CHN),GAO Jun (USA),,,2 - 0,,WANG Nan,2000
Women's World Cup Phnom Penh 2000,2000-10-12,WANG Nan,CHOUN Tha,CHN,CAM,2,0,,,WORLD_CUP,WS,1268,Qualification,WANG Nan (CHN),CHOUN Tha (CAM),,,2 - 0,,WANG Nan,2000
Women's World Cup Phnom Penh 2000,2000-10-12,NI Xia Lian,GAO Jun,LUX,USA,2,1,,,WORLD_CUP,WS,1268,Qualification,NI Xia Lian (LUX),GAO Jun (USA),,,2 - 1,,NI Xia Lian,2000
Women's World Cup Phnom Penh 2000,2000-10-12,NI Xia Lian,CHOUN Tha,LUX,CAM,2,0,,,WORLD_CUP,WS,1268,Qualification,NI Xia Lian (LUX),CHOUN Tha (CAM),,,2 - 0,,NI Xia Lian,2000
Women's World Cup Phnom Penh 2000,2000-10-12,GAO Jun,CHOUN Tha,USA,CAM,2,0,,,WORLD_CUP,WS,1268,Qualification,GAO Jun (USA),CHOUN Tha (CAM),,,2 - 0,,GAO Jun,2000
Women's World Cup Phnom Penh 2000,2000-10-12,LI Ju,RYU Jihae,CHN,KOR,2,0,,,WORLD_CUP,WS,1268,Qualification,LI Ju (CHN),RYU Jihae (KOR),,,2 - 0,,LI Ju,2000
Women's World Cup Phnom Penh 2000,2000-10-12,LI Ju,GENG Lijuan,CHN,CAN,2,0,,,WORLD_CUP,WS,1268,Qualification,LI Ju (CHN),GENG Lijuan (CAN),,,2 - 0,,LI Ju,2000
Women's World Cup Phnom Penh 2000,2000-10-12,LI Ju,KEO Vanny,CHN,CAM,2,0,,,WORLD_CUP,WS,1268,Qualification,LI Ju (CHN),KEO Vanny (CAM),,,2 - 0,,LI Ju,2000
Women's World Cup Phnom Penh 2000,2000-10-12,RYU Jihae,GENG Lijuan,KOR,CAN,2,0,,,WORLD_CUP,WS,1268,Qualification,RYU Jihae (KOR),GENG Lijuan (CAN),,,2 - 0,,RYU Jihae,2000
Women's World Cup Phnom Penh 2000,2000-10-12,RYU Jihae,KEO Vanny,KOR,CAM,2,0,,,WORLD_CUP,WS,1268,Qualification,RYU Jihae (KOR),KEO Vanny (CAM),,,2 - 0,,RYU Jihae,2000
Women's World Cup Phnom Penh 2000,2000-10-12,GENG Lijuan,KEO Vanny,CAN,CAM,2,0,,,WORLD_CUP,WS,1268,Qualification,GENG Lijuan (CAN),KEO Vanny (CAM),,,2 - 0,,GENG Lijuan,2000
Women's World Cup Phnom Penh 2000,2000-10-12,CHEN Jing,BOROS Tamara,TPE,CRO,2,0,,,WORLD_CUP,WS,1268,Qualification,CHEN Jing (TPE),BOROS Tamara (CRO),,,2 - 0,,CHEN Jing,2000
Women's World Cup Phnom Penh 2000,2000-10-12,CHEN Jing,LAY Jian Fang,TPE,AUS,2,0,,,WORLD_CUP,WS,1268,Qualification,CHEN Jing (TPE),LAY Jian Fang (AUS),,,2 - 0,,CHEN Jing,2000
Women's World Cup Phnom Penh 2000,2000-10-12,CHEN Jing,OSHONAIKE Olufunke,TPE,NGR,2,0,,,WORLD_CUP,WS,1268,Qualification,CHEN Jing (TPE),OSHONAIKE Olufunke (NGR),,,2 - 0,,CHEN Jing,2000
Women's World Cup Phnom Penh 2000,2000-10-12,BOROS Tamara,LAY Jian Fang,CRO,AUS,2,0,,,WORLD_CUP,WS,1268,Qualification,BOROS Tamara (CRO),LAY Jian Fang (AUS),,,2 - 0,,BOROS Tamara,2000
Women's World Cup Phnom Penh 2000,2000-10-12,BOROS Tamara,OSHONAIKE Olufunke,CRO,NGR,2,0,,,WORLD_CUP,WS,1268,Qualification,BOROS Tamara (CRO),OSHONAIKE Olufunke (NGR),,,2 - 0,,BOROS Tamara,2000
Women's World Cup Phnom Penh 2000,2000-10-12,LAY Jian Fang,OSHONAIKE Olufunke,AUS,NGR,2,0,,,WORLD_CUP,WS,1268,Qualification,LAY Jian Fang (AUS),OSHONAIKE Olufunke (NGR),,,2 - 0,,LAY Jian Fang,2000
Women's World Cup Phnom Penh 2000,2000-10-12,SUN Jin,SUK Eunmi,HKG,KOR,2,0,,,WORLD_CUP,WS,1268,Qualification,SUN Jin (HKG),SUK Eunmi (KOR),,,2 - 0,,SUN Jin,2000
Women's World Cup Phnom Penh 2000,2000-10-12,SUN Jin,TIAN-ZORNER Jing,HKG,GER,2,1,,,WORLD_CUP,WS,1268,Qualification,SUN Jin (HKG),TIAN-ZORNER Jing (GER),,,2 - 1,,SUN Jin,2000
Women's World Cup Phnom Penh 2000,2000-10-12,SUN Jin,TEPES Sofija,HKG,CHI,2,0,,,WORLD_CUP,WS,1268,Qualification,SUN Jin (HKG),TEPES Sofija (CHI),,,2 - 0,,SUN Jin,2000
Women's World Cup Phnom Penh 2000,2000-10-12,SUK Eunmi,TIAN-ZORNER Jing,KOR,GER,2,0,,,WORLD_CUP,WS,1268,Qualification,SUK Eunmi (KOR),TIAN-ZORNER Jing (GER),,,2 - 0,,SUK Eunmi,2000
Women's World Cup Phnom Penh 2000,2000-10-12,SUK Eunmi,TEPES Sofija,KOR,CHI,2,0,,,WORLD_CUP,WS,1268,Qualification,SUK Eunmi (KOR),TEPES Sofija (CHI),,,2 - 0,,SUK Eunmi,2000
Women's World Cup Phnom Penh 2000,2000-10-12,TIAN-ZORNER Jing,TEPES Sofija,GER,CHI,2,0,,,WORLD_CUP,WS,1268,Qualification,TIAN-ZORNER Jing (GER),TEPES Sofija (CHI),,,2 - 0,,TIAN-ZORNER Jing,2000
Women's World Cup Phnom Penh 2000,2000-10-12,WANG Nan,BOROS Tamara,CHN,CRO,3,2,,QuarterFinal,WORLD_CUP,WS,1268,Main Draw,WANG Nan (CHN),BOROS Tamara (CRO),,,3 - 2,,WANG Nan,2000
Women's World Cup Phnom Penh 2000,2000-10-12,SUN Jin,RYU Jihae,HKG,KOR,3,0,,QuarterFinal,WORLD_CUP,WS,1268,Main Draw,SUN Jin (HKG),RYU Jihae (KOR),,,0 - 3,,SUN Jin,2000
Women's World Cup Phnom Penh 2000,2000-10-12,CHEN Jing,NI Xia Lian,TPE,LUX,3,1,,QuarterFinal,WORLD_CUP,WS,1268,Main Draw,CHEN Jing (TPE),NI Xia Lian (LUX),,,3 - 1,,CHEN Jing,2000
Women's World Cup Phnom Penh 2000,2000-10-12,LI Ju,SUK Eunmi,CHN,KOR,3,1,,QuarterFinal,WORLD_CUP,WS,1268,Main Draw,LI Ju (CHN),SUK Eunmi (KOR),,,1 - 3,,LI Ju,2000
Women's World Cup Phnom Penh 2000,2000-10-12,WANG Nan,SUN Jin,CHN,HKG,3,1,,SemiFinal,WORLD_CUP,WS,1268,Main Draw,WANG Nan (CHN),SUN Jin (HKG),,,3 - 1,,WANG Nan,2000
Women's World Cup Phnom Penh 2000,2000-10-12,LI Ju,CHEN Jing,CHN,TPE,3,0,,SemiFinal,WORLD_CUP,WS,1268,Main Draw,LI Ju (CHN),CHEN Jing (TPE),,,0 - 3,,LI Ju,2000
Women's World Cup Phnom Penh 2000,2000-10-12,LI Ju,WANG Nan,CHN,CHN,3,1,"21,20,21,21|10,22,17,16",Final,WORLD_CUP,WS,1268,Main Draw,LI Ju (CHN),WANG Nan (CHN),,,1 - 3,10:21 22:20 17:21 16:21,LI Ju,2000
Women's World Cup Phnom Penh 2000,2000-10-12,SUN Jin,CHEN Jing,HKG,TPE,3,1,,2,WORLD_CUP,WS,1268,Position Draw,SUN Jin (HKG),CHEN Jing (TPE),,,3 - 1,,SUN Jin,2000
Olympic Games Sydney 2000,2000-09-16,KREANGA Kalinikos,SUSENO Anton,GRE,INA,3,0,"21,21,21|10,10,15",,OLYMPICS,MS,919,Qualification,KREANGA Kalinikos (GRE),SUSENO Anton (INA),,,3 - 0,21:10 21:10 21:15,KREANGA Kalinikos,2000
Olympic Games Sydney 2000,2000-09-16,LASHIN Elsayed,SUSENO Anton,EGY,INA,3,0,"22,24,21|20,22,19",,OLYMPICS,MS,919,Qualification,LASHIN Elsayed (EGY),SUSENO Anton (INA),,,3 - 0,22:20 24:22 21:19,LASHIN Elsayed,2000
Olympic Games Sydney 2000,2000-09-16,KREANGA Kalinikos,LASHIN Elsayed,GRE,EGY,3,0,"21,21,21|6,9,18",,OLYMPICS,MS,919,Qualification,KREANGA Kalinikos (GRE),LASHIN Elsayed (EGY),,,3 - 0,21:6 21:9 21:18,KREANGA Kalinikos,2000
