tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Tournament of Champions Changsha 2008,2009-01-09,MA Lin,KREANGA Kalinikos,CHN,GRE,4,0,"11,11,11,11|7,5,8,4",QuarterFinal,OTHER,MS,807,Main Draw,MA Lin (CHN),KREANGA Kalinikos (GRE),,,4 - 0,11:7 11:5 11:8 11:4,MA Lin,2008
Tournament of Champions Changsha 2008,2009-01-09,WANG Hao,OVTCHAROV Dimitrij,CHN,GER,4,0,"11,11,11,11|4,8,5,9",QuarterFinal,OTHER,MS,807,Main Draw,WANG Hao (CHN),OVTCHAROV Dimitrij (GER),,,0 - 4,4:11 8:11 5:11 9:11,WANG Hao,2008
Tournament of Champions Changsha 2008,2009-01-09,BOLL Timo,PERSSON Jorgen,GER,SWE,4,1,"11,11,8,11,11|4,3,11,8,4",QuarterFinal,OTHER,MS,807,Main Draw,BOLL Timo (GER),PERSSON Jorgen (SWE),,,4 - 1,11:4 11:3 8:11 11:8 11:4,BOLL Timo,2008
Tournament of Champions Changsha 2008,2009-01-09,WANG Liqin,CHUANG Chih-Yuan,CHN,TPE,4,2,"7,11,11,7,11,11|11,5,6,11,7,8",QuarterFinal,OTHER,MS,807,Main Draw,WANG Liqin (CHN),CHUANG Chih-Yuan (TPE),,,2 - 4,11:7 5:11 6:11 11:7 7:11 8:11,WANG Liqin,2008
Tournament of Champions Changsha 2008,2009-01-09,WANG Hao,MA Lin,CHN,CHN,4,2,"11,9,11,11,9,11|4,11,8,5,11,7",SemiFinal,OTHER,MS,807,Main Draw,WANG Hao (CHN),MA Lin (CHN),,,2 - 4,4:11 11:9 8:11 5:11 11:9 7:11,WANG Hao,2008
Tournament of Champions Changsha 2008,2009-01-09,WANG Liqin,BOLL Timo,CHN,GER,4,3,"9,9,13,4,15,11,11|11,11,11,11,13,6,9",SemiFinal,OTHER,MS,807,Main Draw,WANG Liqin (CHN),BOLL Timo (GER),,,3 - 4,11:9 11:9 11:13 11:4 13:15 6:11 9:11,WANG Liqin,2008
Tournament of Champions Changsha 2008,2009-01-09,WANG Hao,WANG Liqin,CHN,CHN,4,1,"11,8,11,11,11|5,11,2,6,7",Final,OTHER,MS,807,Main Draw,WANG Hao (CHN),WANG Liqin (CHN),,,4 - 1,11:5 8:11 11:2 11:6 11:7,WANG Hao,2008
Tournament of Champions Changsha 2008,2009-01-09,ZHANG Yining,WANG Yuegu,CHN,SGP,4,1,"11,11,8,11,11|8,5,11,6,3",QuarterFinal,OTHER,WS,807,Main Draw,ZHANG Yining (CHN),WANG Yuegu (SGP),,,4 - 1,11:8 11:5 8:11 11:6 11:3,ZHANG Yining,2008
Tournament of Champions Changsha 2008,2009-01-09,LI Jiawei,PASKAUSKIENE Ruta,SGP,LTU,4,0,"11,12,11,11|3,10,7,5",QuarterFinal,OTHER,WS,807,Main Draw,LI Jiawei (SGP),PASKAUSKIENE Ruta (LTU),,,0 - 4,3:11 10:12 7:11 5:11,LI Jiawei,2008
Tournament of Champions Changsha 2008,2009-01-09,LI Xiaoxia,FENG Tianwei,CHN,SGP,4,2,"11,5,11,6,11,11|7,11,9,11,6,5",QuarterFinal,OTHER,WS,807,Main Draw,LI Xiaoxia (CHN),FENG Tianwei (SGP),,,4 - 2,11:7 5:11 11:9 6:11 11:6 11:5,LI Xiaoxia,2008
Tournament of Champions Changsha 2008,2009-01-09,GUO Yue,SAMARA Elizabeta,CHN,ROU,4,0,"11,11,11,11|6,5,5,5",QuarterFinal,OTHER,WS,807,Main Draw,GUO Yue (CHN),SAMARA Elizabeta (ROU),,,0 - 4,6:11 5:11 5:11 5:11,GUO Yue,2008
Tournament of Champions Changsha 2008,2009-01-09,ZHANG Yining,LI Jiawei,CHN,SGP,4,1,"3,12,11,12,11|11,10,7,10,4",SemiFinal,OTHER,WS,807,Main Draw,ZHANG Yining (CHN),LI Jiawei (SGP),,,4 - 1,3:11 12:10 11:7 12:10 11:4,ZHANG Yining,2008
Tournament of Champions Changsha 2008,2009-01-09,LI Xiaoxia,GUO Yue,CHN,CHN,4,1,"11,6,11,11,11|7,11,8,9,8",SemiFinal,OTHER,WS,807,Main Draw,LI Xiaoxia (CHN),GUO Yue (CHN),,,4 - 1,11:7 6:11 11:8 11:9 11:8,LI Xiaoxia,2008
Tournament of Champions Changsha 2008,2009-01-09,ZHANG Yining,LI Xiaoxia,CHN,CHN,4,1,"12,11,11,9,11|10,5,5,11,4",Final,OTHER,WS,807,Main Draw,ZHANG Yining (CHN),LI Xiaoxia (CHN),,,4 - 1,12:10 11:5 11:5 9:11 11:4,ZHANG Yining,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Lin,JOO Saehyuk,CHN,KOR,4,2,"11,11,11,8,8,11|2,5,2,11,11,7",R16,GRAND_SLAM,MS,805,Main Draw,MA Lin (CHN),JOO Saehyuk (KOR),,,4 - 2,11:2 11:5 11:2 8:11 8:11 11:7,MA Lin,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHEN Qi,RYU Seungmin,CHN,KOR,4,0,"11,12,11,11|9,10,8,9",R16,GRAND_SLAM,MS,805,Main Draw,CHEN Qi (CHN),RYU Seungmin (KOR),,,0 - 4,9:11 10:12 8:11 9:11,CHEN Qi,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Liqin,CHEUNG Yuk,CHN,HKG,4,1,"11,11,7,11,11|9,4,11,6,8",R16,GRAND_SLAM,MS,805,Main Draw,WANG Liqin (CHN),CHEUNG Yuk (HKG),,,4 - 1,11:9 11:4 7:11 11:6 11:8,WANG Liqin,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,YOON Jaeyoung,CHN,KOR,4,0,"11,11,11,13|3,9,2,11",R16,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),YOON Jaeyoung (KOR),,,0 - 4,3:11 9:11 2:11 11:13,MA Long,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SAMSONOV Vladimir,OVTCHAROV Dimitrij,BLR,GER,4,0,"11,11,11,16|5,8,8,14",R16,GRAND_SLAM,MS,805,Main Draw,SAMSONOV Vladimir (BLR),OVTCHAROV Dimitrij (GER),,,4 - 0,11:5 11:8 11:8 16:14,SAMSONOV Vladimir,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,JIANG Tianyi,LI Ching,HKG,HKG,4,2,"4,11,12,7,11,11|11,7,10,11,3,8",R16,GRAND_SLAM,MS,805,Main Draw,JIANG Tianyi (HKG),LI Ching (HKG),,,2 - 4,11:4 7:11 10:12 11:7 3:11 8:11,JIANG Tianyi,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHUANG Chih-Yuan,LEONG Kin Wa,TPE,MAC,4,0,"11,11,11,11|6,2,6,6",R16,GRAND_SLAM,MS,805,Main Draw,CHUANG Chih-Yuan (TPE),LEONG Kin Wa (MAC),,,4 - 0,11:6 11:2 11:6 11:6,CHUANG Chih-Yuan,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Hao,MAZE Michael,CHN,DEN,4,0,"11,11,11,11|4,9,6,7",R16,GRAND_SLAM,MS,805,Main Draw,WANG Hao (CHN),MAZE Michael (DEN),,,0 - 4,4:11 9:11 6:11 7:11,WANG Hao,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Lin,CHEN Qi,CHN,CHN,4,3,"11,8,6,2,11,11,11|7,11,11,11,8,8,8",QuarterFinal,GRAND_SLAM,MS,805,Main Draw,MA Lin (CHN),CHEN Qi (CHN),,,4 - 3,11:7 8:11 6:11 2:11 11:8 11:8 11:8,MA Lin,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,WANG Liqin,CHN,CHN,4,0,"11,15,11,11|1,13,4,3",QuarterFinal,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),WANG Liqin (CHN),,,0 - 4,1:11 13:15 4:11 3:11,MA Long,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SAMSONOV Vladimir,JIANG Tianyi,BLR,HKG,4,1,"11,12,11,8,11|6,10,4,11,4",QuarterFinal,GRAND_SLAM,MS,805,Main Draw,SAMSONOV Vladimir (BLR),JIANG Tianyi (HKG),,,4 - 1,11:6 12:10 11:4 8:11 11:4,SAMSONOV Vladimir,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Hao,CHUANG Chih-Yuan,CHN,TPE,4,1,"11,9,11,14,11|3,11,5,12,4",QuarterFinal,GRAND_SLAM,MS,805,Main Draw,WANG Hao (CHN),CHUANG Chih-Yuan (TPE),,,1 - 4,3:11 11:9 5:11 12:14 4:11,WANG Hao,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,MA Lin,CHN,CHN,4,1,"13,11,11,11,12|15,3,7,5,10",SemiFinal,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),MA Lin (CHN),,,1 - 4,15:13 3:11 7:11 5:11 10:12,MA Long,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Hao,SAMSONOV Vladimir,CHN,BLR,4,0,"11,11,11,11|9,6,8,6",SemiFinal,GRAND_SLAM,MS,805,Main Draw,WANG Hao (CHN),SAMSONOV Vladimir (BLR),,,0 - 4,9:11 6:11 8:11 6:11,WANG Hao,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Long,WANG Hao,CHN,CHN,4,0,"13,11,11,11|11,9,9,5",Final,GRAND_SLAM,MS,805,Main Draw,MA Long (CHN),WANG Hao (CHN),,,4 - 0,13:11 11:9 11:9 11:5,MA Long,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHIANG Hung-Chieh,MATTENET Adrien,TPE,FRA,4,3,"5,11,7,11,3,11,11|11,8,11,7,11,4,5",SemiFinal,GRAND_SLAM,U21MS,805,Main Draw,CHIANG Hung-Chieh (TPE),MATTENET Adrien (FRA),,,4 - 3,5:11 11:8 7:11 11:7 3:11 11:4 11:5,CHIANG Hung-Chieh,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,FREITAS Marcos,SKACHKOV Kirill,POR,RUS,4,2,"13,11,11,10,7,11|11,6,8,12,11,2",SemiFinal,GRAND_SLAM,U21MS,805,Main Draw,FREITAS Marcos (POR),SKACHKOV Kirill (RUS),,,4 - 2,13:11 11:6 11:8 10:12 7:11 11:2,FREITAS Marcos,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHIANG Hung-Chieh,FREITAS Marcos,TPE,POR,4,2,"4,10,12,11,11,11|11,12,10,7,8,8",Final,GRAND_SLAM,U21MS,805,Main Draw,CHIANG Hung-Chieh (TPE),FREITAS Marcos (POR),,,4 - 2,4:11 10:12 12:10 11:7 11:8 11:8,CHIANG Hung-Chieh,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,FREITAS Marcos,MA Liang,POR,SGP,4,0,"11,11,11,11|4,8,7,3",,GRAND_SLAM,U21MS,805,Qualification,FREITAS Marcos (POR),MA Liang (SGP),,,4 - 0,11:4 11:8 11:7 11:3,FREITAS Marcos,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,CHIANG Hung-Chieh,LEBESSON Emmanuel,TPE,FRA,4,2,"9,8,11,11,11,11|11,11,2,8,6,7",QR2,GRAND_SLAM,U21MS,805,Qualification,CHIANG Hung-Chieh (TPE),LEBESSON Emmanuel (FRA),,,2 - 4,11:9 11:8 2:11 8:11 6:11 7:11,CHIANG Hung-Chieh,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,FREITAS Marcos,LEBESSON Emmanuel,POR,FRA,4,3,"10,11,8,11,10,12,12|12,8,11,3,12,10,10",3,GRAND_SLAM,U21MS,805,Qualification,FREITAS Marcos (POR),LEBESSON Emmanuel (FRA),,,4 - 3,10:12 11:8 8:11 11:3 10:12 12:10 12:10,FREITAS Marcos,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Liang,CHIANG Hung-Chieh,SGP,TPE,4,2,"11,11,8,8,14,11|8,6,11,11,12,8",QR4,GRAND_SLAM,U21MS,805,Qualification,MA Liang (SGP),CHIANG Hung-Chieh (TPE),,,4 - 2,11:8 11:6 8:11 8:11 14:12 11:8,MA Liang,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,LEBESSON Emmanuel,MA Liang,FRA,SGP,4,0,"11,11,11,11|3,9,9,9",6,GRAND_SLAM,U21MS,805,Qualification,LEBESSON Emmanuel (FRA),MA Liang (SGP),,,4 - 0,11:3 11:9 11:9 11:9,LEBESSON Emmanuel,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SKACHKOV Kirill,JANCARIK Lubomir,RUS,CZE,4,1,"11,11,5,11,11|6,6,11,4,6",,GRAND_SLAM,U21MS,805,Qualification,SKACHKOV Kirill (RUS),JANCARIK Lubomir (CZE),,,4 - 1,11:6 11:6 5:11 11:4 11:6,SKACHKOV Kirill,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MATTENET Adrien,LIU Zhongze,FRA,SGP,4,1,"11,7,11,12,11|9,11,9,10,5",QR2,GRAND_SLAM,U21MS,805,Qualification,MATTENET Adrien (FRA),LIU Zhongze (SGP),,,1 - 4,9:11 11:7 9:11 10:12 5:11,MATTENET Adrien,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SKACHKOV Kirill,LIU Zhongze,RUS,SGP,4,1,"11,6,11,11,11|5,11,5,9,8",3,GRAND_SLAM,U21MS,805,Qualification,SKACHKOV Kirill (RUS),LIU Zhongze (SGP),,,4 - 1,11:5 6:11 11:5 11:9 11:8,SKACHKOV Kirill,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MATTENET Adrien,JANCARIK Lubomir,FRA,CZE,4,1,"12,12,11,5,11|10,10,7,11,9",QR4,GRAND_SLAM,U21MS,805,Qualification,MATTENET Adrien (FRA),JANCARIK Lubomir (CZE),,,1 - 4,10:12 10:12 7:11 11:5 9:11,MATTENET Adrien,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SKACHKOV Kirill,MATTENET Adrien,RUS,FRA,4,1,"11,11,8,11,11|6,9,11,6,9",5,GRAND_SLAM,U21MS,805,Qualification,SKACHKOV Kirill (RUS),MATTENET Adrien (FRA),,,4 - 1,11:6 11:9 8:11 11:6 11:9,SKACHKOV Kirill,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,JANCARIK Lubomir,LIU Zhongze,CZE,SGP,4,0,"11,17,11,11|8,15,5,4",6,GRAND_SLAM,U21MS,805,Qualification,JANCARIK Lubomir (CZE),LIU Zhongze (SGP),,,0 - 4,8:11 15:17 5:11 4:11,JANCARIK Lubomir,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,KIM Kyungah,LI Xiaoxia,KOR,CHN,4,2,"9,11,8,12,11,11|11,9,11,10,8,6",R16,GRAND_SLAM,WS,805,Main Draw,KIM Kyungah (KOR),LI Xiaoxia (CHN),,,2 - 4,11:9 9:11 11:8 10:12 8:11 6:11,KIM Kyungah,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,WANG Yuegu,MA Chao In,SGP,MAC,4,0,"11,11,11,11|7,1,3,1",R16,GRAND_SLAM,WS,805,Main Draw,WANG Yuegu (SGP),MA Chao In (MAC),,,0 - 4,7:11 1:11 3:11 1:11,WANG Yuegu,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,LI Jiawei,JIANG Huajun,SGP,HKG,4,0,"11,11,11,11|4,6,7,7",R16,GRAND_SLAM,WS,805,Main Draw,LI Jiawei (SGP),JIANG Huajun (HKG),,,4 - 0,11:4 11:6 11:7 11:7,LI Jiawei,2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,GUO Yan (1982),WU Jiaduo,CHN,GER,4,0,"11,11,11,11|2,7,2,2",R16,GRAND_SLAM,WS,805,Main Draw,GUO Yan (1982) (CHN),WU Jiaduo (GER),,,0 - 4,2:11 7:11 2:11 2:11,GUO Yan (1982),2008
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,FENG Tianwei,LI Jiao,SGP,NED,4,0,"11,11,11,11|6,8,3,7",R16,GRAND_SLAM,WS,805,Main Draw,FENG Tianwei (SGP),LI Jiao (NED),,,4 - 0,11:6 11:8 11:3 11:7,FENG Tianwei,2008
