tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2017 European Championships Qualification 4th round 2016,2016-12-13,RASMUSSEN Tobias,LEVENKO Andreas,DEN,AUT,3,2,"13,3,12,9,12|11,11,10,11,10",,OTHER,MT,519,Qualification,RASMUSSEN Tobias (DEN),LEVENKO Andreas (AUT),,,3 - 2,13:11 3:11 12:10 9:11 12:10,RASMUSSEN Tobias,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,LIND Anders,PFEFFER Simon,DEN,AUT,3,0,"11,11,11|9,7,6",,OTHER,MT,519,Qualification,LIND Anders (DEN),PFEFFER Simon (AUT),,,3 - 0,11:9 11:7 11:6,LIND Anders,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,NIELSEN Claus,SERDAROGLU David,DEN,AUT,3,2,"12,8,11,13,11|10,11,9,15,6",,OTHER,MT,519,Qualification,NIELSEN Claus (DEN),SERDAROGLU David (AUT),,,3 - 2,12:10 8:11 11:9 13:15 11:6,NIELSEN Claus,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,WALTHER Ricardo,CHAMPOD Nicolas,GER,SUI,3,0,"11,11,11|6,6,3",,OTHER,MT,519,Qualification,CHAMPOD Nicolas (SUI),WALTHER Ricardo (GER),,,0 - 3,6:11 6:11 3:11,WALTHER Ricardo,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,DUDA Benedikt,VENDE Gael,GER,SUI,3,0,"11,13,11|4,11,5",,OTHER,MT,519,Qualification,VENDE Gael (SUI),DUDA Benedikt (GER),,,0 - 3,4:11 11:13 5:11,DUDA Benedikt,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,ORT Kilian,POSCH Lars,GER,SUI,3,0,"11,11,11|7,8,5",,OTHER,MT,519,Qualification,POSCH Lars (SUI),ORT Kilian (GER),,,0 - 3,7:11 8:11 5:11,ORT Kilian,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,OUAICHE Stephane,NAUMI Alex,ALG,FIN,3,0,"13,11,11|11,5,5",,OTHER,MT,519,Qualification,NAUMI Alex (FIN),OUAICHE Stephane (ALG),,,0 - 3,11:13 5:11 5:11,OUAICHE Stephane,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,BROSSIER Benjamin,OCONNOR Miikka,FRA,FIN,3,0,"11,11,11|8,7,7",,OTHER,MT,519,Qualification,OCONNOR Miikka (FIN),BROSSIER Benjamin (FRA),,,0 - 3,8:11 7:11 7:11,BROSSIER Benjamin,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,FLORE Tristan,FLEMMING Veikka,FRA,FIN,3,0,"11,11,11|2,5,2",,OTHER,MT,519,Qualification,FLEMMING Veikka (FIN),FLORE Tristan (FRA),,,0 - 3,2:11 5:11 2:11,FLORE Tristan,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,PLATONOV Pavel,BEN ARI Omri,BLR,ISR,3,0,"10,11,11,5,12|12,7,3,11,10",,OTHER,MT,519,Qualification,BEN ARI Omri (ISR),PLATONOV Pavel (BLR),,,0 - 3,12:10 7:11 3:11 11:5 10:12,PLATONOV Pavel,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,KHANIN Aleksandr,DAVIDOVITZ Ron,BLR,ISR,3,0,"11,12,11|5,10,9",,OTHER,MT,519,Qualification,DAVIDOVITZ Ron (ISR),KHANIN Aleksandr (BLR),,,0 - 3,5:11 10:12 9:11,KHANIN Aleksandr,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,SHAMRUK Gleb,SHARON Yaniv,BLR,ISR,3,0,"7,11,12,11,11|11,13,10,9,8",,OTHER,MT,519,Qualification,SHARON Yaniv (ISR),SHAMRUK Gleb (BLR),,,0 - 3,11:7 13:11 10:12 9:11 8:11,SHAMRUK Gleb,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,ARVIDSSON Simon,VAINULA Vallot,SWE,EST,3,0,"11,6,11,11|7,11,5,7",,OTHER,MT,519,Qualification,VAINULA Vallot (EST),ARVIDSSON Simon (SWE),,,0 - 3,7:11 11:6 5:11 7:11,ARVIDSSON Simon,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,FRANZEN Alexander,LIBENE Toomas,SWE,EST,3,0,"11,11,11|4,5,8",,OTHER,MT,519,Qualification,LIBENE Toomas (EST),FRANZEN Alexander (SWE),,,0 - 3,4:11 5:11 8:11,FRANZEN Alexander,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,SODERLUND Hampus,SAAREMAE Rivo,SWE,EST,3,0,"11,11,11|7,6,3",,OTHER,MT,519,Qualification,SAAREMAE Rivo (EST),SODERLUND Hampus (SWE),,,0 - 3,7:11 6:11 3:11,SODERLUND Hampus,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,STANKEVICIUS Medardas,CHEN Diogo,LTU,POR,3,2,"15,11,9,7,14|13,9,11,11,12",,OTHER,MT,519,Qualification,STANKEVICIUS Medardas (LTU),CHEN Diogo (POR),,,3 - 2,15:13 11:9 9:11 7:11 14:12,STANKEVICIUS Medardas,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,CARVALHO Diogo,MIKUTIS Tomas,POR,LTU,3,1,"7,11,11,11|11,5,3,4",,OTHER,MT,519,Qualification,MIKUTIS Tomas (LTU),CARVALHO Diogo (POR),,,1 - 3,11:7 5:11 3:11 4:11,CARVALHO Diogo,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,PINHO Diogo,UDRA Alfredas,POR,LTU,3,0,"11,11,11|6,6,7",,OTHER,MT,519,Qualification,UDRA Alfredas (LTU),PINHO Diogo (POR),,,0 - 3,6:11 6:11 7:11,PINHO Diogo,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,CARVALHO Diogo,STANKEVICIUS Medardas,POR,LTU,3,1,"9,11,11,11|11,4,9,6",,OTHER,MT,519,Qualification,STANKEVICIUS Medardas (LTU),CARVALHO Diogo (POR),,,1 - 3,11:9 4:11 9:11 6:11,CARVALHO Diogo,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,TROMER Laurens,PAPAGEORGIOU Konstantinos,NED,GRE,3,0,"11,11,11|4,6,6",,OTHER,MT,519,Qualification,TROMER Laurens (NED),PAPAGEORGIOU Konstantinos (GRE),,,3 - 0,11:4 11:6 11:6,TROMER Laurens,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,GIONIS Panagiotis,OOSTWOUDER Ewout,GRE,NED,3,0,"11,11,16|4,7,14",,OTHER,MT,519,Qualification,OOSTWOUDER Ewout (NED),GIONIS Panagiotis (GRE),,,0 - 3,4:11 7:11 14:16,GIONIS Panagiotis,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,SGOUROPOULOS Ioannis,GOMMERS Rajko,GRE,NED,3,1,"11,11,4,11|7,7,11,8",,OTHER,MT,519,Qualification,GOMMERS Rajko (NED),SGOUROPOULOS Ioannis (GRE),,,1 - 3,7:11 7:11 11:4 8:11,SGOUROPOULOS Ioannis,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,GIONIS Panagiotis,TROMER Laurens,GRE,NED,3,1,"10,11,11,11|12,9,2,8",,OTHER,MT,519,Qualification,TROMER Laurens (NED),GIONIS Panagiotis (GRE),,,1 - 3,12:10 9:11 2:11 8:11,GIONIS Panagiotis,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,JORGIC Darko,GORAK Daniel,SLO,POL,3,1,"11,11,4,11|9,4,11,5",,OTHER,MT,519,Qualification,JORGIC Darko (SLO),GORAK Daniel (POL),,,3 - 1,11:9 11:4 4:11 11:5,JORGIC Darko,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,TOKIC Bojan,WANG Zengyi,SLO,POL,3,2,"4,9,15,11,12|11,11,13,7,10",,OTHER,MT,519,Qualification,TOKIC Bojan (SLO),WANG Zengyi (POL),,,3 - 2,4:11 9:11 15:13 11:7 12:10,TOKIC Bojan,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,DYJAS Jakub,KOZUL Deni,POL,SLO,3,0,"11,12,11|7,10,6",,OTHER,MT,519,Qualification,KOZUL Deni (SLO),DYJAS Jakub (POL),,,0 - 3,7:11 10:12 6:11,DYJAS Jakub,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,WANG Zengyi,JORGIC Darko,POL,SLO,3,1,"12,11,4,11|10,6,11,7",,OTHER,MT,519,Qualification,JORGIC Darko (SLO),WANG Zengyi (POL),,,1 - 3,10:12 6:11 11:4 7:11,WANG Zengyi,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,TOKIC Bojan,GORAK Daniel,SLO,POL,3,0,"11,11,11|7,6,6",,OTHER,MT,519,Qualification,TOKIC Bojan (SLO),GORAK Daniel (POL),,,3 - 0,11:7 11:6 11:6,TOKIC Bojan,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,BUROV Viacheslav,POPOV Kiril,RUS,BUL,3,0,"11,11,11|6,5,6",,OTHER,MT,519,Qualification,POPOV Kiril (BUL),BUROV Viacheslav (RUS),,,0 - 3,6:11 5:11 6:11,BUROV Viacheslav,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,VLASOV Grigory,ALEXANDROV Teodor,RUS,BUL,3,0,"11,11,11|4,8,8",,OTHER,MT,519,Qualification,ALEXANDROV Teodor (BUL),VLASOV Grigory (RUS),,,0 - 3,4:11 8:11 8:11,VLASOV Grigory,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,GABROVSKI Petko,LIVENTSOV Alexey,BUL,RUS,3,1,"12,11,5,11|10,6,11,9",,OTHER,MT,519,Qualification,GABROVSKI Petko (BUL),LIVENTSOV Alexey (RUS),,,3 - 1,12:10 11:6 5:11 11:9,GABROVSKI Petko,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,BUROV Viacheslav,ALEXANDROV Teodor,RUS,BUL,3,1,"7,11,11,11|11,7,4,4",,OTHER,MT,519,Qualification,ALEXANDROV Teodor (BUL),BUROV Viacheslav (RUS),,,1 - 3,11:7 7:11 4:11 4:11,BUROV Viacheslav,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,POPOV Kiril,VLASOV Grigory,BUL,RUS,3,0,"11,12,11,0|8,10,9,0",,OTHER,MT,519,Qualification,POPOV Kiril (BUL),VLASOV Grigory (RUS),,,3 - 0,11:8 12:10 11:9 0:0,POPOV Kiril,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,SHAN Xiaona,SIBLEY Kelly,GER,ENG,3,0,"11,12,11|6,10,8",,OTHER,WT,519,Qualification,SIBLEY Kelly (ENG),SHAN Xiaona (GER),,,0 - 3,6:11 10:12 8:11,SHAN Xiaona,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,MITTELHAM Nina,HO Tin-Tin,GER,ENG,3,0,"11,11,11|5,8,4",,OTHER,WT,519,Qualification,HO Tin-Tin (ENG),MITTELHAM Nina (GER),,,0 - 3,5:11 8:11 4:11,MITTELHAM Nina,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,WAN Yuan,LE FEVRE Karina,GER,ENG,3,0,"11,11,14|9,5,12",,OTHER,WT,519,Qualification,LE FEVRE Karina (ENG),WAN Yuan (GER),,,0 - 3,9:11 5:11 12:14,WAN Yuan,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,SZOCS Bernadette,PARIDI Konstantina,ROU,GRE,3,0,"11,11,11|6,7,9",,OTHER,WT,519,Qualification,PARIDI Konstantina (GRE),SZOCS Bernadette (ROU),,,0 - 3,6:11 7:11 9:11,SZOCS Bernadette,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,SAMARA Elizabeta,TOLIOU Aikaterini,ROU,GRE,3,0,"13,11,11|11,7,7",,OTHER,WT,519,Qualification,TOLIOU Aikaterini (GRE),SAMARA Elizabeta (ROU),,,0 - 3,11:13 7:11 7:11,SAMARA Elizabeta,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,EXARCHOU Filareti,IACOB Camelia,GRE,ROU,3,2,"12,5,4,11,11|10,11,11,4,9",,OTHER,WT,519,Qualification,EXARCHOU Filareti (GRE),IACOB Camelia (ROU),,,3 - 2,12:10 5:11 4:11 11:4 11:9,EXARCHOU Filareti,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,SAMARA Elizabeta,GERASIMATOU Ioanna,ROU,GRE,3,0,"11,11,11|3,3,7",,OTHER,WT,519,Qualification,GERASIMATOU Ioanna (GRE),SAMARA Elizabeta (ROU),,,0 - 3,3:11 3:11 7:11,SAMARA Elizabeta,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,MALANINA Maria,YOVKOVA Maria,RUS,BUL,3,0,"13,11,11|11,9,4",,OTHER,WT,519,Qualification,YOVKOVA Maria (BUL),MALANINA Maria (RUS),,,0 - 3,11:13 9:11 4:11,MALANINA Maria,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,NOSKOVA Yana,DIMOVA Mihaela,RUS,BUL,3,0,"12,11,11|10,4,3",,OTHER,WT,519,Qualification,DIMOVA Mihaela (BUL),NOSKOVA Yana (RUS),,,0 - 3,10:12 4:11 3:11,NOSKOVA Yana,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,TAILAKOVA Mariia,KAROVA Anelia,RUS,BUL,3,0,"11,11,11|9,9,3",,OTHER,WT,519,Qualification,KAROVA Anelia (BUL),TAILAKOVA Mariia (RUS),,,0 - 3,9:11 9:11 3:11,TAILAKOVA Mariia,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,GRZYBOWSKA-FRANC Katarzyna,ASCHWANDEN Rahel,POL,SUI,3,1,"11,8,11,12|8,11,4,10",,OTHER,WT,519,Qualification,ASCHWANDEN Rahel (SUI),GRZYBOWSKA-FRANC Katarzyna (POL),,,1 - 3,8:11 11:8 4:11 10:12,GRZYBOWSKA-FRANC Katarzyna,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,PARTYKA Natalia,REUST Celine,POL,SUI,3,1,"11,11,8,11|0,4,11,2",,OTHER,WT,519,Qualification,REUST Celine (SUI),PARTYKA Natalia (POL),,,1 - 3,0:11 4:11 11:8 2:11,PARTYKA Natalia,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,KUSINSKA Klaudia,KROON Mireille,POL,SUI,3,0,"11,11,11|8,6,9",,OTHER,WT,519,Qualification,KROON Mireille (SUI),KUSINSKA Klaudia (POL),,,0 - 3,8:11 6:11 9:11,KUSINSKA Klaudia,2016
2017 European Championships Qualification 4th round 2016,2016-12-13,MISCHEK-COLUCCI Karoline,MALOKU Vlona,AUT,KOS,3,0,"11,11,11|5,6,8",,OTHER,WT,519,Qualification,MALOKU Vlona (KOS),MISCHEK-COLUCCI Karoline (AUT),,,0 - 3,5:11 6:11 8:11,MISCHEK-COLUCCI Karoline,2016
