tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
WTT Cup Finals Singapore 2021,2021-12-04,WANG Yidi,DIAZ Adriana,CHN,PUR,3,1,"13,11,5,11|11,3,11,9",R16,WTT_CHAMPIONS,WS,2516,Main Draw,WANG Yidi (CHN),DIAZ Adriana (PUR),,,3 - 1,13:11 11:3 5:11 11:9,WANG Yidi,2021
WTT Cup Finals Singapore 2021,2021-12-04,SATO Hitomi,POLCANOVA Sofia,JPN,AUT,3,1,"11,12,13,11|13,10,11,9",R16,WTT_CHAMPIONS,WS,2516,Main Draw,SATO Hitomi (JPN),POLCANOVA Sofia (AUT),,,3 - 1,11:13 12:10 13:11 11:9,SATO Hitomi,2021
WTT Cup Finals Singapore 2021,2021-12-04,JEOUNG Youngsik,LEE Sang Su,KOR,KOR,3,1,"11,5,11,11|3,11,6,5",R16,WTT_CHAMPIONS,MS,2516,Main Draw,JEOUNG Youngsik (KOR),LEE Sang Su (KOR),,,3 - 1,11:3 5:11 11:6 11:5,JEOUNG Youngsik,2021
WTT Cup Finals Singapore 2021,2021-12-04,CHEN Xingtong,HIRANO Miu,CHN,JPN,3,0,"11,11,11|6,7,8",R16,WTT_CHAMPIONS,WS,2516,Main Draw,CHEN Xingtong (CHN),HIRANO Miu (JPN),,,0 - 3,6:11 7:11 8:11,CHEN Xingtong,2021
WTT Cup Finals Singapore 2021,2021-12-04,CHEN Meng,ISHIKAWA Kasumi,CHN,JPN,3,1,"11,9,11,12|8,11,5,10",R16,WTT_CHAMPIONS,WS,2516,Main Draw,CHEN Meng (CHN),ISHIKAWA Kasumi (JPN),,,3 - 1,11:8 9:11 11:5 12:10,CHEN Meng,2021
WTT Cup Finals Singapore 2021,2021-12-04,PITCHFORD Liam,JANG Woojin,ENG,KOR,3,2,"12,8,13,11,11|10,11,15,8,6",R16,WTT_CHAMPIONS,MS,2516,Main Draw,PITCHFORD Liam (ENG),JANG Woojin (KOR),,,3 - 2,12:10 8:11 13:15 11:8 11:6,PITCHFORD Liam,2021
WTT Cup Finals Singapore 2021,2021-12-04,FENG Tianwei,JEON Jihee,SGP,KOR,3,1,"11,11,8,11|6,8,11,5",R16,WTT_CHAMPIONS,WS,2516,Main Draw,FENG Tianwei (SGP),JEON Jihee (KOR),,,3 - 1,11:6 11:8 8:11 11:5,FENG Tianwei,2021
WTT Cup Finals Singapore 2021,2021-12-04,WANG Chuqin,LIN Yun-Ju,CHN,TPE,3,0,"11,11,11|5,8,7",R16,WTT_CHAMPIONS,MS,2516,Main Draw,WANG Chuqin (CHN),LIN Yun-Ju (TPE),,,0 - 3,5:11 8:11 7:11,WANG Chuqin,2021
WTT Cup Finals Singapore 2021,2021-12-04,FAN Zhendong,FRANZISKA Patrick,CHN,GER,3,0,"14,11,11|12,7,9",R16,WTT_CHAMPIONS,MS,2516,Main Draw,FAN Zhendong (CHN),FRANZISKA Patrick (GER),,,3 - 0,14:12 11:7 11:9,FAN Zhendong,2021
WTT Cup Finals Singapore 2021,2021-12-04,DOO Hoi Kem,WANG Manyu,HKG,CHN,3,0,"11,11,11|7,6,7",R16,WTT_CHAMPIONS,WS,2516,Main Draw,DOO Hoi Kem (HKG),WANG Manyu (CHN),,,3 - 0,11:7 11:6 11:7,DOO Hoi Kem,2021
WTT Cup Finals Singapore 2021,2021-12-04,HAYATA Hina,CHENG I-Ching,JPN,TPE,3,1,"11,11,14,14|6,13,12,12",R16,WTT_CHAMPIONS,WS,2516,Main Draw,HAYATA Hina (JPN),CHENG I-Ching (TPE),,,3 - 1,11:6 11:13 14:12 14:12,HAYATA Hina,2021
WTT Cup Finals Singapore 2021,2021-12-04,ARUNA Quadri,LIANG Jingkun,NGR,CHN,3,1,"7,11,14,11|11,1,12,5",R16,WTT_CHAMPIONS,MS,2516,Main Draw,ARUNA Quadri (NGR),LIANG Jingkun (CHN),,,1 - 3,11:7 1:11 12:14 5:11,ARUNA Quadri,2021
WTT Cup Finals Singapore 2021,2021-12-04,SUN Yingsha,SOLJA Petrissa,CHN,GER,3,0,"11,11,11|4,5,7",R16,WTT_CHAMPIONS,WS,2516,Main Draw,SUN Yingsha (CHN),SOLJA Petrissa (GER),,,0 - 3,4:11 5:11 7:11,SUN Yingsha,2021
WTT Cup Finals Singapore 2021,2021-12-04,WONG Chun Ting,GAUZY Simon,HKG,FRA,3,1,"11,7,11,11|7,11,8,8",R16,WTT_CHAMPIONS,MS,2516,Main Draw,WONG Chun Ting (HKG),GAUZY Simon (FRA),,,1 - 3,7:11 11:7 8:11 8:11,WONG Chun Ting,2021
WTT Cup Finals Singapore 2021,2021-12-04,HARIMOTO Tomokazu,KARLSSON Mattias,JPN,SWE,3,0,"11,11,11|6,8,8",R16,WTT_CHAMPIONS,MS,2516,Main Draw,HARIMOTO Tomokazu (JPN),KARLSSON Mattias (SWE),,,0 - 3,6:11 8:11 8:11,HARIMOTO Tomokazu,2021
WTT Cup Finals Singapore 2021,2021-12-04,CALDERANO Hugo,LIN Gaoyuan,BRA,CHN,3,0,"11,11,13|8,9,11",R16,WTT_CHAMPIONS,MS,2516,Main Draw,CALDERANO Hugo (BRA),LIN Gaoyuan (CHN),,,0 - 3,8:11 9:11 11:13,CALDERANO Hugo,2021
WTT Cup Finals Singapore 2021,2021-12-04,FAN Zhendong,JEOUNG Youngsik,CHN,KOR,3,0,"11,16,11|6,14,6",QF,WTT_CHAMPIONS,MS,2516,Main Draw,FAN Zhendong (CHN),JEOUNG Youngsik (KOR),,,3 - 0,11:6 16:14 11:6,FAN Zhendong,2021
WTT Cup Finals Singapore 2021,2021-12-04,CHEN Meng,FENG Tianwei,CHN,SGP,3,0,"11,11,11|6,5,7",QF,WTT_CHAMPIONS,WS,2516,Main Draw,CHEN Meng (CHN),FENG Tianwei (SGP),,,3 - 0,11:6 11:5 11:7,CHEN Meng,2021
WTT Cup Finals Singapore 2021,2021-12-04,WANG Yidi,SATO Hitomi,CHN,JPN,3,1,"9,11,11,11|11,7,9,8",QF,WTT_CHAMPIONS,WS,2516,Main Draw,WANG Yidi (CHN),SATO Hitomi (JPN),,,3 - 1,9:11 11:7 11:9 11:8,WANG Yidi,2021
WTT Cup Finals Singapore 2021,2021-12-04,WANG Chuqin,PITCHFORD Liam,CHN,ENG,3,0,"11,11,12|8,6,10",QF,WTT_CHAMPIONS,MS,2516,Main Draw,WANG Chuqin (CHN),PITCHFORD Liam (ENG),,,3 - 0,11:8 11:6 12:10,WANG Chuqin,2021
WTT Cup Finals Singapore 2021,2021-12-04,HAYATA Hina,DOO Hoi Kem,JPN,HKG,3,1,"11,11,6,11|1,5,11,8",QF,WTT_CHAMPIONS,WS,2516,Main Draw,HAYATA Hina (JPN),DOO Hoi Kem (HKG),,,3 - 1,11:1 11:5 6:11 11:8,HAYATA Hina,2021
