tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,SUN Yingsha,DOO Hoi Kem,CHN,HKG,3,0,"12,11,12|10,8,10",GROUP,WORLD_CUP,XT,3263,Main Draw,SUN Yingsha (CHN),DOO Hoi Kem (HKG),WANG Chuqin (CHN),WONG Chun Ting (HKG),3 - 0,12:10 11:8 12:10,SUN Yingsha,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,KUAI Man,ZHU Chengzhu,CHN,HKG,2,1,"11,11,9|4,9,11",GROUP,WORLD_CUP,XT,3263,Main Draw,KUAI Man (CHN),ZHU Chengzhu (HKG),,,2 - 1,11:4 11:9 9:11,KUAI Man,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,LIN Shidong,LAM Siu Hang,CHN,HKG,3,0,"11,11,11|3,4,1",GROUP,WORLD_CUP,XT,3263,Main Draw,LIN Shidong (CHN),LAM Siu Hang (HKG),,,3 - 0,11:3 11:4 11:1,LIN Shidong,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,ALHODABY Mariam,ORTEGA Daniela,EGY,CHI,2,1,"11,6,15|9,11,13",GROUP,WORLD_CUP,XT,3263,Main Draw,ALHODABY Mariam (EGY),ORTEGA Daniela (CHI),ABDELAZIZ Youssef (EGY),GOMEZ Gustavo (CHI),2 - 1,11:9 6:11 15:13,ALHODABY Mariam,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,VEGA Paulina,BADAWY Farida,CHI,EGY,2,1,"11,8,11|2,11,8",GROUP,WORLD_CUP,XT,3263,Main Draw,BADAWY Farida (EGY),VEGA Paulina (CHI),,,1 - 2,2:11 11:8 8:11,VEGA Paulina,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,ASSAR Omar,BURGOS Nicolas,EGY,CHI,2,1,"11,13,11|5,15,7",GROUP,WORLD_CUP,XT,3263,Main Draw,ASSAR Omar (EGY),BURGOS Nicolas (CHI),,,2 - 1,11:5 13:15 11:7,ASSAR Omar,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,ORTEGA Daniela,ALHODABY Marwa,CHI,EGY,2,1,"11,11,8|7,4,11",GROUP,WORLD_CUP,XT,3263,Main Draw,ALHODABY Marwa (EGY),ORTEGA Daniela (CHI),ALHODABY Mariam (EGY),VEGA Paulina (CHI),1 - 2,7:11 4:11 11:8,ORTEGA Daniela,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,ELBEIALI Mohamed,BURGOS Nicolas,EGY,CHI,2,1,"13,8,11|11,11,8",GROUP,WORLD_CUP,XT,3263,Main Draw,ELBEIALI Mohamed (EGY),BURGOS Nicolas (CHI),ABDELAZIZ Youssef (EGY),GOMEZ Gustavo (CHI),2 - 1,13:11 8:11 11:8,ELBEIALI Mohamed,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,KIM Nayeong,KALLBERG Christina,KOR,SWE,2,1,"11,10,11|6,12,9",GROUP,WORLD_CUP,XT,3263,Main Draw,KIM Nayeong (KOR),KALLBERG Christina (SWE),PARK Ganghyeon (KOR),KARLSSON Kristian (SWE),2 - 1,11:6 10:12 11:9,KIM Nayeong,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,SHIN Yubin,BERGSTROM Linda,KOR,SWE,2,1,"10,12,11|12,10,5",GROUP,WORLD_CUP,XT,3263,Main Draw,SHIN Yubin (KOR),BERGSTROM Linda (SWE),,,2 - 1,10:12 12:10 11:5,SHIN Yubin,2025
ITTF Mixed Team World Cup Chengdu 2025 Presented by China Telecom,2025-11-30,JANG Woojin,KALLBERG Anton,KOR,SWE,2,1,"8,11,11|11,5,8",GROUP,WORLD_CUP,XT,3263,Main Draw,JANG Woojin (KOR),KALLBERG Anton (SWE),,,2 - 1,8:11 11:5 11:8,JANG Woojin,2025
