tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
WTT Feeder Düsseldorf I,2022-01-12,VOLKAVA Vera,KISEL Darya,BLR,BLR,4,3,"11,9,11,11,6,7,11|3,11,4,7,11,11,8",R32,WTT_FEEDER,WS,2521,Main Draw,VOLKAVA Vera (BLR),KISEL Darya (BLR),,,4-3,"11-3,9-11,11-4,11-7,6-11,7-11,11-8",VOLKAVA Vera,2022
WTT Feeder Düsseldorf I,2022-01-12,MANTZ Chantal,TRIGOLOS Daria,GER,BLR,4,3,"4,6,8,11,11,11,11|11,11,11,3,8,7,7",R32,WTT_FEEDER,WS,2521,Main Draw,MANTZ Chantal (GER),TRIGOLOS Daria (BLR),,,3-4,"11-4,11-6,11-8,3-11,8-11,7-11,7-11",MANTZ Chantal,2022
WTT Feeder Düsseldorf I,2022-01-12,SCHREINER Franziska,ROBBES Jeanne,GER,FRA,4,0,"11,11,11,11|9,9,7,6",R32,WTT_FEEDER,WS,2521,Main Draw,SCHREINER Franziska (GER),ROBBES Jeanne (FRA),,,4-0,"11-9,11-9,11-7,11-6,0-0,0-0,0-0",SCHREINER Franziska,2022
WTT Feeder Düsseldorf I,2022-01-12,MALOBABIC Ivana,RONCALLO Valentina,CRO,ITA,4,1,"11,11,11,11,11|8,6,13,7,7",R32,WTT_FEEDER,WS,2521,Main Draw,MALOBABIC Ivana (CRO),RONCALLO Valentina (ITA),,,4-1,"11-8,11-6,11-13,11-7,11-7,0-0,0-0",MALOBABIC Ivana,2022
WTT Feeder Düsseldorf I,2022-01-12,BARAVOK Katsiaryna,BARANI Arianna,BLR,ITA,4,0,"11,11,11,13|6,4,6,11",R32,WTT_FEEDER,WS,2521,Main Draw,BARAVOK Katsiaryna (BLR),BARANI Arianna (ITA),,,4-0,"11-6,11-4,11-6,13-11,0-0,0-0,0-0",BARAVOK Katsiaryna,2022
WTT Feeder Düsseldorf I,2022-01-12,BAJOR Natalia,KALAITZIDOU Eireen Elena,POL,GER,4,0,"11,11,11,12|4,8,4,10",R32,WTT_FEEDER,WS,2521,Main Draw,BAJOR Natalia (POL),KALAITZIDOU Eireen Elena (GER),,,4-0,"11-4,11-8,11-4,12-10,0-0,0-0,0-0",BAJOR Natalia,2022
WTT Feeder Düsseldorf I,2022-01-12,WINTER Sabine,JEGER Mateja,GER,CRO,4,0,"11,11,11,11|5,6,6,2",R32,WTT_FEEDER,WS,2521,Main Draw,WINTER Sabine (GER),JEGER Mateja (CRO),,,0-4,"5-11,6-11,6-11,2-11,0-0,0-0,0-0",WINTER Sabine,2022
WTT Feeder Düsseldorf I,2022-01-12,GRIESEL Mia,SCHOLZ Vivien,GER,LUX,4,0,"11,11,11,11|0,0,0,0",R32,WTT_FEEDER,WS,2521,Main Draw,GRIESEL Mia (GER),SCHOLZ Vivien (LUX),,,0-4 WO,"0-11,0-11,0-11,0-11,0-0,0-0,0-0",GRIESEL Mia,2022
WTT Feeder Düsseldorf I,2022-01-12,ARAPOVIC Hana,MISCHEK Karoline,CRO,AUT,4,1,"11,10,11,11,11|4,12,8,7,5",R32,WTT_FEEDER,WS,2521,Main Draw,ARAPOVIC Hana (CRO),MISCHEK Karoline (AUT),,,1-4,"4-11,12-10,8-11,7-11,5-11,0-0,0-0",ARAPOVIC Hana,2022
WTT Feeder Düsseldorf I,2022-01-12,KUKULKOVA Tatiana,TERPOU Elisavet,SVK,GRE,4,0,"11,12,11,11|8,10,9,6",R32,WTT_FEEDER,WS,2521,Main Draw,KUKULKOVA Tatiana (SVK),TERPOU Elisavet (GRE),,,0-4,"8-11,10-12,9-11,6-11,0-0,0-0,0-0",KUKULKOVA Tatiana,2022
