tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
WTT Star Contender Doha 2025,2025-01-06,RASSENFOSSE Adrien,HO Kwan Kit,BEL,HKG,3,1,"11,10,12,14|7,12,10,12",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,RASSENFOSSE Adrien (BEL),HO Kwan Kit (HKG),,,1-3,"7-11,12-10,10-12,12-14,0-0",RASSENFOSSE Adrien,2025
WTT Star Contender Doha 2025,2025-01-06,ALAMIAN Nima,AL HADDAD Essa,IRI,QAT,3,0,"11,11,11|3,4,7",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,ALAMIAN Nima (IRI),AL HADDAD Essa (QAT),,,3-0,"11-3,11-4,11-7,0-0,0-0",ALAMIAN Nima,2025
WTT Star Contender Doha 2025,2025-01-06,HURSEY Anna,STERNER Anastasia,WAL,AUT,3,0,"11,11,11|6,8,7",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,HURSEY Anna (WAL),STERNER Anastasia (AUT),,,0-3,"6-11,8-11,7-11,0-0,0-0",HURSEY Anna,2025
WTT Star Contender Doha 2025,2025-01-06,RANEFUR Elias,JARVIS Tom,SWE,ENG,3,2,"11,11,5,7,13|9,9,11,11,11",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,RANEFUR Elias (SWE),JARVIS Tom (ENG),,,3-2,"11-9,11-9,5-11,7-11,13-11",RANEFUR Elias,2025
WTT Star Contender Doha 2025,2025-01-06,SHAH Manush,BOURRASSAUD Florian,IND,FRA,3,1,"6,12,11,11|11,10,9,9",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,SHAH Manush (IND),BOURRASSAUD Florian (FRA),,,1-3,"11-6,10-12,9-11,9-11,0-0",SHAH Manush,2025
WTT Star Contender Doha 2025,2025-01-06,YIU Kwan To,ABDULWAHHAB Abdullah,HKG,QAT,3,0,"11,11,11|6,6,6",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,YIU Kwan To (HKG),ABDULWAHHAB Abdullah (QAT),,,0-3,"6-11,6-11,6-11,0-0,0-0",YIU Kwan To,2025
WTT Star Contender Doha 2025,2025-01-06,HUNG Jing-Kai,AFANADOR Brian,TPE,PUR,3,0,"11,11,11|9,7,4",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,HUNG Jing-Kai (TPE),AFANADOR Brian (PUR),,,0-3,"9-11,7-11,4-11,0-0,0-0",HUNG Jing-Kai,2025
WTT Star Contender Doha 2025,2025-01-06,SURAVAJJULA Snehit,JAIN Payas,IND,IND,3,1,"11,9,11,11|7,11,8,9",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,SURAVAJJULA Snehit (IND),JAIN Payas (IND),,,3-1,"11-7,9-11,11-8,11-9,0-0",SURAVAJJULA Snehit,2025
WTT Star Contender Doha 2025,2025-01-06,YEH Yi-Tian,LEE Daeun,TPE,KOR,3,2,"11,8,7,11,11|7,11,11,8,7",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,YEH Yi-Tian (TPE),LEE Daeun (KOR),,,2-3,"7-11,11-8,11-7,8-11,7-11",YEH Yi-Tian,2025
WTT Star Contender Doha 2025,2025-01-06,KOURAICHI Alexis,ALNASER Rawad,FRA,QAT,3,0,"16,11,11|14,7,4",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,KOURAICHI Alexis (FRA),ALNASER Rawad (QAT),,,0-3,"14-16,7-11,4-11,0-0,0-0",KOURAICHI Alexis,2025
WTT Star Contender Doha 2025,2025-01-06,KIM Taehyun,KOZUL Deni,MLT,SLO,3,0,"11,11,11|8,7,5",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,KIM Taehyun (MLT),KOZUL Deni (SLO),,,3-0,"11-8,11-7,11-5,0-0,0-0",KIM Taehyun,2025
WTT Star Contender Doha 2025,2025-01-06,HUANG Yu-Jie,BAISYA Poymantee,TPE,IND,3,1,"7,11,11,11|11,8,7,8",QR1,WTT_STAR_CONTENDER,WS,3083,Qualification,HUANG Yu-Jie (TPE),BAISYA Poymantee (IND),,,1-3,"11-7,8-11,7-11,8-11,0-0",HUANG Yu-Jie,2025
WTT Star Contender Doha 2025,2025-01-06,CHO Seungmin,LAM Siu Hang,KOR,HKG,3,0,"11,11,13|8,6,11",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,CHO Seungmin (KOR),LAM Siu Hang (HKG),,,0-3,"8-11,6-11,11-13,0-0,0-0",CHO Seungmin,2025
WTT Star Contender Doha 2025,2025-01-06,JANCARIK Lubomir,ABDALLA Yousif,CZE,QAT,3,1,"11,9,11,11|3,11,5,1",QR1,WTT_STAR_CONTENDER,MS,3083,Qualification,JANCARIK Lubomir (CZE),ABDALLA Yousif (QAT),,,3-1,"11-3,9-11,11-5,11-1,0-0",JANCARIK Lubomir,2025
